"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_2w_2","MOLM13_2w_3","MOLM13_6w_1","MOLM13_6w_2","MOLM13_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"Suberic acid","Com_136_neg","Suberic acid","C8 H14 O4",174.08918,5.922,173.0819,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",33597613.55,29846217.4,39975070.58,25004822.11,26356852.86,27903201.24,27804300.07,28663419.73,24.6925634375662,25.0284991454297,-0.335935707863538,0.101089023850958,0.171970087876098,"stable",1.59410105107533
"Υ-Aminobutyric acid (GABA)","Com_170_neg","Υ-Aminobutyric acid (GABA)","C4 H9 N O2",103.06328,1.355,102.05606,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Gamma amino acids and derivatives",272233336.5,294314882.7,327195532.6,290379966.1,291973435.4,429637890.3,391414921.9,372747214.9,28.3861840788195,28.1462105229176,0.23997355590188,0.132828787511912,0.188094566894475,"stable",1.02070352754766
"Threonine","Com_177_neg","Threonine","C4 H9 N O3",119.05827,1.314,118.051,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","D-alpha-amino acids",16886717.92,18679492.78,22196993.98,21029592.77,24742764.4,47598042.79,28517014.83,37608544.52,24.8641393246356,24.1893995139803,0.67473981065535,0.032577071581685,0.118030263467333,"up",1.35382456376756
"N-Acetylalanine","Com_183_neg","N-Acetylalanine","C5 H9 N O3",131.05817,2.71,130.0509,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-L-alpha-amino acids",152544018.2,155135290.8,169984803.6,166767212.2,187969886.8,234009211.2,191663648.9,271877577.2,27.626712050942,27.2448108586925,0.38190119224949,0.0358196229218348,0.121921151714011,"up",1.33363739886859
"D(+)-Phenyllactic acid","Com_205_neg","D(+)-Phenyllactic acid","C9 H10 O3",166.06292,5.735,165.05564,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",120559538.6,18150073.47,133362988,114463032.5,126385234.8,106259410.1,123653290.1,111771631.9,26.792855753126,25.9831419015335,0.809713851592488,0.47817443392893,0.333568408733906,"stable",0.859127642410849
"D-(-)-Ribose","Com_265_neg","D-(-)-Ribose","C5 H10 O5",150.05271,1.447,149.04542,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",14220829.61,15572355.14,19666168.05,19954787.46,21277556.31,27930418.1,27594782.44,25183757.88,24.5264553920106,23.9610662171912,0.565389174819426,0.0295507933940171,0.114263253833715,"up",1.60684908685368
"α-D-Glucose-1,6-bisphosphate","Com_269_neg","α-D-Glucose-1,6-bisphosphate","C6 H14 O12 P2",339.99609,1.184,338.9888,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",53658952.31,60670819.03,61013754.9499999,45477589.55,57168956.86,67876010.15,58080399.5699999,85012715.14,25.8713005712432,25.7981487289694,0.0731518422737452,0.668281774805561,0.404200019298952,"stable",0.286836375000181
"4-Nitrophenol","Com_309_neg","4-Nitrophenol","C6 H5 N O3",139.0269,0.412,138.01962,"Full match","Full match","Full match","Benzenoids","Phenols","Nitrophenols","Nitrophenols",9423712.676,8583548.618,9654407.841,5275017.545,10493610.01,8342878.58699999,4297266.399,9135170.11299999,22.7607707948082,23.1345877484595,-0.373816953651271,0.206013851760021,0.223185178229473,"stable",0.82993631617087
"(2R)-2,3-Dihydroxypropanoic acid","Com_322_neg","(2R)-2,3-Dihydroxypropanoic acid","C3 H6 O4",106.02659,1.439,105.01931,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",15369251.22,18502784.33,19382595.15,19621725.13,20683308.53,28722758.24,30524129.57,26342388.87,24.5635865649457,24.0743470018806,0.48923956306513,0.0246478841753985,0.110771765249747,"up",1.44995422327347
"Ethylmalonic acid","Com_345_neg","Ethylmalonic acid","C5 H8 O4",132.04223,4.676,131.03495,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Branched fatty acids",72638227.06,63836702.12,67983097.5499999,68132642.17,63317615.35,76299684.04,68111121.8,77375908.0899999,26.0699776622107,26.0202604008228,0.0497172613879151,0.543741151952256,0.355798844963053,"stable",0.470728370346464
"Pimelic acid","Com_363_neg","Pimelic acid","C7 H12 O4",160.07359,5.496,159.06631,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",97888035.8800001,97636332.3399999,100489350.8,87079171.2700001,95257038.3800001,90094512.82,99164728.0199999,98669734.08,26.4851021228914,26.556003784179,-0.0709016612875359,0.130612254653847,0.187031849015741,"stable",0.990941564521144
"Guanosine monophosphate (GMP)","Com_367_neg","Guanosine monophosphate (GMP)","C10 H14 N5 O8 P",363.05809,1.845,362.05081,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",203342032.2,200344282.7,241990272.3,202016363.3,202337924.3,119082983.5,84453813.58,130694433.9,27.0605524299315,27.6758710440366,-0.615318614105099,0.0618588124600626,0.147204604845104,"stable",1.20554020666023
"Terephthalic acid","Com_368_neg","Terephthalic acid","C8 H6 O4",166.02661,5.566,165.01934,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",62209435.6,53336517.63,63499396.4000001,44154723.18,52881846.1000001,47764089.0200001,53382400.92,53446294.72,25.580640821727,25.8264966406247,-0.24585581889772,0.0647483866329153,0.1496834878745,"stable",1.44649949975561
"Hippuric acid","Com_423_neg","Hippuric acid","C9 H9 N O3",179.0583,5.42,178.05102,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hippuric acids",53144370.02,50296902.99,49240790.99,59130341.82,52027971.17,61507965.43,48471974.01,75273821.25,25.804148338411,25.6002434545065,0.203904883904531,0.138675157798097,0.190787652045815,"stable",0.970471008877099
"N-Acetyl-D-alloisoleucine","Com_474_neg","N-Acetyl-D-alloisoleucine","C8 H15 N O3",173.10529,5.7,172.09801,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Isoleucine and derivatives",74432693.2700001,62576457.1300001,67990363.65,64319105.54,73033298.6600001,66384950.66,68179284.12,72133538.3500001,26.0344289851609,26.0224588994502,0.0119700857107361,0.891023704689497,0.474937514977874,"stable",0.137162661032029
"O-Phosphorylethanolamine","Com_486_neg","O-Phosphorylethanolamine","C2 H8 N O4 P",141.01919,1.248,140.01191,"Full match","Full match","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Phosphoethanolamines",25319144.53,32632930.86,28239291.25,32950996.58,24814659.94,24841985.32,17944623.94,23843439.23,24.5417845234737,24.7682503664817,-0.22646584300799,0.24314423964378,0.237899507341378,"stable",0.827432617768034
"Fumaric acid","Com_511_neg","Fumaric acid","C4 H4 O4",116.01091,1.537,115.00364,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",210381484.2,299178518.4,261886021.8,241461791.8,182194169.4,365812543.9,343270765.6,330236427.1,28.0776692631365,27.9230758878017,0.154593375334869,0.544700258634052,0.356148121178494,"stable",0.442498853159794
"Thymidine 5'-monophosphate","Com_608_neg","Thymidine 5'-monophosphate","C10 H15 N2 O8 P",322.05634,2.317,321.04907,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",69715046.73,64821852.0200001,87507893.5599999,75486588.3100001,97774358.3500001,132159544.6,65323692.31,113915874,26.482974355178,26.1292844873141,0.353689867863899,0.171438371435708,0.20633105337527,"stable",0.942801051943347
"3-Methylglutaric acid","Com_616_neg","3-Methylglutaric acid","C6 H10 O4",146.05799,5.476,145.05071,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",25041486.09,21157600.78,23739714.54,19555983.11,22502660.91,22175451.36,22310691.93,22173190.13,24.3721408141743,24.4710962667649,-0.0989554525905874,0.306072695511863,0.263660411197346,"stable",0.960041656037792
"2-Anisic acid","Com_642_neg","2-Anisic acid","C8 H8 O3",152.04738,5.843,151.0401,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","O-methoxybenzoic acids and derivatives",20252679.64,18925179.05,17893826.89,17259924.49,18898537.38,15149292.01,19384972.47,15051149.17,24.0234493516989,24.1794572369511,-0.156007885252222,0.143079290639145,0.192717326816718,"stable",0.997461587175976
"N-Acetyl-L-phenylalanine","Com_648_neg","N-Acetyl-L-phenylalanine","C11 H13 N O3",207.08958,5.72,206.0823,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",9317685.611,10750727.74,10621883.74,8370136.98700001,10681981.84,17783241.55,12113869.87,19160246.36,23.6302560102941,23.2833358390057,0.346920171288438,0.20319682376202,0.221938973933331,"stable",0.836596833000063
"Jasmonic acid","Com_681_neg","Jasmonic acid","C12 H18 O3",210.12561,6.285,209.11834,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Jasmonic acids",19460584.56,15109709.13,21613423.19,17487001.73,18325438.32,21376504.49,18370014.18,11629092.92,24.0277462496676,24.14281617183,-0.115069922162444,0.610892260745299,0.382775432024616,"stable",0.402462183525344
"Phosphocreatine","Com_700_neg","Phosphocreatine","C4 H10 N3 O5 P",211.03568,1.392,210.0284,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",235193782.9,104065862,270651183.2,195214363.2,197015023.7,173408017.7,156810208.7,173818918.7,27.4122527710563,27.4846852594093,-0.072432488352991,0.882324335862349,0.472491469945679,"stable",0.179700458097232
"Glucose 1-phosphate","Com_916_neg","Glucose 1-phosphate","C6 H13 O9 P",260.02968,1.216,259.02241,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",14682988.57,17163780.92,15586941.82,10532806.31,10052512.76,25149083.89,16725430.22,25928299.03,23.9594012187808,23.9114469749798,0.0479542438010263,0.880437267207715,0.47195786235872,"stable",0.0981327326296586
"3-Hydroxybenzoic acid","Com_923_neg","3-Hydroxybenzoic acid","C7 H6 O3",138.03171,5.385,137.02443,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",32656521.98,37860400.07,34859450.02,31886533.26,33340078.08,31432359.06,38809433.6,33384048.6,25.005100983205,25.0633668681494,-0.0582658849444115,0.510333809042225,0.343894078048743,"stable",0.533658392109708
"2'-Deoxyuridine-5-monophosphate","Com_1003_neg","2'-Deoxyuridine-5-monophosphate","C9 H13 N2 O8 P",308.04069,1.676,307.03342,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",33699085.94,36757148.75,43242274.76,51230393.17,54837584.43,140902110.3,38786343.88,69079347.98,25.9280145753175,25.1678889106313,0.760125664686193,0.0726364344759332,0.155782157426579,"stable",1.16399877101026
"D-Sedoheptulose 7-phosphate","Com_1008_neg","D-Sedoheptulose 7-phosphate","C7 H15 O10 P",290.0405,1.217,289.03323,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",1791314.281,1916123.246,2189088.179,3297755.506,4178784.377,5041610.077,3253901.856,3750776.065,21.8771310037263,20.9014148707603,0.975716132965999,0.000523784306523859,0.0392424749150347,"up",1.8233580488539
"Taurochenodeoxycholic acid","Com_1086_neg","Taurochenodeoxycholic acid","C26 H45 N O6 S",499.29739,7.289,498.29012,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Taurinated bile acids and derivatives",21890675.85,22245599.19,22993852.71,19917539.53,15315404.62,19222774.9,12577043.58,18523411.68,24.0078931058969,24.4151915544252,-0.407298448528355,0.0296975779546438,0.11435281372208,"down",1.39795852171323
"Uridine 5'-diphosphoglucuronic acid","Com_1164_neg","Uridine 5'-diphosphoglucuronic acid","C15 H22 N2 O18 P2",580.03517,4.319,579.02789,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",160532664.5,136596552.1,128072396.8,112665865.7,98404966.2400001,97131633.45,98526162.23,110360608.6,26.6209589061176,27.0720072647056,-0.451048358588061,0.0257959009403151,0.111687184849848,"down",1.76457886258428
"Deoxycholic acid","Com_1566_neg","Deoxycholic acid","C24 H40 O4",392.29282,8.265,391.28555,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives",4498635.06,6426190.13699999,5408359.92200001,4909934.454,4311145.266,5839549.82700001,4062456.357,5660649.13300001,22.2261589520463,22.3611159591453,-0.134957007099,0.498027876072644,0.340026969981974,"stable",0.592513974506985
"3-Hydroxydecanoic acid","Com_2064_neg","3-Hydroxydecanoic acid","C10 H20 O3",188.14134,7.101,187.13406,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",15983076.98,13600526.14,14702540.48,13822118.95,13448738.68,11719256.79,13756731.62,12509660.29,23.6347988871179,23.8122543647052,-0.177455477587284,0.0969615817245815,0.170049811264284,"stable",1.34191426026525
"DL-Malic acid","Com_2348_neg","DL-Malic acid","C4 H6 O5",134.02145,2.397,133.01418,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",71201182.4,72069466.5299999,67704465.6900001,52630754.23,54744330.23,88972255.91,60537280.35,84080393.8299999,25.9878095537357,26.0670101178192,-0.0792005640835036,0.646773872554299,0.396347266281619,"stable",0.298208899475101
"Valeric acid","Com_2501_neg","Valeric acid","C5 H10 O2",102.06808,0.36,101.06081,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Straight chain fatty acids",6397981.41700001,5914875.415,6210085.951,5600786.544,5710143.43,5189691.45299999,5850753.146,5328583.835,22.3990045111564,22.5570945092635,-0.158089998107076,0.0172041454280323,0.102596359769085,"stable",1.57789343940025
"D-(-)-Quinic acid","Com_3047_neg","D-(-)-Quinic acid","C7 H12 O6",192.0634,4.992,191.05617,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Quinic acids and derivatives",940996.253099999,945283.4022,1112771.417,901299.428799999,1211530.039,1168335.612,1419593.717,1139113.599,20.1405191767196,19.9266475627325,0.213871613987038,0.156570407113253,0.198155029074634,"stable",0.985901141443399
"3-Coumaric acid","Com_3096_neg","3-Coumaric acid","C9 H8 O3",164.04735,6.588,163.04007,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",8457920.61299999,9017236.25599999,9076242.529,8546734.97800001,6763502.332,8879635.07699999,7699054.665,7442887.01100001,22.9004061557617,23.076596402914,-0.176190247152213,0.0686705965804739,0.152830307672087,"stable",1.17928029643844
"Oleoyl-L-α-lysophosphatidic acid","Com_3344_neg","Oleoyl-L-α-lysophosphatidic acid","C21 H41 O7 P",436.25896,10.27,435.25169,"Full match","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1-acylglycerol-3-phosphates",8945813.795,6644048.70800001,4901186.156,4347159.13299999,6115672.53200001,2136321.557,2551308.014,5478239.259,21.8581010178212,22.6603706770307,-0.802269659209433,0.0875234062316359,0.165178441557403,"stable",1.18078648022418
"Rutin","Com_3410_neg","Rutin","C27 H30 O16",610.15474,5.536,609.14747,"Full match","Full match","No results","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid-3-O-glycosides",2739296.984,166952.8334,162899.3492,152096.3501,101991.7112,146032.8844,975950.857500001,167361.0513,17.6515410835847,18.6826922074213,-1.0311511238366,0.537407691707605,0.35347862399941,"stable",0.632242558461725
"Xanthosine","Com_3481_neg","Xanthosine","C10 H12 N4 O6",284.07579,4.769,283.06852,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",4485924.061,4713523.056,4695464.771,7327769.298,5331315.946,7220325.321,4505371.887,6055543.52499999,22.5135350211234,22.14272821947,0.370806801653394,0.0485503438444319,0.134586800720758,"up",1.28113040470139
"δ-Ribono-1,4-lactone","Com_3978_neg","δ-Ribono-1,4-lactone","C5 H8 O5",148.03711,2.492,147.02983,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",16031885.09,15765660.65,16183116.77,22905680.81,21836606.25,26885477.98,21211599.13,32551472.18,24.5608681446257,23.9309030603357,0.62996508429001,0.00523955136787429,0.0728391100993054,"up",1.69908831971336
"2-Hydroxyphenylalanine","Com_4366_neg","2-Hydroxyphenylalanine","C9 H11 N O3",181.07394,4.784,180.06667,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",4682373.144,4738832.209,5011644.449,5006257.774,5002416.614,6172593.288,5168274.252,6054727.294,22.379564396753,22.1972537542846,0.182310642468394,0.0540763215741859,0.139828543364632,"stable",1.23832490819388
"Folic acid","Com_4452_neg","Folic acid","C19 H19 N7 O6",441.14033,5.17,440.13306,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",5619263.61699999,5214820.44600001,5609322.237,5017501.337,4235633.249,4578970.4,2075408.268,4735549.222,21.9118679563272,22.3851769446888,-0.473308988361669,0.114286126011578,0.178471180684214,"stable",1.03625454146788
"N-Acetyl-DL-tryptophan","Com_4625_neg","N-Acetyl-DL-tryptophan","C13 H14 N2 O3",246.10048,5.659,245.0932,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",678252.346600001,718289.6957,937263.286999999,682728.271999999,844992.1907,1750019.076,1163711.812,2386748.789,20.2290774723456,19.5545879164711,0.674489555874434,0.117708986304456,0.180338576352377,"stable",1.02661315036392
"Guanosine","Com_4628_neg","Guanosine","C10 H13 N5 O5",283.09172,3.567,282.08444,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",1648652.27,1782520.492,1664087.015,11715871.22,5567919.87399999,2927590.263,1463884.548,6391932.45500001,22.0922282449234,20.6948807949496,1.39734744997381,0.0526178024785592,0.138514735687509,"stable",1.26719018385074
"Pantothenic acid","Com_6_neg","Pantothenic acid","C9 H17 N O5",219.11048,5.065,218.10319,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols",4582331751,4931849467.99999,5691303595,4589331140.99999,4409441682,5834597111.00001,5029703483,5927254559,32.2536229161869,32.2330094594805,0.0206134567064638,0.876897846026765,0.470954101154772,"stable",0.123845641178796
"L-Glutamic acid","Com_12_neg","L-Glutamic acid","C5 H9 N O4",147.05307,1.354,146.04579,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",6221536563.99999,6954102980.99998,7386594091,6617338600.99999,6677939234,9953566589.99998,8904217951.99999,8832873344.00001,32.9130007275785,32.6707010760752,0.242299651503266,0.134508658547551,0.188884397499434,"stable",1.00518916539885
"L-Aspartic acid","Com_46_neg","L-Aspartic acid","C4 H7 N O4",133.03746,1.353,132.03018,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",1178082530,1366710634,1392818350,772850058.699999,946435970.199999,946616441.1,805550679,1027513459,29.7367315929257,30.2857380362763,-0.549006443350645,0.00320567227054338,0.0645493223845948,"down",1.75285535034638
