"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_3","MV4_11_6w_1","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"2-Hydroxycaproic acid","Com_64_neg","2-Hydroxycaproic acid","C6 H12 O3",132.07863,5.736,131.07136,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",331369933.6,243171772.7,272824400.1,199709203.7,223052427.8,576275246.400001,28.1361053336375,28.0615551445268,0.0745501891106635,0.894112330562651,0.635114112747471,"stable",0.130700613027865
"N-Acetyl-α-D-glucosamine 1-phosphate","Com_77_neg","N-Acetyl-α-D-glucosamine 1-phosphate","C8 H16 N O9 P",301.0574,1.569,300.04879,"Full match","Full match","Full match",NA,NA,NA,NA,52034946.38,62720110.46,63398232.59,100723414.7,84059008.92,104649667.3,26.5172384843695,25.817780523072,0.699457961297536,0.00654375766562174,0.213224398158913,"up",1.64894824830486
"D-(-)-Mannitol","Com_101_neg","D-(-)-Mannitol","C6 H14 O6",182.07898,1.332,181.07184,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar alcohols",14618889.34,12404754.8,14015083.41,15168057.24,19921165.65,13490727.05,23.9292654912489,23.7020657497212,0.22719974152767,0.307116647188346,0.43822821083582,"stable",0.938713669676665
"Uridine 5'-diphosphogalactose","Com_126_neg","Uridine 5'-diphosphogalactose","C15 H24 N2 O17 P2",566.05541,1.753,565.04813,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",2790650479,2828894103,2970294299,3516183888,3271235524,2750622295,31.5585542555937,31.4145013524914,0.144052903102271,0.302436047852236,0.435891854489417,"stable",0.976317124432076
"Suberic acid","Com_136_neg","Suberic acid","C8 H14 O4",174.08918,5.922,173.0819,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",33597613.55,29846217.4,39975070.58,27903201.24,28663419.73,16551655.33,24.4957022968162,25.0284991454297,-0.53279684861349,0.163347267249418,0.347843536111708,"stable",1.20528081964984
"Υ-Aminobutyric acid (GABA)","Com_170_neg","Υ-Aminobutyric acid (GABA)","C4 H9 N O2",103.06328,1.355,102.05606,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Gamma amino acids and derivatives",272233336.5,294314882.7,327195532.6,429637890.3,372747214.9,314626715.3,28.4604114196894,28.1462105229176,0.314200896771769,0.121887704507539,0.326766851456366,"stable",1.27372820743682
"Threonine","Com_177_neg","Threonine","C4 H9 N O3",119.05827,1.314,118.051,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","D-alpha-amino acids",16886717.92,18679492.78,22196993.98,47598042.79,37608544.52,228494710.9,26.1455138613703,24.1893995139803,1.95611434739004,0.136362047522881,0.335262486036166,"stable",1.35026364786958
"N-Acetylalanine","Com_183_neg","N-Acetylalanine","C5 H9 N O3",131.05817,2.71,130.0509,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-L-alpha-amino acids",152544018.2,155135290.8,169984803.6,234009211.2,271877577.2,211961957.3,27.8265340408945,27.2448108586925,0.581723182202015,0.0172548159794181,0.229857287644236,"up",1.64251688137119
"D(+)-Phenyllactic acid","Com_205_neg","D(+)-Phenyllactic acid","C9 H10 O3",166.06292,5.735,165.05564,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",120559538.6,18150073.47,133362988,106259410.1,111771631.9,195750169.6,26.9811441720985,25.9831419015335,0.998002270564982,0.400269648514712,0.480929326271746,"stable",0.803193225684162
"D-(-)-Ribose","Com_265_neg","D-(-)-Ribose","C5 H10 O5",150.05271,1.447,149.04542,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",14220829.61,15572355.14,19666168.05,27930418.1,25183757.88,30638120.57,24.7300495131025,23.9610662171912,0.768983295911376,0.0148429965625745,0.224833235204988,"up",1.62867828832646
"α-D-Glucose-1,6-bisphosphate","Com_269_neg","α-D-Glucose-1,6-bisphosphate","C6 H14 O12 P2",339.99609,1.184,338.9888,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",53658952.31,60670819.03,61013754.9499999,67876010.15,85012715.14,38222399.36,25.8484962461363,25.7981487289694,0.0503475171668519,0.897719607454996,0.636046690030687,"stable",0.12722636481605
"4-Nitrophenol","Com_309_neg","4-Nitrophenol","C6 H5 N O3",139.0269,0.412,138.01962,"Full match","Full match","Full match","Benzenoids","Phenols","Nitrophenols","Nitrophenols",9423712.676,8583548.618,9654407.841,8342878.58699999,9135170.11299999,7484425.621,22.9835247187447,23.1345877484595,-0.151063029714781,0.211157023790728,0.383071037876815,"stable",1.07912546577608
"(2R)-2,3-Dihydroxypropanoic acid","Com_322_neg","(2R)-2,3-Dihydroxypropanoic acid","C3 H6 O4",106.02659,1.439,105.01931,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",15369251.22,18502784.33,19382595.15,28722758.24,26342388.87,25430432,24.6755421476921,24.0743470018806,0.601195145811534,0.0138292368075599,0.222844621788892,"up",1.65026024446844
"Ethylmalonic acid","Com_345_neg","Ethylmalonic acid","C5 H8 O4",132.04223,4.676,131.03495,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Branched fatty acids",72638227.06,63836702.12,67983097.5499999,76299684.04,77375908.0899999,68301639.31,26.1386572388559,26.0202604008228,0.1183968380331,0.205367807558307,0.378783896206313,"stable",1.0651649582255
"Pimelic acid","Com_363_neg","Pimelic acid","C7 H12 O4",160.07359,5.496,159.06631,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",97888035.8800001,97636332.3399999,100489350.8,90094512.82,98669734.08,82309422.6300001,26.4251981507814,26.556003784179,-0.130805633397582,0.222771360358125,0.39126116644671,"stable",1.14651911594202
"Guanosine monophosphate (GMP)","Com_367_neg","Guanosine monophosphate (GMP)","C10 H14 N5 O8 P",363.05809,1.845,362.05081,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",203342032.2,200344282.7,241990272.3,119082983.5,130694433.9,57263132.52,26.520039249466,27.6758710440366,-1.1558317945706,0.0848010297128055,0.29587586177869,"stable",1.46838654386412
"Terephthalic acid","Com_368_neg","Terephthalic acid","C8 H6 O4",166.02661,5.566,165.01934,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",62209435.6,53336517.63,63499396.4000001,47764089.0200001,53446294.72,47763389.8499999,25.5634705019896,25.8264966406247,-0.263026138635158,0.0597304602092531,0.270130635713508,"stable",1.42651821527027
"Hippuric acid","Com_423_neg","Hippuric acid","C9 H9 N O3",179.0583,5.42,178.05102,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hippuric acids",53144370.02,50296902.99,49240790.99,61507965.43,75273821.25,22762054.15,25.493347405909,25.6002434545065,-0.106896048597534,0.859800713522989,0.625998750805478,"stable",0.175834382355224
"N-Acetyl-D-alloisoleucine","Com_474_neg","N-Acetyl-D-alloisoleucine","C8 H15 N O3",173.10529,5.7,172.09801,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Isoleucine and derivatives",74432693.2700001,62576457.1300001,67990363.65,66384950.66,72133538.3500001,106028930.8,26.2494674908458,26.0224588994502,0.227008591395641,0.39278710127694,0.477750041323031,"stable",0.809078145417768
"O-Phosphorylethanolamine","Com_486_neg","O-Phosphorylethanolamine","C2 H8 N O4 P",141.01919,1.248,140.01191,"Full match","Full match","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Phosphoethanolamines",25319144.53,32632930.86,28239291.25,24841985.32,23843439.23,10354911.21,24.1257259997593,24.7682503664817,-0.642524366722398,0.255307878551901,0.411653216998887,"stable",1.06560944688965
"Fumaric acid","Com_511_neg","Fumaric acid","C4 H4 O4",116.01091,1.537,115.00364,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",210381484.2,299178518.4,261886021.8,365812543.9,330236427.1,156759276.3,27.989809636262,27.9230758878017,0.0667337484603507,0.883377748660353,0.632310447860796,"stable",0.142336095452503
"Thymidine 5'-monophosphate","Com_608_neg","Thymidine 5'-monophosphate","C10 H15 N2 O8 P",322.05634,2.317,321.04907,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",69715046.73,64821852.0200001,87507893.5599999,132159544.6,113915874,32767890.48,26.2356261333031,26.1292844873141,0.106341645988962,0.884242838419195,0.632537987739329,"stable",0.143775150261638
"3-Methylglutaric acid","Com_616_neg","3-Methylglutaric acid","C6 H10 O4",146.05799,5.476,145.05071,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",25041486.09,21157600.78,23739714.54,22175451.36,22173190.13,21202832.25,24.380842267924,24.4710962667649,-0.0902539988408826,0.335206008929499,0.451836791559008,"stable",0.911555096547783
"2-Anisic acid","Com_642_neg","2-Anisic acid","C8 H8 O3",152.04738,5.843,151.0401,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","O-methoxybenzoic acids and derivatives",20252679.64,18925179.05,17893826.89,15149292.01,15051149.17,27050782.31,24.1284281081849,24.1794572369511,-0.0510291287662561,0.873503922571486,0.629693283698332,"stable",0.157460757531532
"N-Acetyl-L-phenylalanine","Com_648_neg","N-Acetyl-L-phenylalanine","C11 H13 N O3",207.08958,5.72,206.0823,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",9317685.611,10750727.74,10621883.74,17783241.55,19160246.36,44725269.9,24.5634048721694,23.2833358390057,1.28006903316374,0.0921503197736711,0.303393663705651,"stable",1.46438701243741
"Jasmonic acid","Com_681_neg","Jasmonic acid","C12 H18 O3",210.12561,6.285,209.11834,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Jasmonic acids",19460584.56,15109709.13,21613423.19,21376504.49,11629092.92,45558676.81,24.420660123351,24.14281617183,0.277843951520904,0.678861019668064,0.574157450798593,"stable",0.404834136139318
"Phosphocreatine","Com_700_neg","Phosphocreatine","C4 H10 N3 O5 P",211.03568,1.392,210.0284,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",235193782.9,104065862,270651183.2,173408017.7,173818918.7,144169482.5,27.2819319359228,27.4846852594093,-0.20275332348649,0.686392057020549,0.57591737278953,"stable",0.397409912180136
"Glucose 1-phosphate","Com_916_neg","Glucose 1-phosphate","C6 H13 O9 P",260.02968,1.216,259.02241,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",14682988.57,17163780.92,15586941.82,25149083.89,25928299.03,13430885.14,24.297025930343,23.9114469749798,0.385578955363158,0.338078805888116,0.453144158084676,"stable",0.919743936164547
"3-Hydroxybenzoic acid","Com_923_neg","3-Hydroxybenzoic acid","C7 H6 O3",138.03171,5.385,137.02443,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",32656521.98,37860400.07,34859450.02,31432359.06,33384048.6,33462607.06,24.9648164405027,25.0633668681494,-0.0985504276467601,0.249310728285978,0.408149686799484,"stable",1.03225467306096
"2'-Deoxyuridine-5-monophosphate","Com_1003_neg","2'-Deoxyuridine-5-monophosphate","C9 H13 N2 O8 P",308.04069,1.676,307.03342,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",33699085.94,36757148.75,43242274.76,140902110.3,69079347.98,18710101.22,25.7563943786235,25.1678889106313,0.588505467992192,0.562337349625165,0.542829543340109,"stable",0.572246244133589
"D-Sedoheptulose 7-phosphate","Com_1008_neg","D-Sedoheptulose 7-phosphate","C7 H15 O10 P",290.0405,1.217,289.03323,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",1791314.281,1916123.246,2189088.179,5041610.077,3750776.065,8103707.67200001,22.3514538382288,20.9014148707603,1.45003896746845,0.0390082125698424,0.253198672052832,"up",1.60386738772104
"Taurochenodeoxycholic acid","Com_1086_neg","Taurochenodeoxycholic acid","C26 H45 N O6 S",499.29739,7.289,498.29012,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Taurinated bile acids and derivatives",21890675.85,22245599.19,22993852.71,19222774.9,18523411.68,7504034.64499999,23.7261316130135,24.4151915544252,-0.689059941411728,0.260482185448624,0.414592068082855,"stable",1.08263567479611
"Uridine 5'-diphosphoglucuronic acid","Com_1164_neg","Uridine 5'-diphosphoglucuronic acid","C15 H22 N2 O18 P2",580.03517,4.319,579.02789,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",160532664.5,136596552.1,128072396.8,97131633.45,110360608.6,171197237.6,26.8673907155195,27.0720072647056,-0.204616549186088,0.505442351724501,0.524076813297373,"stable",0.634306396628034
"Deoxycholic acid","Com_1566_neg","Deoxycholic acid","C24 H40 O4",392.29282,8.265,391.28555,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives",4498635.06,6426190.13699999,5408359.92200001,5839549.82700001,5660649.13300001,5526728.40499999,22.435985361276,22.3611159591453,0.0748694021306591,0.665799650249695,0.571037409112641,"stable",0.426899381923103
"3-Hydroxydecanoic acid","Com_2064_neg","3-Hydroxydecanoic acid","C10 H20 O3",188.14134,7.101,187.13406,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",15983076.98,13600526.14,14702540.48,11719256.79,12509660.29,16430826.37,23.6762729086694,23.8122543647052,-0.135981456035825,0.471593592549744,0.511540248859132,"stable",0.677391761155832
"DL-Malic acid","Com_2348_neg","DL-Malic acid","C4 H6 O5",134.02145,2.397,133.01418,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",71201182.4,72069466.5299999,67704465.6900001,88972255.91,84080393.8299999,47904628.8,26.0819266719168,26.0670101178192,0.0149165540976171,0.963124510221023,0.652165438651228,"stable",0.0459803414753358
"Valeric acid","Com_2501_neg","Valeric acid","C5 H10 O2",102.06808,0.36,101.06081,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Straight chain fatty acids",6397981.41700001,5914875.415,6210085.951,5189691.45299999,5328583.835,5249649.121,22.3254425453394,22.5570945092635,-0.231651963924097,0.0127724258830892,0.222099907580719,"stable",1.69176504336741
"D-(-)-Quinic acid","Com_3047_neg","D-(-)-Quinic acid","C7 H12 O6",192.0634,4.992,191.05617,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Quinic acids and derivatives",940996.253099999,945283.4022,1112771.417,1168335.612,1139113.599,3265835.968,20.6381748081178,19.9266475627325,0.711527245385295,0.289904665675212,0.429963479372553,"stable",1.01491765944255
"3-Coumaric acid","Com_3096_neg","3-Coumaric acid","C9 H8 O3",164.04735,6.588,163.04007,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",8457920.61299999,9017236.25599999,9076242.529,8879635.07699999,7442887.01100001,14006211.63,23.2163544390301,23.076596402914,0.139758036116163,0.659114186007074,0.569406181218102,"stable",0.43703743485737
"Oleoyl-L-α-lysophosphatidic acid","Com_3344_neg","Oleoyl-L-α-lysophosphatidic acid","C21 H41 O7 P",436.25896,10.27,435.25169,"Full match","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1-acylglycerol-3-phosphates",8945813.795,6644048.70800001,4901186.156,2136321.557,5478239.259,4954969.282,21.8841409714083,22.6603706770307,-0.776229705622349,0.21120036527686,0.383102603412277,"stable",1.08541656422905
"Rutin","Com_3410_neg","Rutin","C27 H30 O16",610.15474,5.536,609.14747,"Full match","Full match","No results","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid-3-O-glycosides",2739296.984,166952.8334,162899.3492,146032.8844,167361.0513,174571.1848,17.3073313215802,18.6826922074213,-1.37536088584111,0.415914464062472,0.488195220993282,"stable",0.800108281933773
"Xanthosine","Com_3481_neg","Xanthosine","C10 H12 N4 O6",284.07579,4.769,283.06852,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",4485924.061,4713523.056,4695464.771,7220325.321,6055543.52499999,4914102.59900001,22.513984661817,22.14272821947,0.37125644234694,0.144136736347189,0.339269044042759,"stable",1.3306499801041
"δ-Ribono-1,4-lactone","Com_3978_neg","δ-Ribono-1,4-lactone","C5 H8 O5",148.03711,2.492,147.02983,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",16031885.09,15765660.65,16183116.77,26885477.98,32551472.18,18802860.44,24.6003306861807,23.9309030603357,0.669427625845021,0.101747913723039,0.312022655749985,"stable",1.45123569695096
"2-Hydroxyphenylalanine","Com_4366_neg","2-Hydroxyphenylalanine","C9 H11 N O3",181.07394,4.784,180.06667,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",4682373.144,4738832.209,5011644.449,6172593.288,6054727.294,7604407.1,22.6484933979451,22.1972537542846,0.45123964366045,0.0415566434200196,0.25458574806621,"up",1.58918591981482
"Folic acid","Com_4452_neg","Folic acid","C19 H19 N7 O6",441.14033,5.17,440.13306,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",5619263.61699999,5214820.44600001,5609322.237,4578970.4,4735549.222,4614433.538,22.1464714197718,22.3851769446888,-0.23870552491702,0.011811753553487,0.221312760729535,"stable",1.68154739333377
"N-Acetyl-DL-tryptophan","Com_4625_neg","N-Acetyl-DL-tryptophan","C13 H14 N2 O3",246.10048,5.659,245.0932,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",678252.346600001,718289.6957,937263.286999999,1750019.076,2386748.789,5281861.877,21.419389886118,19.5545879164711,1.86480196964689,0.0490375934096861,0.261672309998107,"up",1.55967337380588
"Guanosine","Com_4628_neg","Guanosine","C10 H13 N5 O5",283.09172,3.567,282.08444,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",1648652.27,1782520.492,1664087.015,2927590.263,6391932.45500001,3966287.585,22.0028202702479,20.6948807949496,1.3079394752983,0.0559164985114018,0.267426660608894,"stable",1.57729177191171
"Pantothenic acid","Com_6_neg","Pantothenic acid","C9 H17 N O5",219.11048,5.065,218.10319,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols",4582331751,4931849467.99999,5691303595,5834597111.00001,5927254559,8718785153.00001,32.6427275826328,32.2330094594805,0.409718123152331,0.15035554344035,0.342235994514476,"stable",1.23185212322062
"L-Glutamic acid","Com_12_neg","L-Glutamic acid","C5 H9 N O4",147.05307,1.354,146.04579,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",6221536563.99999,6954102980.99998,7386594091,9953566589.99998,8832873344.00001,7198821077.00001,32.9993052055784,32.6707010760752,0.328604129503233,0.122099804812689,0.326902417203441,"stable",1.28666655541183
"L-Aspartic acid","Com_46_neg","L-Aspartic acid","C4 H7 N O4",133.03746,1.353,132.03018,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",1178082530,1366710634,1392818350,946616441.1,1027513459,662479382.5,29.6860050663498,30.2857380362763,-0.599732969926489,0.0756966471874916,0.285217608944054,"stable",1.44958128033733
"Phenylacetylglycine","Com_50_neg","Phenylacetylglycine","C10 H11 N O3",193.074,5.533,192.06672,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",119524968.8,122737381.6,152448252.9,200447616.6,262787457.3,187500365.2,27.6767631215137,26.9624935448445,0.714269576669253,0.0212476510941486,0.235955045467606,"up",1.56706235380455
"N-Acetyl-1-aspartylglutamic acid","Com_51_neg","N-Acetyl-1-aspartylglutamic acid","C11 H16 N2 O8",304.09064,2.484,303.08336,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",59055208.1600001,70928942.6499999,79151060.7,95752162.29,87887937.67,101399395.9,26.4991457950749,26.0445124721209,0.454633322954031,0.0475367268918533,0.260235196408575,"up",1.51279658414044
"Citric acid","Com_18_neg","Citric acid","C6 H8 O7",192.02695,2.074,191.01968,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",6904895569.00002,6540255762,7042666709.99998,7749520815,6173064451,5870775402,32.6085678620224,32.6683823404163,-0.0598144783939247,0.679819747858285,0.57438305855644,"stable",0.404013229844834
"Azelaic acid","Com_32_neg","Azelaic acid","C9 H16 O4",188.10483,5.934,187.09755,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",646655358.599999,631771724.400001,639990023.6,678059392.899999,701790666.799999,857846049.500001,29.4664818163927,29.2522413603062,0.214240456086525,0.179175241551267,0.358274859998965,"stable",1.25418471573358
