"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_2w_1","MV4_11_2w_2","MV4_11_2w_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"2-Hydroxycaproic acid","Com_64_neg","2-Hydroxycaproic acid","C6 H12 O3",132.07863,5.736,131.07136,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",247341138.1,210907495.8,195213856.1,296057996.7,196980848.8,272865622.2,576275246.400001,275329397.5,108226585.9,27.9244410071571,27.6914807720116,0.232960235145494,0.516645877571261,0.893721809736501,"stable",0.485858214560684
"N-Acetyl-α-D-glucosamine 1-phosphate","Com_77_neg","N-Acetyl-α-D-glucosamine 1-phosphate","C8 H16 N O9 P",301.0574,1.569,300.04879,"Full match","Full match","Full match",NA,NA,NA,NA,123029321.7,114100758.6,73283714.2199999,77221505.27,80009666.13,64384659.81,104649667.3,67891554.67,37453946.37,26.0354532737453,26.5890497954527,-0.553596521707409,0.132548940934688,0.683315240512691,"stable",1.4247285502969
"D-(-)-Mannitol","Com_101_neg","D-(-)-Mannitol","C6 H14 O6",182.07898,1.332,181.07184,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar alcohols",24854278.72,34442551.79,15654452.27,83985890.6099999,108189752.5,118110294.7,13490727.05,42397141.87,52499895.01,25.7494885632034,24.5015830979167,1.24790546528668,0.0683707823195122,0.542797012717049,"stable",1.45251787390711
"Uridine 5'-diphosphogalactose","Com_126_neg","Uridine 5'-diphosphogalactose","C15 H24 N2 O17 P2",566.05541,1.753,565.04813,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",3495828722,3416392014,2348745991,2898543490,3059051419,2587072769,2750622295,2335142741,1361471386,31.1720476163155,31.5006857631453,-0.328638146829785,0.250236603434759,0.802878587799841,"stable",1.07360328006295
"Suberic acid","Com_136_neg","Suberic acid","C8 H14 O4",174.08918,5.922,173.0819,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",12632156.07,13412295.35,8856354.289,11835992.26,17055176.66,12367247.42,16551655.33,12316415.73,9808503.484,23.6400929495431,23.4486439644437,0.191448985099381,0.443845825995923,0.878409499443318,"stable",0.834964175304318
"Υ-Aminobutyric acid (GABA)","Com_170_neg","Υ-Aminobutyric acid (GABA)","C4 H9 N O2",103.06328,1.355,102.05606,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Gamma amino acids and derivatives",376520132,345707909.9,259183072.6,336181050.1,356894890.1,311076223.3,314626715.3,384778679.7,182474688.1,28.1899867880021,28.2675087981419,-0.0775220101398268,0.744274463370875,0.923747364819541,"stable",0.307895463194311
"Threonine","Com_177_neg","Threonine","C4 H9 N O3",119.05827,1.314,118.051,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","D-alpha-amino acids",135027817.5,108253733.2,74653369.3699999,81206360.0100001,99898123.8,88292084.48,228494710.9,93053974.4799999,80782118.17,26.6252511677522,26.617408996073,0.00784217167914036,0.982512481121354,0.941148843779733,"stable",0.0209308769657144
"N-Acetylalanine","Com_183_neg","N-Acetylalanine","C5 H9 N O3",131.05817,2.71,130.0509,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-L-alpha-amino acids",384558144.5,398381540.6,269340458.2,397043420.6,355376817.8,368047083.6,211961957.3,347323424.8,187742275.8,28.1566539797827,28.3643525938422,-0.207698614059471,0.456377758385249,0.881352177158018,"stable",0.677417682340656
"D(+)-Phenyllactic acid","Com_205_neg","D(+)-Phenyllactic acid","C9 H10 O3",166.06292,5.735,165.05564,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",202767556.6,206382093.3,14465170.68,242389589.3,193334145.4,205574837.5,195750169.6,227299324.9,84883292.7399999,27.4396326536131,26.334024721709,1.10560793190407,0.478180462314336,0.886146017803605,"stable",1.1289914826294
"D-(-)-Ribose","Com_265_neg","D-(-)-Ribose","C5 H10 O5",150.05271,1.447,149.04542,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",24222862.67,28056533.95,20994492.58,39191196.99,30705531.97,32660489.15,30638120.57,33153063.82,12563818.5,24.7485499379892,24.5317356927286,0.216814245260643,0.445742840405967,0.878864286102685,"stable",0.595465945149049
"α-D-Glucose-1,6-bisphosphate","Com_269_neg","α-D-Glucose-1,6-bisphosphate","C6 H14 O12 P2",339.99609,1.184,338.9888,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",47981596.99,57884117.28,32416848.03,53352050.87,52075973.34,46871619.84,38222399.36,32633808.58,28658361.41,25.2842663509398,25.4176275112365,-0.133361160296719,0.671170363573268,0.916138411642841,"stable",0.483993753927523
"4-Nitrophenol","Com_309_neg","4-Nitrophenol","C6 H5 N O3",139.0269,0.412,138.01962,"Full match","Full match","Full match","Benzenoids","Phenols","Nitrophenols","Nitrophenols",6862516.20600001,6461156.343,5882411.6,7630865.659,7219447.03400001,636924380,7484425.621,6753355.981,2980520.997,23.6538642527197,22.6072144929844,1.04664975973539,0.400484814162339,0.866995707578531,"stable",0.617531023824489
"(2R)-2,3-Dihydroxypropanoic acid","Com_322_neg","(2R)-2,3-Dihydroxypropanoic acid","C3 H6 O4",106.02659,1.439,105.01931,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",50189061.35,60579648.95,38018450.86,84667892.42,64113775.34,67178069.29,25430432,54097215.1999999,25773818.71,25.5299060442456,25.5377986409521,-0.00789259670647624,0.983139678521121,0.941184179882012,"stable",0.0172850881164125
"Ethylmalonic acid","Com_345_neg","Ethylmalonic acid","C5 H8 O4",132.04223,4.676,131.03495,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Branched fatty acids",160492669.7,165647486.3,120233104.9,133540414.4,115224850.9,106705403.4,68301639.31,158748405.8,59505514.44,26.5892899336083,27.1342440583231,-0.544954124714735,0.0829897351076097,0.586653443632775,"stable",1.37242798787586
"Pimelic acid","Com_363_neg","Pimelic acid","C7 H12 O4",160.07359,5.496,159.06631,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",79508905.07,65756101.74,59103147.51,63637321.76,68040280.3400001,65569508.56,82309422.6300001,57702935.0699999,30420953.38,25.8075058233691,26.0106553936982,-0.203149570329145,0.420628927187852,0.872553556835857,"stable",0.649654570006115
"Guanosine monophosphate (GMP)","Com_367_neg","Guanosine monophosphate (GMP)","C10 H14 N5 O8 P",363.05809,1.845,362.05081,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",122515706.8,120098050.1,89463904.0000001,442140714,195025460.7,475133897.7,57263132.52,505458674.1,224913090.4,27.9186150059363,26.7076104479256,1.21100455801065,0.0574083799753304,0.502107115059677,"stable",1.42719483807074
"Terephthalic acid","Com_368_neg","Terephthalic acid","C8 H6 O4",166.02661,5.566,165.01934,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",51245666.0599999,48392655.83,72922358.8600001,42282170.48,46182463.8899999,49137323.94,47763389.8499999,47393106.65,36442299.89,25.4118983886407,25.7530231128497,-0.341124724208925,0.197715466316164,0.762929078715152,"stable",1.71127709057185
"Hippuric acid","Com_423_neg","Hippuric acid","C9 H9 N O3",179.0583,5.42,178.05102,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hippuric acids",49710526.49,53599152.56,37910675.48,59207604.35,55518351.47,51434268.52,22762054.15,46177740.07,27509458.73,25.2960355276528,25.4729519096005,-0.176916381947709,0.547493948936039,0.899105792233379,"stable",0.490424370303606
"N-Acetyl-D-alloisoleucine","Com_474_neg","N-Acetyl-D-alloisoleucine","C8 H15 N O3",173.10529,5.7,172.09801,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Isoleucine and derivatives",104172727.1,95942188.66,60134204.2,92718212.7099999,80518305.5899999,101647693.8,106028930.8,91621875.81,44397584.64,26.3068690813909,26.3305822958448,-0.0237132144539025,0.942536483619291,0.938805522831645,"stable",0.0747488749045417
"O-Phosphorylethanolamine","Com_486_neg","O-Phosphorylethanolamine","C2 H8 N O4 P",141.01919,1.248,140.01191,"Full match","Full match","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Phosphoethanolamines",25845714.83,40276256.33,22789000.29,43922662.64,42284245.86,37072657.9,10354911.21,29302100.04,9706637.822,24.5307973525366,24.7762274419994,-0.245430089462793,0.625621422172285,0.910578763867079,"stable",0.393212376473152
"Fumaric acid","Com_511_neg","Fumaric acid","C4 H4 O4",116.01091,1.537,115.00364,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",217336015.8,241765636.6,150194718.4,262695878,200907489.1,227569223.1,156759276.3,185389513.2,109152000.8,27.4507046584905,27.5688816101281,-0.118176951637604,0.686724807223921,0.917881910393329,"stable",0.394629918514505
"Thymidine 5'-monophosphate","Com_608_neg","Thymidine 5'-monophosphate","C10 H15 N2 O8 P",322.05634,2.317,321.04907,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",83388424.68,85797628.71,57781713.7899999,86465833.1499999,62728158.21,63571856.27,32767890.48,53030547.43,35555986.7,25.6499684171492,26.1506292986708,-0.500660881521629,0.126665675483084,0.674618624420022,"stable",1.29358115524382
"3-Methylglutaric acid","Com_616_neg","3-Methylglutaric acid","C6 H10 O4",146.05799,5.476,145.05071,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",19183575.6,16822151.98,13854865.39,16375123.5,19816877.3,18916463.42,21202832.25,15910081.39,9905809.86800001,23.9799004749446,23.973705536246,0.00619493869868748,0.977517552264745,0.940865908258433,"stable",0.0247529346339712
"2-Anisic acid","Com_642_neg","2-Anisic acid","C8 H8 O3",152.04738,5.843,151.0401,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","O-methoxybenzoic acids and derivatives",17429343.67,16093484.12,19626673.79,15836724.99,16680257.86,17752811.89,27050782.31,16006511.12,24119683.25,24.1891638851605,24.0737668743533,0.115397010807271,0.492083584019929,0.889005755797811,"stable",0.553854694239274
"N-Acetyl-L-phenylalanine","Com_648_neg","N-Acetyl-L-phenylalanine","C11 H13 N O3",207.08958,5.72,206.0823,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",29309311.02,24967567.08,10817011.24,22204218.41,17330503.98,28692435.64,44725269.9,22046487.25,9875156.273,24.3782187168245,24.2484020765162,0.129816640308331,0.8208491511327,0.930365418683642,"stable",0.2494439646808
"Jasmonic acid","Com_681_neg","Jasmonic acid","C12 H18 O3",210.12561,6.285,209.11834,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Jasmonic acids",21975595.41,19068528.47,17677961.87,21427265.24,20321568.35,24502910.19,45558676.81,25542852.21,14716528.96,24.5057459144318,24.2165125714448,0.289233342987075,0.26711483554794,0.813005008559105,"stable",0.848076295338754
"Phosphocreatine","Com_700_neg","Phosphocreatine","C4 H10 N3 O5 P",211.03568,1.392,210.0284,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",56368901.36,54759026.13,34983964.55,61639120.7000001,61228330.9699999,54882494.9000001,144169482.5,32120646.47,18516334.47,25.6062275087796,25.5050600075406,0.101167501238944,0.833895326842159,0.931380085832975,"stable",0.166155696596546
"Glucose 1-phosphate","Com_916_neg","Glucose 1-phosphate","C6 H13 O9 P",260.02968,1.216,259.02241,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",15886319.8,15949610.59,11332501.76,17828771.17,18206868.37,16077360.29,13430885.14,11336536.83,7179668.587,23.6722040214911,23.7607541766098,-0.0885501551187922,0.748315585501543,0.924127908161688,"stable",0.275391872582048
"3-Hydroxybenzoic acid","Com_923_neg","3-Hydroxybenzoic acid","C7 H6 O3",138.03171,5.385,137.02443,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",28453391.58,30250942.75,26031912.46,24787403.54,28480602.95,26587326.13,33462607.06,25883113.77,13679452.66,24.5529795113706,24.7487840099146,-0.19580449854395,0.344600642943144,0.848689960689816,"stable",0.713572967295947
"2'-Deoxyuridine-5-monophosphate","Com_1003_neg","2'-Deoxyuridine-5-monophosphate","C9 H13 N2 O8 P",308.04069,1.676,307.03342,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",19925147.93,19273273.25,13339672.06,34192291.47,19736731.31,26710242.88,18710101.22,25964572.39,14867540.14,24.4242425116101,24.0391350794886,0.385107432121515,0.187793058700967,0.753490779142048,"stable",1.21570555893473
"D-Sedoheptulose 7-phosphate","Com_1008_neg","D-Sedoheptulose 7-phosphate","C7 H15 O10 P",290.0405,1.217,289.03323,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",6658878.18,6710897.708,3646348.632,18214797.12,21939691.1,20026151.13,8103707.67200001,8619833.77000001,9880283.38599999,23.6644216025027,22.3809810425989,1.28344055990384,0.0211109394535091,0.400056195609671,"up",1.9871903675143
"Taurochenodeoxycholic acid","Com_1086_neg","Taurochenodeoxycholic acid","C26 H45 N O6 S",499.29739,7.289,498.29012,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Taurinated bile acids and derivatives",24266227.41,30299876.61,17523406.99,13457313.17,12506134.06,11955833.47,7504034.64499999,17801721.97,10456499.12,23.5019793471181,24.4826783481648,-0.980699001046677,0.0237999236056436,0.414149944203768,"down",2.10966980400835
"Uridine 5'-diphosphoglucuronic acid","Com_1164_neg","Uridine 5'-diphosphoglucuronic acid","C15 H22 N2 O18 P2",580.03517,4.319,579.02789,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",245510964.3,284216698.9,200151627.9,284024659.7,281979558.3,262826461.2,171197237.6,185449503.8,103219197.9,27.5934438360564,27.8433821345923,-0.249938298535827,0.394109363069353,0.865134291976736,"stable",0.689045229700272
"Deoxycholic acid","Com_1566_neg","Deoxycholic acid","C24 H40 O4",392.29282,8.265,391.28555,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives",5611907.585,4355588.588,10802768.5,4334610.414,3507981.752,4034848.257,5526728.40499999,4312276.035,5462159.896,22.0921360339852,22.6131312774984,-0.520995243513152,0.312095593114462,0.835522886147741,"stable",1.47541655463895
"3-Hydroxydecanoic acid","Com_2064_neg","3-Hydroxydecanoic acid","C10 H20 O3",188.14134,7.101,187.13406,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",13607279.54,13018170.73,12033080.16,12816271.17,12335636.29,12263039.96,16430826.37,12467043.9,7963785.03199999,23.5303593345735,23.6174671258856,-0.0871077913121745,0.574789611781102,0.903434393570205,"stable",0.42523407036777
"DL-Malic acid","Com_2348_neg","DL-Malic acid","C4 H6 O5",134.02145,2.397,133.01418,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",58090561.3,57153067.09,34901911.14,58445527.14,57279383.8399999,60050943.27,47904628.8,46924719.74,32811299,25.5628302314665,25.5389769071732,0.0238533242933201,0.936098465445875,0.938410578587838,"stable",0.0956406761847794
"Valeric acid","Com_2501_neg","Valeric acid","C5 H10 O2",102.06808,0.36,101.06081,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Straight chain fatty acids",4465439.449,4250837.864,3059179.981,3762477.946,4759390.715,63810910.31,5249649.121,4347911.984,1922065.881,22.533800694649,21.8848000292456,0.649000665403435,0.41139280745476,0.870064058684459,"stable",0.610487751094258
"D-(-)-Quinic acid","Com_3047_neg","D-(-)-Quinic acid","C7 H12 O6",192.0634,4.992,191.05617,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Quinic acids and derivatives",1401111.85,1605825.424,882622.521799999,1597311.537,2772839.436,1660625.683,3265835.968,2782309.143,3722168.564,21.258004430104,20.2614871212951,0.996517308808901,0.0340293481148566,0.451705838993332,"up",1.96301822917727
"3-Coumaric acid","Com_3096_neg","3-Coumaric acid","C9 H8 O3",164.04735,6.588,163.04007,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",8551519.63900001,6799773.006,6866263.477,7171914.899,9003620.661,7654113.118,14006211.63,7914654.46200001,4690525.196,22.9267968341815,22.8119661093717,0.114830724809849,0.640145315148575,0.912429926857272,"stable",0.366970341122284
"Oleoyl-L-α-lysophosphatidic acid","Com_3344_neg","Oleoyl-L-α-lysophosphatidic acid","C21 H41 O7 P",436.25896,10.27,435.25169,"Full match","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1-acylglycerol-3-phosphates",3984923.267,3483038.651,6906477.387,3955095.907,2497187.203,3306506.467,4954969.282,5069440.945,6388681.323,21.9908261239249,22.1258513979092,-0.135025273984269,0.728640255615404,0.922238463613517,"stable",0.383927164551432
"Rutin","Com_3410_neg","Rutin","C27 H30 O16",610.15474,5.536,609.14747,"Full match","Full match","No results","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid-3-O-glycosides",160580.3964,157158.34,116890.2096,240273.883,8400577.719,242723.4532,174571.1848,187976.2241,76372.07205,18.3199559260383,17.1298633787913,1.19009254724707,0.276719096935188,0.818316003139598,"stable",0.80659617169179
"Xanthosine","Com_3481_neg","Xanthosine","C10 H12 N4 O6",284.07579,4.769,283.06852,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",8704702.048,8905812.48599999,5880565.11399999,6194842.485,4248425.89,4319552.382,4914102.59900001,5136775.985,2180343.199,22.0334392689451,22.8757342211281,-0.84229495218305,0.025621201866393,0.422455771379639,"down",1.84344512160926
"δ-Ribono-1,4-lactone","Com_3978_neg","δ-Ribono-1,4-lactone","C5 H8 O5",148.03711,2.492,147.02983,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",12987918.13,14035916.9,9104811.42800001,13302489.92,14243991.27,13801048.01,18802860.44,11020074.93,7402845.752,23.5875076061729,23.4971615140916,0.0903460920812975,0.746727458613833,0.923978811765091,"stable",0.305335211273757
"2-Hydroxyphenylalanine","Com_4366_neg","2-Hydroxyphenylalanine","C9 H11 N O3",181.07394,4.784,180.06667,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",5579953.045,5359584.09100001,1587151.268,5317805.024,5656133.60799999,3724327.458,7604407.1,5295285.619,2784993.707,22.2010427937747,21.7878397917537,0.41320300202096,0.567293787033914,0.902283124852678,"stable",0.806362648585874
"Folic acid","Com_4452_neg","Folic acid","C19 H19 N7 O6",441.14033,5.17,440.13306,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",7068334.05500001,10005836.98,3838761.68,5356214.497,5795266.331,5373360.989,4614433.538,4586782.456,2082661.339,22.0722315302934,22.6264956255395,-0.55426409524603,0.309146840861224,0.834214136750251,"stable",1.19294314369753
"N-Acetyl-DL-tryptophan","Com_4625_neg","N-Acetyl-DL-tryptophan","C13 H14 N2 O3",246.10048,5.659,245.0932,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",3805061.868,3597176.518,1155501.461,2510095.207,1799767.679,3794274.811,5281861.877,3137837.638,1084863.222,21.3095198010495,21.2593365530832,0.0501832479663662,0.942760623718379,0.938819181624148,"stable",0.0834043390522025
"Guanosine","Com_4628_neg","Guanosine","C10 H13 N5 O5",283.09172,3.567,282.08444,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",10324061.68,10712589.4,5996413.121,6556142.27099999,5938095.36799999,5967225.545,3966287.585,8767006.05799999,3495302.985,22.3957683667469,23.0559931961393,-0.660224829392401,0.11665123613562,0.658452494335225,"stable",1.57798460950317
"Pantothenic acid","Com_6_neg","Pantothenic acid","C9 H17 N O5",219.11048,5.065,218.10319,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols",8326977058.99999,8952304183.99999,6038756211.00001,5457857650.99999,4794179050.99999,4462225736.00001,8718785153.00001,6469225009,2461350592,32.228111561813,32.8354539667441,-0.607342404931074,0.0869258678048391,0.596866315622985,"stable",1.3742265082742
