"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_2","MOLM13_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"Ethylmalonic acid","Com_345_neg","Ethylmalonic acid","C5 H8 O4",132.04223,4.676,131.03495,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Branched fatty acids",72638227.06,63836702.12,67983097.5499999,76299684.04,68111121.8,77375908.0899999,26.1373139684103,26.0202604008228,0.117053567587565,0.0806872105215971,0.265881224037789,"stable",0.986264204458517
"Pimelic acid","Com_363_neg","Pimelic acid","C7 H12 O4",160.07359,5.496,159.06631,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",97888035.8800001,97636332.3399999,100489350.8,90094512.82,99164728.0199999,98669734.08,26.5147879712372,26.556003784179,-0.0412158129417897,0.427035866981051,0.419542371648665,"stable",0.668204871629708
"Guanosine monophosphate (GMP)","Com_367_neg","Guanosine monophosphate (GMP)","C10 H14 N5 O8 P",363.05809,1.845,362.05081,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",203342032.2,200344282.7,241990272.3,119082983.5,84453813.58,130694433.9,26.7068912417758,27.6758710440366,-0.968979802260744,0.0209999922921283,0.207961607487441,"down",1.52315265595047
"Terephthalic acid","Com_368_neg","Terephthalic acid","C8 H6 O4",166.02661,5.566,165.01934,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",62209435.6,53336517.63,63499396.4000001,47764089.0200001,53382400.92,53446294.72,25.6169568228625,25.8264966406247,-0.209539817762206,0.202581824118616,0.33158124553216,"stable",1.22513971410987
"Hippuric acid","Com_423_neg","Hippuric acid","C9 H9 N O3",179.0583,5.42,178.05102,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hippuric acids",53144370.02,50296902.99,49240790.99,61507965.43,48471974.01,75273821.25,25.8568540986839,25.6002434545065,0.256610644177425,0.315974519668289,0.370525012893335,"stable",0.941604888288709
"N-Acetyl-D-alloisoleucine","Com_474_neg","N-Acetyl-D-alloisoleucine","C8 H15 N O3",173.10529,5.7,172.09801,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Isoleucine and derivatives",74432693.2700001,62576457.1300001,67990363.65,66384950.66,68179284.12,72133538.3500001,26.0371166200489,26.0224588994502,0.0146577205986986,0.88627900248982,0.57581826226433,"stable",0.150675715076788
"O-Phosphorylethanolamine","Com_486_neg","O-Phosphorylethanolamine","C2 H8 N O4 P",141.01919,1.248,140.01191,"Full match","Full match","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Phosphoethanolamines",25319144.53,32632930.86,28239291.25,24841985.32,17944623.94,23843439.23,24.3901381685531,24.7682503664817,-0.378112197928537,0.269942918528864,0.357725386148953,"stable",1.19749961111996
"Fumaric acid","Com_511_neg","Fumaric acid","C4 H4 O4",116.01091,1.537,115.00364,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",210381484.2,299178518.4,261886021.8,365812543.9,343270765.6,330236427.1,28.3667416958618,27.9230758878017,0.4436658080601,0.134452975471735,0.292726470965886,"stable",1.36367708099538
"Thymidine 5'-monophosphate","Com_608_neg","Thymidine 5'-monophosphate","C10 H15 N2 O8 P",322.05634,2.317,321.04907,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",69715046.73,64821852.0200001,87507893.5599999,132159544.6,65323692.31,113915874,26.5674006468131,26.1292844873141,0.438116159499007,0.239767392639846,0.347359193404069,"stable",0.907525436877004
"3-Methylglutaric acid","Com_616_neg","3-Methylglutaric acid","C6 H10 O4",146.05799,5.476,145.05071,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",25041486.09,21157600.78,23739714.54,22175451.36,22310691.93,22173190.13,24.4053350232302,24.4710962667649,-0.0657612435346344,0.470715269182794,0.435111391332393,"stable",0.691477145362107
"2-Anisic acid","Com_642_neg","2-Anisic acid","C8 H8 O3",152.04738,5.843,151.0401,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","O-methoxybenzoic acids and derivatives",20252679.64,18925179.05,17893826.89,15149292.01,19384972.47,15051149.17,23.9681842311001,24.1794572369511,-0.211273005851016,0.251381195946713,0.351569752740386,"stable",1.0435680375113
"N-Acetyl-L-phenylalanine","Com_648_neg","N-Acetyl-L-phenylalanine","C11 H13 N O3",207.08958,5.72,206.0823,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",9317685.611,10750727.74,10621883.74,17783241.55,12113869.87,19160246.36,23.9352614156368,23.2833358390057,0.651925576631111,0.11379899547685,0.281020106440028,"stable",1.38579585746916
"Jasmonic acid","Com_681_neg","Jasmonic acid","C12 H18 O3",210.12561,6.285,209.11834,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Jasmonic acids",19460584.56,15109709.13,21613423.19,21376504.49,18370014.18,11629092.92,23.9838690878668,24.14281617183,-0.158947083963234,0.70938048460346,0.520735683590639,"stable",0.418454024511528
"Phosphocreatine","Com_700_neg","Phosphocreatine","C4 H10 N3 O5 P",211.03568,1.392,210.0284,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",235193782.9,104065862,270651183.2,173408017.7,156810208.7,173818918.7,27.3223498276079,27.4846852594093,-0.162335431801406,0.711726465754214,0.521559613849868,"stable",0.306233748462753
"Glucose 1-phosphate","Com_916_neg","Glucose 1-phosphate","C6 H13 O9 P",260.02968,1.216,259.02241,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",14682988.57,17163780.92,15586941.82,25149083.89,16725430.22,25928299.03,24.4025222419356,23.9114469749798,0.49107526695575,0.204473479816963,0.332482112794102,"stable",1.25157163904224
"3-Hydroxybenzoic acid","Com_923_neg","3-Hydroxybenzoic acid","C7 H6 O3",138.03171,5.385,137.02443,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",32656521.98,37860400.07,34859450.02,31432359.06,38809433.6,33384048.6,25.0361022833036,25.0633668681494,-0.0272645848458382,0.478713647362075,0.437765020845648,"stable",0.205179852486385
"2'-Deoxyuridine-5-monophosphate","Com_1003_neg","2'-Deoxyuridine-5-monophosphate","C9 H13 N2 O8 P",308.04069,1.676,307.03342,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",33699085.94,36757148.75,43242274.76,140902110.3,38786343.88,69079347.98,26.106971520609,25.1678889106313,0.939082609977614,0.251520178438687,0.351618375037499,"stable",1.08009916389482
"D-Sedoheptulose 7-phosphate","Com_1008_neg","D-Sedoheptulose 7-phosphate","C7 H15 O10 P",290.0405,1.217,289.03323,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",1791314.281,1916123.246,2189088.179,5041610.077,3253901.856,3750776.065,21.9126500398849,20.9014148707603,1.01123516912457,0.0523128782748588,0.251683619159709,"stable",1.53959882131761
"Taurochenodeoxycholic acid","Com_1086_neg","Taurochenodeoxycholic acid","C26 H45 N O6 S",499.29739,7.289,498.29012,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Taurinated bile acids and derivatives",21890675.85,22245599.19,22993852.71,19222774.9,12577043.58,18523411.68,23.9744830935427,24.4151915544252,-0.440708460882579,0.151498217825747,0.302573073708789,"stable",1.23867398587562
"Uridine 5'-diphosphoglucuronic acid","Com_1164_neg","Uridine 5'-diphosphoglucuronic acid","C15 H22 N2 O18 P2",580.03517,4.319,579.02789,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",160532664.5,136596552.1,128072396.8,97131633.45,98526162.23,110360608.6,26.6016971638219,27.0720072647056,-0.470310100883758,0.08563369976098,0.267488165416467,"stable",1.496710339732
"Deoxycholic acid","Com_1566_neg","Deoxycholic acid","C24 H40 O4",392.29282,8.265,391.28555,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives",4498635.06,6426190.13699999,5408359.92200001,5839549.82700001,4062456.357,5660649.13300001,22.287960893605,22.3611159591453,-0.0731550655402557,0.834153491067354,0.56094932416848,"stable",0.267779120798628
"3-Hydroxydecanoic acid","Com_2064_neg","3-Hydroxydecanoic acid","C10 H20 O3",188.14134,7.101,187.13406,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",15983076.98,13600526.14,14702540.48,11719256.79,13756731.62,12509660.29,23.5908504781955,23.8122543647052,-0.22140388650968,0.240552552813852,0.347653351850625,"stable",1.26023866708237
"DL-Malic acid","Com_2348_neg","DL-Malic acid","C4 H6 O5",134.02145,2.397,133.01418,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",71201182.4,72069466.5299999,67704465.6900001,88972255.91,60537280.35,84080393.8299999,26.1944796051435,26.0670101178192,0.127469487324376,0.570532407310547,0.467611015791264,"stable",0.567283263660145
"Valeric acid","Com_2501_neg","Valeric acid","C5 H10 O2",102.06808,0.36,101.06081,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Straight chain fatty acids",6397981.41700001,5914875.415,6210085.951,5189691.45299999,5850753.146,5328583.835,22.3775763290574,22.5570945092635,-0.179518180206031,0.169619587580138,0.313725503312679,"stable",1.36656910020103
"D-(-)-Quinic acid","Com_3047_neg","D-(-)-Quinic acid","C7 H12 O6",192.0634,4.992,191.05617,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Quinic acids and derivatives",940996.253099999,945283.4022,1112771.417,1168335.612,1419593.717,1139113.599,20.2375167292181,19.9266475627325,0.310869166485517,0.19081563491787,0.325699231998541,"stable",1.2819008039073
"3-Coumaric acid","Com_3096_neg","3-Coumaric acid","C9 H8 O3",164.04735,6.588,163.04007,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",8457920.61299999,9017236.25599999,9076242.529,8879635.07699999,7699054.665,7442887.01100001,22.9285832482876,23.076596402914,-0.148013154626316,0.311982677450937,0.36953290386354,"stable",1.09413307361324
"Oleoyl-L-α-lysophosphatidic acid","Com_3344_neg","Oleoyl-L-α-lysophosphatidic acid","C21 H41 O7 P",436.25896,10.27,435.25169,"Full match","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1-acylglycerol-3-phosphates",8945813.795,6644048.70800001,4901186.156,2136321.557,2551308.014,5478239.259,21.5649279612137,22.6603706770307,-1.09544271581697,0.238072693387625,0.34671938816777,"stable",1.2419277184285
"Rutin","Com_3410_neg","Rutin","C27 H30 O16",610.15474,5.536,609.14747,"Full match","Full match","No results","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid-3-O-glycosides",2739296.984,166952.8334,162899.3492,146032.8844,975950.857500001,167361.0513,18.1349956754226,18.6826922074213,-0.547696531998749,0.807870203201709,0.553049512008839,"stable",0.27781638731419
"Xanthosine","Com_3481_neg","Xanthosine","C10 H12 N4 O6",284.07579,4.769,283.06852,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",4485924.061,4713523.056,4695464.771,7220325.321,4505371.887,6055543.52499999,22.4722240671712,22.14272821947,0.329495847701185,0.269544247060602,0.357599968598121,"stable",1.05646540530076
"δ-Ribono-1,4-lactone","Com_3978_neg","δ-Ribono-1,4-lactone","C5 H8 O5",148.03711,2.492,147.02983,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",16031885.09,15765660.65,16183116.77,26885477.98,21211599.13,32551472.18,24.6582977648839,23.9309030603357,0.727394704548214,0.0492771663340624,0.249351060786747,"up",1.49006095059247
"2-Hydroxyphenylalanine","Com_4366_neg","2-Hydroxyphenylalanine","C9 H11 N O3",181.07394,4.784,180.06667,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",4682373.144,4738832.209,5011644.449,6172593.288,5168274.252,6054727.294,22.4627756844848,22.1972537542846,0.265521930200151,0.0783264181451476,0.265050377040346,"stable",1.39103818472786
"Folic acid","Com_4452_neg","Folic acid","C19 H19 N7 O6",441.14033,5.17,440.13306,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",5619263.61699999,5214820.44600001,5609322.237,4578970.4,2075408.268,4735549.222,21.7622186236474,22.3851769446888,-0.622958321041448,0.220031254274394,0.339465858695241,"stable",1.03564938169854
"N-Acetyl-DL-tryptophan","Com_4625_neg","N-Acetyl-DL-tryptophan","C13 H14 N2 O3",246.10048,5.659,245.0932,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",678252.346600001,718289.6957,937263.286999999,1750019.076,1163711.812,2386748.789,20.6919523029993,19.5545879164711,1.13736438652811,0.0356526605415193,0.235008147893256,"up",1.43348874439737
"Guanosine","Com_4628_neg","Guanosine","C10 H13 N5 O5",283.09172,3.567,282.08444,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",1648652.27,1782520.492,1664087.015,2927590.263,1463884.548,6391932.45500001,21.5234911002165,20.6948807949496,0.828610305266938,0.326171078125061,0.375224117768071,"stable",0.927676429643762
"Pantothenic acid","Com_6_neg","Pantothenic acid","C9 H17 N O5",219.11048,5.065,218.10319,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols",4582331751,4931849467.99999,5691303595,5834597111.00001,5029703483,5927254559,32.3781763234605,32.2330094594805,0.145166863980045,0.290886333209055,0.363938770994839,"stable",0.8656907572354
"L-Glutamic acid","Com_12_neg","L-Glutamic acid","C5 H9 N O4",147.05307,1.354,146.04579,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",6221536563.99999,6954102980.99998,7386594091,9953566589.99998,8904217951.99999,8832873344.00001,33.101547953975,32.6707010760752,0.43084687789981,0.076759684610117,0.264473842971066,"stable",1.52892015606549
"L-Aspartic acid","Com_46_neg","L-Aspartic acid","C4 H7 N O4",133.03746,1.353,132.03018,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",1178082530,1366710634,1392818350,946616441.1,805550679,1027513459,29.7800383326371,30.2857380362763,-0.505699703639209,0.0630029468173607,0.258339678880715,"stable",1.48097694021018
"Phenylacetylglycine","Com_50_neg","Phenylacetylglycine","C10 H11 N O3",193.074,5.533,192.06672,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",119524968.8,122737381.6,152448252.9,200447616.6,142521230.2,262787457.3,27.5448576001645,26.9624935448445,0.582364055320017,0.0867809478351939,0.267837244569766,"stable",1.20017127802363
"N-Acetyl-1-aspartylglutamic acid","Com_51_neg","N-Acetyl-1-aspartylglutamic acid","C11 H16 N2 O8",304.09064,2.484,303.08336,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",59055208.1600001,70928942.6499999,79151060.7,95752162.29,57656473.59,87887937.67,26.22764761127,26.0445124721209,0.183135139149137,0.589915701493831,0.474666199849217,"stable",0.556321160830928
"Citric acid","Com_18_neg","Citric acid","C6 H8 O7",192.02695,2.074,191.01968,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",6904895569.00002,6540255762,7042666709.99998,7749520815,5117938858.00001,6173064451,32.542571811206,32.6683823404163,-0.125810529210312,0.498802092570628,0.444185667740063,"stable",0.559057332053292
"Azelaic acid","Com_32_neg","Azelaic acid","C9 H16 O4",188.10483,5.934,187.09755,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",646655358.599999,631771724.400001,639990023.6,678059392.899999,780753328.400001,701790666.799999,29.4211978337563,29.2522413603062,0.168956473450088,0.13957032701618,0.295210768901375,"stable",1.33883712639123
