"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_3","MV4_11_6w_1","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"Guanine","Com_977_pos","Guanine","C5 H5 N5 O",151.04965,1.686,152.05693,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Purines and purine derivatives",36342703.65,38409521.74,41295890.67,23919596.46,30296209.21,11695504,24.2812581219274,25.203205990021,-0.921947868093593,0.153035592320709,0.302597370823404,"stable",1.26796403353463
"Thiamine","Com_1455_pos","Thiamine","C12 H16 N4 O S",264.10483,1.4,265.11211,"Full match","Full match","No results","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Thiamines",9793277.01,8938986.59399999,8964326.206,15930737.91,5953705.714,45413129.32,23.9557574523648,23.1369346109297,0.818822841435118,0.435405554700052,0.428125323642683,"stable",0.743181012856514
"N6,N6,N6-Trimethyl-L-lysine","Com_1525_pos","N6,N6,N6-Trimethyl-L-lysine","C9 H20 N2 O2",188.15294,1.292,189.16022,"Full match","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",22452443.26,16995814.19,19219768.23,33351507.19,32857471.56,27833451.2,24.8970944084544,24.2117109514726,0.6853834569818,0.0110538082673556,0.158995368916962,"up",1.57633886036049
"DL-Dipalmitoylphosphatidylcholine","Com_1864_pos","DL-Dipalmitoylphosphatidylcholine","C40 H80 N O8 P",733.56401,11.003,734.56954,"Full match","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphatidylcholines",5347734.846,5049746.327,5243062.181,2831382.91,1643104.714,5446706.203,21.4860070174733,22.3134180716002,-0.827411054126891,0.239465607627984,0.344507065337445,"stable",1.08856404330171
"S-Adenosylmethionine","Com_2017_pos","S-Adenosylmethionine","C15 H22 N6 O5 S",398.13773,1.563,399.145,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",45368550.6,45245655.29,46634450.83,66578389.89,69437499.84,58149561.0199999,25.9436757592198,25.4471193184527,0.496556440767119,0.0205606455421158,0.191543360109741,"up",1.628977161652
"1-Methyladenosine","Com_3061_pos","1-Methyladenosine","C11 H15 N5 O4",281.11273,1.986,282.12,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",5352204.395,7117813.336,6507816.063,11825312.38,11711720.21,6893696.673,23.2312236688332,22.5828154980096,0.648408170823565,0.111640698609297,0.272225980609179,"stable",1.28419251613373
"Nicotinamide adenine dinucleotide phosphate (NADP+)","Com_3491_pos","Nicotinamide adenine dinucleotide phosphate (NADP+)","C21 H28 N7 O17 P3",743.07597,1.499,372.54536,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",7423628.60299999,8158887.203,9402995.99799999,2430752.759,3451011.317,2556967.54,21.405853972599,22.9827743809348,-1.57692040833577,0.00221072420964327,0.101486786657896,"down",1.66259917711537
"Sodium [dodecanoyl(methyl)amino]acetate","Com_3842_pos","Sodium [dodecanoyl(methyl)amino]acetate","C15 H29 N O3",271.21508,8.092,272.22238,"Full match","Full match","No results",NA,NA,NA,NA,1964519.277,1529445.252,984183.897899999,858333.7808,1237962.438,1750952.537,20.2301413033801,20.4529634385206,-0.222822135140429,0.620700435770193,0.487008300755192,"stable",0.441857563196031
"Cysteinylglycine","Com_4492_pos","Cysteinylglycine","C5 H10 N2 O3 S",178.04202,2.423,179.04929,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",4946822.147,5240189.977,5189153.28100001,13199010.8,5412349.866,2856255.79,22.4891479665532,22.2887753356815,0.200372630871783,0.78404226020363,0.543273279722482,"stable",0.263870915573704
"Androstenedione","Com_4817_pos","Androstenedione","C19 H26 O2",286.19349,6.713,287.20075,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives",6861734.168,5555403.728,5961960.90499999,5729249.17500001,5488479.696,10590251.72,22.7247077826099,22.5409858728787,0.18372190973124,0.615392200612833,0.485534935608442,"stable",0.472600041921117
"2-Isopropylaniline","Com_7824_pos","2-Isopropylaniline","C9 H13 N",135.10508,5.058,136.11235,"Full match","Full match","No results",NA,NA,NA,NA,1574607.32,1547868.569,1655770.776,2015867.262,1466993.469,1186446.762,20.5352053890809,20.6024945783038,-0.0672891892228584,0.791496095751629,0.54562008903135,"stable",0.253611636266632
"L-Phenylalanine","Com_3_pos","L-Phenylalanine","C9 H11 N O2",165.07919,4.983,166.08646,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",2504038428,2566270836,2971897400,7374195357.00002,5841907071.00001,18086660913,33.0992792635126,31.3157910034873,1.78348826002526,0.0664026840457649,0.236141924436335,"stable",1.4880135580731
"Creatine","Com_7_pos","Creatine","C4 H9 N3 O2",131.06968,1.436,132.07696,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",6758201111.00001,6840892263,7284682751,5875393111.00001,6109545320.00001,2909749728,32.1329013438999,32.695916166078,-0.563014822178104,0.246094526988243,0.346797903704365,"stable",1.07197675274086
"DL-Tryptophan","Com_15_pos","DL-Tryptophan","C11 H12 N2 O2",204.09018,5.263,205.09749,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",771191567.900001,781208426.2,906010781.4,2097129286,1756336496,3673084356,31.1500118910454,29.6061997611143,1.54381212993119,0.0348656668377436,0.21227348215854,"up",1.5713462003033
"L-Tyrosine","Com_19_pos","L-Tyrosine","C9 H11 N O3",181.07421,2.663,182.08149,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Tyrosine and derivatives",1542596188,1580028587,1856000612,4940213813.00001,3884272678,8607038773.00002,32.3532644984287,30.6231889533081,1.73007554512068,0.0304795408891618,0.207625794025962,"up",1.58363086924311
"L-Glutathione (reduced)","Com_27_pos","L-Glutathione (reduced)","C10 H17 N3 O6 S",307.08408,1.933,308.09136,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",255913071.8,795785013.499999,201502639.1,27154600.22,23143177.75,14213408.37,24.3065087139966,28.3617018606724,-4.05519314667573,0.0110202889235059,0.158817843885822,"down",1.62148771429629
"5'-S-Methyl-5'-thioadenosine","Com_29_pos","5'-S-Methyl-5'-thioadenosine","C11 H15 N5 O3 S",297.09004,5.208,298.09731,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",1521157403,1299404221,1959007309,2350957920,1771568678,1902272216,30.8926861282337,30.5484003612767,0.344285766957029,0.186733860728889,0.32219474486976,"stable",1.07802080470525
"Adenosine","Com_44_pos","Adenosine","C10 H13 N5 O4",267.09706,3.245,268.10433,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",2240881352,1993925778,2683873895,2782393937,2570852437,1503571606,31.0396752121421,31.0920178068632,-0.0523425947210718,0.875715441093232,0.570552458674463,"stable",0.145808411160916
"2-Hydroxycinnamic acid","Com_54_pos","2-Hydroxycinnamic acid","C9 H8 O3",164.04766,2.656,182.0815,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",1542596188,1580028587,1856000612,4940213813.00001,3884272678,8607038773.00002,32.3532644984287,30.6231889533081,1.73007554512068,0.0304795408891618,0.207625794025962,"up",1.58363086924311
"DL-Arginine","Com_58_pos","DL-Arginine","C6 H14 N4 O2",174.11212,1.319,175.1194,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Arginine and derivatives",988454608.399999,801609221.700001,908886911,2461028091,1598543044,287663115.6,29.9568431446277,29.7394829653607,0.217360179266944,0.839940701011413,0.560303926999689,"stable",0.194210158378657
"L-Pyroglutamic acid","Com_61_pos","L-Pyroglutamic acid","C5 H7 N O3",129.04287,1.351,130.05015,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",1090524262,1116067218,1113051466,1465962765,1097985805,787974695.300001,30.0116625434302,30.043341550557,-0.0316790071268152,0.913788839655575,0.580947416726458,"stable",0.104298508697488
"Methionine","Com_70_pos","Methionine","C5 H11 N O2 S",149.05133,2.065,150.05861,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Methionine and derivatives",4994084.81,6929081.299,5664422.359,259981903.8,42655704.28,901598420.9,27.6826603539902,22.4698396515682,5.21282070242195,0.0536453362312342,0.22687059571576,"stable",1.53222851146761
"Hypoxanthine","Com_84_pos","Hypoxanthine","C5 H4 N4 O",136.03879,2.044,137.04607,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Hypoxanthines",33377966.38,37195624.67,35633169.37,31185318.98,38383182.44,19032133.49,24.7567562126272,25.0759132621506,-0.319157049523376,0.399229680853135,0.416132861079098,"stable",0.794934998459718
"cis-4-Hydroxy-D-proline","Com_87_pos","cis-4-Hydroxy-D-proline","C5 H9 N O3",131.05856,1.336,132.06582,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",483941073,474825118.5,503700024,1268889273,719586905.2,95694644.3299999,28.7251491920208,28.8603555740161,-0.135206381995257,0.915819715959446,0.581487775982522,"stable",0.101860063455147
"Glycyl-L-leucine","Com_101_pos","Glycyl-L-leucine","C8 H16 N2 O3",188.11634,5.094,189.12362,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",142966471.3,201796392.2,107082957.8,128278414.8,10857049.27,13627926.25,24.6689648747304,27.1178601322669,-2.4488952575365,0.158238754501969,0.305988580528588,"stable",1.23661449478622
"Methionine sulfoxide","Com_150_pos","Methionine sulfoxide","C5 H11 N O3 S",165.04623,2.054,148.04292,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",163453545.2,131713830.4,178654847.9,747165257.8,348183630.4,582290145.5,28.9897627436873,27.2232456166929,1.76651712699434,0.0203610083032101,0.191097382972635,"up",1.58847869676312
"Adenine","Com_158_pos","Adenine","C5 H5 N5",135.05475,3.24,136.06203,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-aminopurines",719108972.9,651169386.7,860543180.599999,887956795.8,816597577.499999,502971495.7,29.4122885633674,29.4602550503049,-0.0479664869374687,0.876164259780708,0.57067799998239,"stable",0.145083914075469
"S-Adenosylhomocysteine","Com_161_pos","S-Adenosylhomocysteine","C14 H20 N6 O5 S",384.12209,2.514,193.06837,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",190999936.9,229410797.6,190636564.6,180122804.5,71419770.36,79254397.1200001,26.5847378026891,27.5962015310872,-1.01146372839814,0.133403767244891,0.288297617191036,"stable",1.29992560665197
"Panthenol","Com_197_pos","Panthenol","C9 H19 N O4",205.13172,5.089,206.13898,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines",146063481.8,127332421.8,246084630.1,117643020.9,281988624.1,130411275.5,27.2797985294553,27.3068747222,-0.0270761927446692,0.958999692121832,0.592655754860266,"stable",0.0469774005716849
"L-Histidine","Com_244_pos","L-Histidine","C6 H9 N3 O2",155.06984,1.326,156.07711,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",71709738.9699999,71600250.9999999,75747327.34,231553563.7,127430517.5,175478670.9,27.3662089143485,26.1212728964224,1.2449360179261,0.0364194796210705,0.21369167586496,"up",1.58498016088653
"Glycerophospho-N-palmitoyl ethanolamine","Com_263_pos","Glycerophospho-N-palmitoyl ethanolamine","C21 H44 N O7 P",453.28606,9.458,454.2933,"Full match","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","Glycero-3-phospho-N-acyl-ethanolamines",48191095.31,44987360.7900001,30668436.72,25272500.01,55078274.03,25464515.81,24.9693433383471,25.2718436487782,-0.3025003104311,0.526100044718343,0.458033931736548,"stable",0.573473626650394
"N-Acetylornithine","Com_290_pos","N-Acetylornithine","C7 H14 N2 O3",174.10071,3.2,175.10798,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",29270774.8,42213029.63,23725065.84,19591509.03,2653144.603,6824527.843,22.7550982907586,24.8780171311086,-2.12291884034996,0.116086696578672,0.275610019353353,"stable",1.32264461312394
"5-Hydroxyindole-3-acetic acid","Com_677_pos","5-Hydroxyindole-3-acetic acid","C10 H9 N O3",191.05855,4.839,209.09239,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indole-3-acetic acid derivatives",24815190.93,24570629.77,30227705.9,88605967.17,58525715.89,32136535.73,25.7137263155425,24.6548399582388,1.05888635730377,0.123784627140252,0.281066023183865,"stable",1.31910245453782
"Thymine","Com_743_pos","Thymine","C5 H6 N2 O2",126.04309,4.883,127.05037,"Full match","Full match","Full match","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Hydroxypyrimidines",27368446.19,26420728.93,27610479.38,22362453.8,25601105.9,20366011.13,24.4346460231531,24.693296576368,-0.258650553214981,0.108816742079016,0.269979787671418,"stable",1.36288048914413
"Inosine-5'-monophosphate (IMP)","Com_942_pos","Inosine-5'-monophosphate (IMP)","C10 H13 N4 O8 P",348.04796,1.634,349.05531,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",39534356.82,47145822.99,30341290.17,30528415.11,32703222.2,15879419.97,24.5824112304984,25.1940031122114,-0.611591881712986,0.202189125316191,0.329604945482004,"stable",1.07094750330396
"Argininosuccinic acid","Com_991_pos","Argininosuccinic acid","C10 H18 N4 O6",290.12292,1.348,291.13019,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",37464857.67,37657260.11,36054470.07,93181297.3099999,49918579.75,6630265.619,24.9024152901668,25.1430447119732,-0.240629421806432,0.853726500863261,0.564310600945236,"stable",0.177640819371026
"Pyridoxal 5'-phosphate","Com_1358_pos","Pyridoxal 5'-phosphate","C8 H10 N O6 P",247.02489,2.44,248.03217,"Full match","Full match","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridine carboxaldehydes","Pyridoxals and derivatives",19089225.99,19650121.62,28629396.93,44039011.22,45823419.69,24009760.01,25.1196593935366,24.3950947073732,0.724564686163305,0.124751808467632,0.281718047589203,"stable",1.21907137578228
"α-Aspartylphenylalanine","Com_1596_pos","α-Aspartylphenylalanine","C13 H16 N2 O5",280.10637,5.357,281.11365,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",10164215.62,11237705.97,12295168.07,17522703.87,16781997.23,10522574.65,23.7967058561057,23.4168092975949,0.379896558510801,0.2434098121882,0.345881505680768,"stable",1.03737271052786
"L-Kynurenine","Com_1677_pos","L-Kynurenine","C10 H12 N2 O3",208.08507,4.839,209.09235,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Alkyl-phenylketones",24815190.93,24570629.77,30227705.9,88605967.17,58525715.89,32136535.73,25.7137263155425,24.6548399582388,1.05888635730377,0.123784627140252,0.281066023183865,"stable",1.31910245453782
"Adenosine 3'5'-cyclic monophosphate","Com_2859_pos","Adenosine 3'5'-cyclic monophosphate","C10 H12 N5 O6 P",329.05283,3.735,330.06011,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Cyclic purine nucleotides","3',5'-cyclic purine nucleotides",8082064.922,11322327.18,15698872.83,23573109.27,28039395.64,19938990.95,24.4935599030084,23.4277057783997,1.06585412460872,0.0418680801587487,0.217943596311508,"up",1.47570008552525
"Riboflavin","Com_2948_pos","Riboflavin","C17 H20 N4 O6",376.139,5.398,377.14627,"Full match","Full match","Full match","Organoheterocyclic compounds","Pteridines and derivatives","Alloxazines and isoalloxazines","Flavins",4479320.351,6057947.279,6996758.69700001,7436281.857,6833020.392,3447427.35,22.4157769143727,22.4545004386692,-0.0387235242965325,0.9286716777452,0.584875270737702,"stable",0.0827983349975039
"Cytidine","Com_3805_pos","Cytidine","C9 H13 N3 O5",243.08581,1.658,244.0931,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",8276876.889,7345741.614,7737141.966,5775718.791,5508881.574,1264097.765,21.7081912348259,22.8908337008674,-1.1826424660415,0.241572081223111,0.345245333771823,"stable",1.08314036015717
