"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","OCI_M2_WT_1","OCI_M2_WT_2","OCI_M2_WT_3","OCI_M2_2w_1","OCI_M2_2w_2","OCI_M2_2w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"2-Amino-1,3-octadecanediol","Com_259_pos","2-Amino-1,3-octadecanediol","C18 H39 N O2",301.29849,7.501,302.30577,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Amines","1,2-aminoalcohols",30023074.87,38059790.8,15332298.25,14074294.01,27759671.42,39494820.64,24.5694021701738,24.630467777534,-0.0610656073601668,0.941468713503844,0.689642428478974,"stable",0.0981496929453684
"Coumarin","Com_261_pos","Coumarin","C9 H6 O2",146.03701,2.667,147.04429,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Coumarins and derivatives","Not available","Coumarins and derivatives",236432147.9,253381146.3,252737100.6,263155455.4,287820871.1,249280988.8,27.9883778844699,27.8822157103591,0.106162174110775,0.23692582815857,0.489565872259569,"stable",1.1557017303896
"Nicotinamide adenine dinucleotide (NAD+)","Com_336_pos","Nicotinamide adenine dinucleotide (NAD+)","C21 H27 N7 O14 P2",663.10961,1.665,664.11697,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",137486378.6,64594850.92,57280118.77,78912136.3199999,87182368.5499999,97826558.11,26.3849999240859,26.2503868100608,0.134613114025122,0.804682078445011,0.655082133787878,"stable",0.309751708237605
"DL-Lysine","Com_342_pos","DL-Lysine","C6 H14 N2 O2",146.10578,1.188,147.11305,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",48601276.64,67575626.69,53889911.08,48445168.05,38320075.65,65124249.5,25.5593793403545,25.7426674652037,-0.183288124849255,0.632055255716994,0.598683781717809,"stable",0.624080986884045
"Creatinine","Com_393_pos","Creatinine","C4 H7 N3 O",113.05914,1.417,114.06642,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",221021813.4,193801167.7,184981518.9,176889405.7,190203980.6,224347162.7,27.5474674331675,27.5708071477525,-0.0233397145849921,0.905102840535746,0.681148661505184,"stable",0.172637144283854
"N3,N4-Dimethyl-L-arginine","Com_494_pos","N3,N4-Dimethyl-L-arginine","C8 H18 N4 O2",202.14326,1.468,203.15054,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Arginine and derivatives",34643936.46,40012278.83,51485140.09,49278475,49596574.62,49907886.6699999,25.5636519673994,25.3058972504782,0.257754716921234,0.25219251987584,0.494100268474928,"stable",1.15486470632471
"Urocanic acid","Com_502_pos","Urocanic acid","C6 H6 N2 O2",138.04309,1.895,139.05037,"Full match","Full match","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazolyl carboxylic acids and derivatives",98147065.7800001,186698322.1,99856096.3999999,97362191.06,46259231.36,104865311.6,26.2146861816028,26.8659742320619,-0.651288050459087,0.439935312912323,0.526389481133882,"stable",1.05410513035254
"Pipecolic acid","Com_553_pos","Pipecolic acid","C6 H11 N O2",129.07923,1.189,147.11306,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",48601276.64,67575626.69,53889911.08,48445168.05,38320075.65,65124249.5,25.5593793403545,25.7426674652037,-0.183288124849255,0.632055255716994,0.598683781717809,"stable",0.624080986884045
"Spermine","Com_555_pos","Spermine","C10 H26 N4",202.21608,1.186,203.22336,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Amines","Dialkylamines",10240440.38,33491821.61,21554240.12,11215653.44,39132431.49,8577044.09799999,23.8909736223402,24.2155160996958,-0.324542477355656,0.585032875146478,0.579976050898891,"stable",0.359036584776717
"1-Methylhistidine","Com_606_pos","1-Methylhistidine","C7 H11 N3 O2",169.08544,1.325,170.09269,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",29758600.36,27200011.36,29311023.42,32493836.94,33043115.07,43831107.18,25.1056536416683,24.7762824206988,0.329371220969467,0.131933727045656,0.440698982566255,"stable",1.41633856632579
"Υ-Glutamylcysteine","Com_939_pos","Υ-Glutamylcysteine","C8 H14 N2 O5 S",250.06264,2.003,251.06991,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",49333081.56,21684202.92,25541368.42,20464618.41,36287454.24,53296628.32,25.0223789578585,24.8441752114785,0.178203746379985,0.829815612158874,0.661997963584723,"stable",0.307508002920803
"Guanine","Com_977_pos","Guanine","C5 H5 N5 O",151.04965,1.686,152.05693,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Purines and purine derivatives",13482016.24,14656485.35,14921227.09,15557450.29,16670036.41,11480466.21,23.7781780380224,23.7734772098965,0.00470082812597994,0.982648373834178,0.698730180492078,"stable",0.0259427364480438
"Thiamine","Com_1455_pos","Thiamine","C12 H16 N4 O S",264.10483,1.4,265.11211,"Full match","Full match","No results","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Thiamines",13672375.03,15527672.97,18001005.24,10243932.51,17864365.17,13470814.34,23.6873937867918,23.8982243269429,-0.210830540151104,0.414731840028428,0.523596288674089,"stable",0.714209428501347
"N6,N6,N6-Trimethyl-L-lysine","Com_1525_pos","N6,N6,N6-Trimethyl-L-lysine","C9 H20 N2 O2",188.15294,1.292,189.16022,"Full match","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",12777545.58,12463673.29,13020946.3,12824053.46,12911087,13961793.34,23.6564790225566,23.6042214508362,0.0522575717203964,0.198304210881643,0.47663127503587,"stable",0.975577807248236
"DL-Dipalmitoylphosphatidylcholine","Com_1864_pos","DL-Dipalmitoylphosphatidylcholine","C40 H80 N O8 P",733.56401,11.003,734.56954,"Full match","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphatidylcholines",1241246.13,2911929.283,3424568.865,2558005.717,2739594.825,10509498.97,21.9991032411666,21.141464206414,0.857639034752633,0.229094626493163,0.487245098325807,"stable",0.88981499502327
"S-Adenosylmethionine","Com_2017_pos","S-Adenosylmethionine","C15 H22 N6 O5 S",398.13773,1.563,399.145,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",23637292.83,49497552.0700001,39405151.01,36276308.79,51601107.96,29445350,25.1816531743539,25.0957654046348,0.0858877697191396,0.801592994579086,0.654212552172468,"stable",0.204948901294579
"1-Methyladenosine","Com_3061_pos","1-Methyladenosine","C11 H15 N5 O4",281.11273,1.986,282.12,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",9376752.041,7474014.90900001,9290097.82999999,5907337.45900001,6634407.70200001,5865824.515,22.5465051068173,23.0471237403665,-0.500618633549166,0.0929921828738297,0.40271313156738,"stable",1.70141733764839
"Nicotinamide adenine dinucleotide phosphate (NADP+)","Com_3491_pos","Nicotinamide adenine dinucleotide phosphate (NADP+)","C21 H28 N7 O17 P3",743.07597,1.499,372.54536,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",632933.4705,544887.296699999,559992.248,549178.7363,563928.321499999,631920.9727,19.1471510458293,19.1407799992908,0.00637104653854337,0.959647586095664,0.693720945914132,"stable",0.0661956684755509
"Sodium [dodecanoyl(methyl)amino]acetate","Com_3842_pos","Sodium [dodecanoyl(methyl)amino]acetate","C15 H29 N O3",271.21508,8.092,272.22238,"Full match","Full match","No results",NA,NA,NA,NA,1866545.59,5395104.223,1735665.608,2898723.735,898771.201200001,2709168.08,20.8713330855252,21.3074054368944,-0.436072351369226,0.724228798259264,0.63090806598167,"stable",0.520714068363829
"Cysteinylglycine","Com_4492_pos","Cysteinylglycine","C5 H10 N2 O3 S",178.04202,2.423,179.04929,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",8302352.78200001,7537635.29700001,7485257.501,8278181.71900001,10470214.55,9219740.34600001,23.1456549491774,22.8887966280992,0.256858321078173,0.20756978982333,0.480104781986751,"stable",1.44080057437285
"Androstenedione","Com_4817_pos","Androstenedione","C19 H26 O2",286.19349,6.713,287.20075,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives",8068110.01200001,7511443.48399999,7488734.24600001,7445102.298,5084653.041,7744456.52999999,22.6634369046263,22.8735828453982,-0.210145940771866,0.368953781510282,0.517647322894808,"stable",0.890939675448029
"2-Isopropylaniline","Com_7824_pos","2-Isopropylaniline","C9 H13 N",135.10508,5.058,136.11235,"Full match","Full match","No results",NA,NA,NA,NA,1197931.881,916163.218399999,972195.163300001,832785.4323,1086825.776,1264477.102,19.9964613481162,19.9627486638989,0.0337126842173028,0.91568979918484,0.683668988934188,"stable",0.150161450585288
"L-Phenylalanine","Com_3_pos","L-Phenylalanine","C9 H11 N O2",165.07919,4.983,166.08646,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",9582908118.00002,10370352430,10106955980,10163378834,11539129680,9957961230.99999,33.2938932246661,33.221397254194,0.07249597047214,0.291330906566777,0.503829436398671,"stable",0.827459882765467
"Creatine","Com_7_pos","Creatine","C4 H9 N3 O2",131.06968,1.436,132.07696,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",10919100063,7980119397,7291085882.99999,6646174042,7222760947.00001,8855932937.00002,32.8079257847319,33.0011282134731,-0.193202428741245,0.572384924917671,0.574642654366322,"stable",0.774475783736745
"DL-Tryptophan","Com_15_pos","DL-Tryptophan","C11 H12 N2 O2",204.09018,5.263,205.09749,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",2683072592,2849075632,2698955313,2890159495,3119041826,2578550937,31.4102903723291,31.3529465534179,0.0573438189111926,0.45240984117423,0.529472370492321,"stable",0.608270064435059
"L-Tyrosine","Com_19_pos","L-Tyrosine","C9 H11 N O3",181.07421,2.663,182.08149,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Tyrosine and derivatives",4554161717.00001,4948305364,4854396603,5027667845,5647822965,4855459963,32.2664169132729,32.1551568660433,0.111260047229528,0.191087236914883,0.473731399521524,"stable",1.12448554609298
"L-Glutathione (reduced)","Com_27_pos","L-Glutathione (reduced)","C10 H17 N3 O6 S",307.08408,1.933,308.09136,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",2504137797,1642028486,1187943124,842708671.7,2517645593,3087622717,30.8012453752801,30.6601058115915,0.141139563688618,0.887808304131875,0.67694400316698,"stable",0.201118702601377
"5'-S-Methyl-5'-thioadenosine","Com_29_pos","5'-S-Methyl-5'-thioadenosine","C11 H15 N5 O3 S",297.09004,5.208,298.09731,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",1093508150,1045831831,1398155224,1274714317,1174534889,1102683761,30.1384470610285,30.1230659864202,0.0153810746083067,0.939558703896129,0.689207593942184,"stable",0.101116219206812
"Adenosine","Com_44_pos","Adenosine","C10 H13 N5 O4",267.09706,3.245,268.10433,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",1458735230,1973706201,1767014122,931122229.6,1594995351,817371281.000001,29.9905722365732,30.6796658105297,-0.689093573956409,0.0980355517512996,0.408855408002252,"stable",1.38257820785744
"2-Hydroxycinnamic acid","Com_54_pos","2-Hydroxycinnamic acid","C9 H8 O3",164.04766,2.656,182.0815,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",4554161717.00001,4948305364,4854396603,5027667845,5647822965,4855459963,32.2664169132729,32.1551568660433,0.111260047229528,0.191087236914883,0.473731399521524,"stable",1.12448554609298
"DL-Arginine","Com_58_pos","DL-Arginine","C6 H14 N4 O2",174.11212,1.319,175.1194,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Arginine and derivatives",414843597.6,495491973.8,497604880.3,513481425.3,476477249,501744281,28.8886486545503,28.8009013737237,0.0877472808266511,0.514599688459303,0.549326908499307,"stable",0.812790206215957
"L-Pyroglutamic acid","Com_61_pos","L-Pyroglutamic acid","C5 H7 N O3",129.04287,1.351,130.05015,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",1137849019,872621011.800001,1037617544,1001825849,923857676.6,1171350857,29.9362020330161,29.911689865703,0.0245121673131337,0.840779381990347,0.664928669439312,"stable",0.153341039822751
"Methionine","Com_70_pos","Methionine","C5 H11 N O2 S",149.05133,2.065,150.05861,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Methionine and derivatives",283013073.9,26546312.99,93153880.8599999,121901219.1,167039833.5,113137706,26.976752944786,26.4038047205272,0.572948224258742,0.661541064000083,0.609587611762955,"stable",0.520233683318906
"Hypoxanthine","Com_84_pos","Hypoxanthine","C5 H4 N4 O",136.03879,2.044,137.04607,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Hypoxanthines",20109274.17,22296227.14,24681284.61,23414454.67,19683574.42,20686501.92,24.3378571220526,24.4095226976036,-0.0716655755509912,0.674487232464569,0.614190113190821,"stable",0.570516236142777
"cis-4-Hydroxy-D-proline","Com_87_pos","cis-4-Hydroxy-D-proline","C5 H9 N O3",131.05856,1.336,132.06582,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",49876822.11,39401252.53,46043941.98,56961566.9500001,49990477.78,73696011.12,25.8245728919663,25.4200374616547,0.404535430311622,0.106613432406974,0.418320759950711,"stable",1.37005030334727
"Glycyl-L-leucine","Com_101_pos","Glycyl-L-leucine","C8 H16 N2 O3",188.11634,5.094,189.12362,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",137922243.8,164434413.7,202264887.7,144754192.5,119687378.6,128878678.5,26.96172134684,27.3079625297177,-0.346241182877634,0.24898701865438,0.493187612285626,"stable",1.31660537464524
"Methionine sulfoxide","Com_150_pos","Methionine sulfoxide","C5 H11 N O3 S",165.04623,2.054,148.04292,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",458866152.9,457503673.4,474910437.2,471334712,536627378.6,354493329.9,28.7375684520428,28.7885954871093,-0.0510270350665643,0.816688245001874,0.658420755881049,"stable",0.269049253904577
"Adenine","Com_158_pos","Adenine","C5 H5 N5",135.05475,3.24,136.06203,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-aminopurines",477990514.9,601809453.8,547899981.399999,334539725,496619905.8,332794424.4,28.5050750546766,29.0088251973781,-0.503750142701524,0.0587038478385529,0.350858432356874,"stable",1.44052901245481
"S-Adenosylhomocysteine","Com_161_pos","S-Adenosylhomocysteine","C14 H20 N6 O5 S",384.12209,2.514,193.06837,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",417035692.4,168387842.6,254486181.1,314595566.5,252441767.8,308036488.3,28.1129415009672,27.9619401467966,0.151001354170528,0.657326982799521,0.608065678809675,"stable",0.358096307954634
"Panthenol","Com_197_pos","Panthenol","C9 H19 N O4",205.13172,5.089,206.13898,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines",144135196.6,262420820.6,154185803.5,98197021.6300001,67246038.59,171045072.5,26.6339743934728,27.4234163583815,-0.789441964908672,0.331818913733049,0.511752166189245,"stable",1.20532809514541
"L-Histidine","Com_244_pos","L-Histidine","C6 H9 N3 O2",155.06984,1.326,156.07711,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",245003343.4,198357387.6,251826672.7,251375063.7,261883462.3,291482533.6,27.9961500710163,27.7798696470532,0.216280423963109,0.175723642972006,0.466906966238632,"stable",1.23138914430157
"Glycerophospho-N-palmitoyl ethanolamine","Com_263_pos","Glycerophospho-N-palmitoyl ethanolamine","C21 H44 N O7 P",453.28606,9.458,454.2933,"Full match","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","Glycero-3-phospho-N-acyl-ethanolamines",6255605.032,7751623.60700001,4241758.153,13287334.41,16899439.76,12651807.04,23.7556201943318,22.493005340372,1.26261485395981,0.0151820759498076,0.285364888757213,"up",1.72314779684905
"N-Acetylornithine","Com_290_pos","N-Acetylornithine","C7 H14 N2 O3",174.10071,3.2,175.10798,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",74419092.31,88146733.7500001,99479616.5799999,78921623.0599999,59266434.79,67980119.27,26.0244129285481,26.3701569485375,-0.345744019989461,0.249608281246475,0.493366061176635,"stable",1.34738487278343
"5-Hydroxyindole-3-acetic acid","Com_677_pos","5-Hydroxyindole-3-acetic acid","C10 H9 N O3",191.05855,4.839,209.09239,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indole-3-acetic acid derivatives",30902409.43,33817183.71,27109364.2,33414042.84,43942302.7,30796050.22,25.0864334473985,24.8615857052643,0.224847742134227,0.104947125662873,0.416570736855232,"stable",0.999200870972251
"Thymine","Com_743_pos","Thymine","C5 H6 N2 O2",126.04309,4.883,127.05037,"Full match","Full match","Full match","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Hydroxypyrimidines",56195449.3700001,38208021.44,97982292.7400001,62304315.77,45622964.45,55387122,25.6863776204574,25.8257799673437,-0.139402346886275,0.723928187361974,0.630811384497212,"stable",0.312823753578631
"Inosine-5'-monophosphate (IMP)","Com_942_pos","Inosine-5'-monophosphate (IMP)","C10 H13 N4 O8 P",348.04796,1.634,349.05531,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",17378858.19,26343486.77,27529734.87,27598648.51,22236011.87,11450353.71,24.191125945232,24.4720867725077,-0.280960827275738,0.664728784220387,0.610731041008657,"stable",0.57935074876637
"Argininosuccinic acid","Com_991_pos","Argininosuccinic acid","C10 H18 N4 O6",290.12292,1.348,291.13019,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",7579263.906,5129162.53599999,8482690.71700001,6754280.32200001,6922282.233,7635320.77,22.7581480987217,22.7200028999901,0.03814519873157,0.864505884442582,0.671100164488095,"stable",0.158707655365899
"Pyridoxal 5'-phosphate","Com_1358_pos","Pyridoxal 5'-phosphate","C8 H10 N O6 P",247.02489,2.44,248.03217,"Full match","Full match","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridine carboxaldehydes","Pyridoxals and derivatives",29814394.28,31035695,25082142.11,33535198.96,34239056.48,30591751.57,24.9649839376107,24.7656960125933,0.199287925017348,0.0461014197739507,0.325290316757392,"stable",1.29089534970135
"α-Aspartylphenylalanine","Com_1596_pos","α-Aspartylphenylalanine","C13 H16 N2 O5",280.10637,5.357,281.11365,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",17791324.18,17217299.53,18564206.96,15718569.85,18317889.38,15074649.08,23.9594458847855,24.0893488167237,-0.129902931938194,0.376364959402197,0.518698674817771,"stable",1.098190338282
"L-Kynurenine","Com_1677_pos","L-Kynurenine","C10 H12 N2 O3",208.08507,4.839,209.09235,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Alkyl-phenylketones",30902409.43,33817183.71,27109364.2,33414042.84,43942302.7,30796050.22,25.0864334473985,24.8615857052643,0.224847742134227,0.104947125662873,0.416570736855232,"stable",0.999200870972251
"Adenosine 3'5'-cyclic monophosphate","Com_2859_pos","Adenosine 3'5'-cyclic monophosphate","C10 H12 N5 O6 P",329.05283,3.735,330.06011,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Cyclic purine nucleotides","3',5'-cyclic purine nucleotides",5162173.69299999,4507271.357,4007949.013,6950617.617,8051051.65499999,6146053.361,22.740228141374,22.1126009524937,0.627627188880357,0.0334881765853342,0.290629382759898,"up",1.69703924444266
"Riboflavin","Com_2948_pos","Riboflavin","C17 H20 N4 O6",376.139,5.398,377.14627,"Full match","Full match","Full match","Organoheterocyclic compounds","Pteridines and derivatives","Alloxazines and isoalloxazines","Flavins",3557734.846,4210292.562,3763132.447,3486326.552,5282425.471,3313853.889,21.9087079725439,21.8705064177516,0.038201554792284,0.824170691239531,0.660468946227038,"stable",0.160149728648711
"Cytidine","Com_3805_pos","Cytidine","C9 H13 N3 O5",243.08581,1.658,244.0931,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",1603770.502,1132881.793,2391622.127,1229314.663,985692.5199,1382572.528,20.1797082331562,20.6380534051698,-0.458345172013612,0.119314464359957,0.430444416063915,"stable",1.05112751360348
