"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","OCI_M2_WT_1","OCI_M2_WT_2","OCI_M2_WT_3","OCI_M2_2w_1","OCI_M2_2w_2","OCI_M2_2w_3","OCI_M2_6w_1","OCI_M2_6w_2","OCI_M2_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"2-Hydroxycaproic acid","Com_64_neg","2-Hydroxycaproic acid","C6 H12 O3",132.07863,5.736,131.07136,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",211412557.4,183033108,192945696.3,193308464.7,140466242.2,198338025.8,209323569,147103105.6,164104947.2,27.3698032200994,27.542211616075,-0.172408395975562,0.179838293215903,0.30505000550296,"stable",0.863958043356824
"N-Acetyl-α-D-glucosamine 1-phosphate","Com_77_neg","N-Acetyl-α-D-glucosamine 1-phosphate","C8 H16 N O9 P",301.0574,1.569,300.04879,"Full match","Full match","Full match",NA,NA,NA,NA,79408461.23,64956875.2,24008911.52,67599983.58,56756804.72,64627641.4899999,88770158.62,23631891.87,70379564.5100001,25.780152347994,25.5709449875338,0.209207360460223,0.749186281507777,0.546947382862105,"stable",0.319845842794179
"D-(-)-Mannitol","Com_101_neg","D-(-)-Mannitol","C6 H14 O6",182.07898,1.332,181.07184,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar alcohols",17316716.61,19455844.81,13773640.52,22003707.67,23812559.99,16563679.83,21531232.43,18319822.46,19552965.85,24.2642827423282,23.991589652581,0.272693089747243,0.193170881341054,0.313862557895656,"stable",1.22796924670698
"Uridine 5'-diphosphogalactose","Com_126_neg","Uridine 5'-diphosphogalactose","C15 H24 N2 O17 P2",566.05541,1.753,565.04813,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",6097579035,5607685817,6304047898.99998,5037583583,4887024144.99999,4993432662.99999,4133355285,4652323823.00001,4856271677.00001,32.1451585286958,32.4813263776475,-0.336167848951668,0.00392256263108691,0.0645862122768023,"down",1.88532472184538
"Suberic acid","Com_136_neg","Suberic acid","C8 H14 O4",174.08918,5.922,173.0819,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",23193989.08,26032699.43,16696024.42,33475951.48,28151019.59,28880806.16,233435434,17837865.52,17975326.51,25.0855526448672,24.3646901644986,0.720862480368574,0.271571875576024,0.360465069381756,"stable",0.670852278698034
"Υ-Aminobutyric acid (GABA)","Com_170_neg","Υ-Aminobutyric acid (GABA)","C4 H9 N O2",103.06328,1.355,102.05606,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Gamma amino acids and derivatives",353420627.5,290646013.6,317326941.7,332090726,337678638.7,353116964.2,307860310.1,278619426,258553930.2,28.2051600013863,28.2509645527851,-0.045804551398799,0.689956283198263,0.526471453733426,"stable",0.315768383460493
"Threonine","Com_177_neg","Threonine","C4 H9 N O3",119.05827,1.314,118.051,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","D-alpha-amino acids",107219084.9,102458349.7,104209616.4,110056708.8,133862239.3,130446393.8,111058278.7,90321343.9700001,89477094.5600001,26.7065079793401,26.6404539928989,0.0660539864412542,0.549619898688684,0.470352792864829,"stable",0.356459331865142
"N-Acetylalanine","Com_183_neg","N-Acetylalanine","C5 H9 N O3",131.05817,2.71,130.0509,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-L-alpha-amino acids",286810734,298221166.9,212166729.1,301842821.4,367518286.3,270360114.6,243059949.6,194581320.9,231830969.5,27.9689671882753,27.9693181311293,-0.000350942853931002,0.998687092909263,0.616755187420199,"stable",0.00132757962555723
"D(+)-Phenyllactic acid","Com_205_neg","D(+)-Phenyllactic acid","C9 H10 O3",166.06292,5.735,165.05564,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",122034292.1,112435097,123617369,124999904.9,97493326.55,126287511.5,113737413.4,102198098.2,128161255.4,26.7749330566117,26.8295115993005,-0.0545785426887946,0.523440039935961,0.461910373132864,"stable",0.417174720196261
"D-(-)-Ribose","Com_265_neg","D-(-)-Ribose","C5 H10 O5",150.05271,1.447,149.04542,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",92007503.2799999,121685905.3,92006739.2699999,96323270.18,114992489.4,81539634.0999999,46146286.44,70433002,92232346.3,26.261262083203,26.58969040592,-0.328428322716942,0.197890975624235,0.316807101405912,"stable",0.856196220984361
"α-D-Glucose-1,6-bisphosphate","Com_269_neg","α-D-Glucose-1,6-bisphosphate","C6 H14 O12 P2",339.99609,1.184,338.9888,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",8560145.68299999,10067786.87,9207453.925,6651054.105,9152610.64500001,5715974.06399999,6639473.801,6231588.694,10768591.4,22.8052672779532,23.1422726687084,-0.337005390755145,0.0759764983322394,0.214043241998566,"stable",1.09324195933795
"4-Nitrophenol","Com_309_neg","4-Nitrophenol","C6 H5 N O3",139.0269,0.412,138.01962,"Full match","Full match","Full match","Benzenoids","Phenols","Nitrophenols","Nitrophenols",9529135.95,7923406.51600001,11302163.1,4297170.893,8310236.95799999,9886508.319,8090080.81,6135101.135,4258917.112,22.629479526678,23.1772329812095,-0.547753454531481,0.071040572645798,0.208638192776658,"stable",1.16772330002025
"(2R)-2,3-Dihydroxypropanoic acid","Com_322_neg","(2R)-2,3-Dihydroxypropanoic acid","C3 H6 O4",106.02659,1.439,105.01931,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",21526057.39,27315140.56,25471133.34,24345883.77,30855041.51,29047160.79,20821446.81,20182463.78,23576579.08,24.5461813785175,24.5550460333417,-0.00886465482414778,0.952923337592696,0.605608849895834,"stable",0.0445687921568437
"Ethylmalonic acid","Com_345_neg","Ethylmalonic acid","C5 H8 O4",132.04223,4.676,131.03495,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Branched fatty acids",66252829.71,63063923.1899999,62682495.5399999,65862804.69,67710078.0399999,68276936.61,67399802.5,57583709.1100001,59355772.67,25.9365010460403,25.9311165359088,0.00538451013150976,0.918208473940702,0.596711397730863,"stable",0.0664574954946012
"Pimelic acid","Com_363_neg","Pimelic acid","C7 H12 O4",160.07359,5.496,159.06631,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",67030705.81,66258693.8900001,74939463.5599999,63726883.1400001,57203596.27,70499396.76,85842333.3099999,45740348.53,56501168.27,25.8866726993492,26.0463825109896,-0.159709811640379,0.289589984616603,0.369978413370751,"stable",0.658330056168939
"Guanosine monophosphate (GMP)","Com_367_neg","Guanosine monophosphate (GMP)","C10 H14 N5 O8 P",363.05809,1.845,362.05081,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",47653230.7800001,48514138.3699999,52894842.46,56890330.1199999,78293319.8000001,36182923.42,57631187.13,35647369.85,30813585.1,25.4729289252798,25.5648654433366,-0.0919365180567624,0.69085741519582,0.526796832574416,"stable",0.237151493703343
"Terephthalic acid","Com_368_neg","Terephthalic acid","C8 H6 O4",166.02661,5.566,165.01934,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",44945284.6300001,56820128.1400001,59467304.76,43939719.76,51535327.07,55569516.6000001,112672524.9,38073984.91,44682537.72,25.6798236039929,25.66905284432,0.0107707596728268,0.968057927489001,0.609366140544334,"stable",0.0256962846391754
"Hippuric acid","Com_423_neg","Hippuric acid","C9 H9 N O3",179.0583,5.42,178.05102,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hippuric acids",33364500.66,44401670.12,29375963.52,29606607.33,44146617.47,28512591.1,44767285.89,31938158.74,40880565.69,25.1016570624727,25.0680180067468,0.0336390557259172,0.882703902917914,0.587186480320036,"stable",0.129592570633881
"N-Acetyl-D-alloisoleucine","Com_474_neg","N-Acetyl-D-alloisoleucine","C8 H15 N O3",173.10529,5.7,172.09801,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Isoleucine and derivatives",66340418.0999999,66582829.62,61909230.2300001,60086029.5799999,53282465.0999999,66485673.65,57699535.14,47586131.79,55618216.94,25.7515620474639,25.9518942671173,-0.20033221965345,0.032524193391744,0.161053942632582,"stable",1.30562156937778
"O-Phosphorylethanolamine","Com_486_neg","O-Phosphorylethanolamine","C2 H8 N O4 P",141.01919,1.248,140.01191,"Full match","Full match","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Phosphoethanolamines",18213617.14,10002012.14,14429570.33,33084179.69,20794544.2,42301026.11,32588065.16,50582855.55,59472868.1900001,25.1665405086928,23.7182753528215,1.44826515587125,0.00732372530111431,0.0806162799178027,"up",1.80358194522999
"Fumaric acid","Com_511_neg","Fumaric acid","C4 H4 O4",116.01091,1.537,115.00364,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",130628410.1,170550935.5,123524598.2,118955579.1,170425137,122237958.9,113359421.4,156572865.7,166153045.6,27.0536755406569,27.0622480028114,-0.00857246215446139,0.964116011886952,0.608394438434228,"stable",0.0379450814322481
"Thymidine 5'-monophosphate","Com_608_neg","Thymidine 5'-monophosphate","C10 H15 N2 O8 P",322.05634,2.317,321.04907,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",61970496.6000001,64943560.5299999,63084806.3299999,97039515.72,118291535.3,95386478.3499999,64558872.55,54206778.7,84295670.2500001,26.3036932052259,25.9161835284927,0.387509676733188,0.0709943721894959,0.208590651290344,"stable",1.09819141604769
"3-Methylglutaric acid","Com_616_neg","3-Methylglutaric acid","C6 H10 O4",146.05799,5.476,145.05071,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",18335452.9,20310049.61,19258666.76,20176378.1,18372170.93,21297063.16,63709278.98,13636791.88,18476414.4,24.4177527357011,24.2009424967003,0.216810239000829,0.524292686767552,0.462165958117699,"stable",0.377918645886353
"2-Anisic acid","Com_642_neg","2-Anisic acid","C8 H8 O3",152.04738,5.843,151.0401,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","O-methoxybenzoic acids and derivatives",19972868.02,16756667.26,17286046.2,15093036.75,13254890.35,19692453.02,16931450.83,11910316.59,14397307.17,23.8394578376099,24.0976248889442,-0.258167051334262,0.0900655404752979,0.228265344573734,"stable",1.11584980418035
"N-Acetyl-L-phenylalanine","Com_648_neg","N-Acetyl-L-phenylalanine","C11 H13 N O3",207.08958,5.72,206.0823,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",14672297.78,17660282.38,16854559.35,17112382.37,13871031.2,15826197.55,12625729.31,11423035.21,13697404.15,23.7354375997615,23.9624107126242,-0.226973112862638,0.102331149095983,0.241310093150355,"stable",1.14691882680149
"Jasmonic acid","Com_681_neg","Jasmonic acid","C12 H18 O3",210.12561,6.285,209.11834,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Jasmonic acids",18562196.56,16985330.85,20644447.3,14771349.51,12398212.66,16918538.48,16130892.28,15801168.46,14422022.42,23.8384416170338,24.1543001831876,-0.315858566153842,0.0321186153939436,0.160274722327361,"down",1.598393177368
"Phosphocreatine","Com_700_neg","Phosphocreatine","C4 H10 N3 O5 P",211.03568,1.392,210.0284,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",231495742.7,118073818.1,117964123.4,89334205.59,97173422.82,182226634.1,131325732.7,90237584.8399999,60847589.96,26.6070704486931,27.138432397019,-0.531361948325831,0.247661784623098,0.346634956369085,"stable",0.997106726774295
"Glucose 1-phosphate","Com_916_neg","Glucose 1-phosphate","C6 H13 O9 P",260.02968,1.216,259.02241,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",8339244.727,7674043.997,6518194.244,6650280.577,5861767.53199999,7998646.75400001,8158973.365,6058409.755,8091913.66400001,22.7529543389744,22.8330272721665,-0.0800729331921133,0.586570690830919,0.485916192911081,"stable",0.432181858124571
"3-Hydroxybenzoic acid","Com_923_neg","3-Hydroxybenzoic acid","C7 H6 O3",138.03171,5.385,137.02443,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",35268433.95,31878836.43,32466002.27,31639077.17,35527815.65,41270062.1,43218386.78,28512514.7,30889869.16,25.0511843954415,24.9834654096894,0.0677189857520517,0.55209506250497,0.471130951403513,"stable",0.371133564664676
"2'-Deoxyuridine-5-monophosphate","Com_1003_neg","2'-Deoxyuridine-5-monophosphate","C9 H13 N2 O8 P",308.04069,1.676,307.03342,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",12589408.89,14351756.9,12626394.83,17163066.18,19203900.31,14528305.58,15991622,18374799.29,15001638.43,23.9867863243987,23.6501235556611,0.336662768737622,0.00996081234071153,0.0955776920392743,"up",1.67218206032369
"D-Sedoheptulose 7-phosphate","Com_1008_neg","D-Sedoheptulose 7-phosphate","C7 H15 O10 P",290.0405,1.217,289.03323,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",3150844.481,2054115.735,2286683.124,3308413.512,2472724.836,3067248.101,1977731.786,2141611.618,3384718.809,21.3466961991188,21.2274060614129,0.119290137705857,0.629725650907696,0.503660165735577,"stable",0.41087437556587
"Taurochenodeoxycholic acid","Com_1086_neg","Taurochenodeoxycholic acid","C26 H45 N O6 S",499.29739,7.289,498.29012,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Taurinated bile acids and derivatives",15216159.36,18591778.77,13892923.21,13863216.28,20114135.22,15473293.19,17251460.57,17954799.39,17318873.69,24.0089441889703,23.9117030830122,0.0972411059581297,0.544189524208703,0.468629948652418,"stable",0.559963712188858
"Uridine 5'-diphosphoglucuronic acid","Com_1164_neg","Uridine 5'-diphosphoglucuronic acid","C15 H22 N2 O18 P2",580.03517,4.319,579.02789,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",179665340.7,174732093.7,202299139.5,170299123.4,167122397.8,187081589.1,185935230.5,158981527.8,180023541.1,27.379506187591,27.46440706776,-0.0849008801689664,0.331013120111357,0.389360251893912,"stable",0.899810306394857
"Deoxycholic acid","Com_1566_neg","Deoxycholic acid","C24 H40 O4",392.29282,8.265,391.28555,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives",3951172.754,17260885.13,19976563.92,12266798.07,2604762.263,3407489.016,5141579.906,3655222.555,3718834.036,22.0804967158271,23.4022192410975,-1.32172252527035,0.209834638371989,0.323885271652385,"stable",1.28377148545853
"3-Hydroxydecanoic acid","Com_2064_neg","3-Hydroxydecanoic acid","C10 H20 O3",188.14134,7.101,187.13406,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",16148796.73,14140657.19,16188292.49,14710573.24,10666607.9,14894867.73,15189779.52,10717348.53,12638538.46,23.6311048023861,23.8822388855016,-0.251134083115502,0.0678492113784969,0.205554325233086,"stable",1.1678458861662
"DL-Malic acid","Com_2348_neg","DL-Malic acid","C4 H6 O5",134.02145,2.397,133.01418,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",42587002.42,44271036.07,33297245.72,34184680.3,50940693.04,30760591.3,38057177.55,39673674.31,41477075.8,25.2054827523314,25.244223053779,-0.0387403014475538,0.823552414585777,0.570277607308747,"stable",0.184328539943805
"Valeric acid","Com_2501_neg","Valeric acid","C5 H10 O2",102.06808,0.36,101.06081,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Straight chain fatty acids",5275226.73,5919108.73499999,5277855.25,4888488.95399999,4280916.867,5833399.893,5450469.18399999,4211832.502,4510939.338,22.2025521965545,22.386423517971,-0.183871321416518,0.0969765811356211,0.235191777045918,"stable",1.08253736381893
"D-(-)-Quinic acid","Com_3047_neg","D-(-)-Quinic acid","C7 H12 O6",192.0634,4.992,191.05617,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Quinic acids and derivatives",1855963.969,1423912.134,1909753.63,5541024.837,7129347.82500001,2798972.564,2907867.633,1478122.386,1092357.881,21.4349007704482,20.7100403561568,0.724860414291385,0.157833290313136,0.289228771679517,"stable",0.860191189988151
"3-Coumaric acid","Com_3096_neg","3-Coumaric acid","C9 H8 O3",164.04735,6.588,163.04007,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",9214292.42400001,6953434.467,8933541.17699999,8845074.181,6752385.32,9587104.76199999,8034942.13700001,6587113.761,7109146.12599999,22.884398079697,22.9851789958488,-0.100780916151777,0.55540411271788,0.472291580428355,"stable",0.511723816521073
"Oleoyl-L-α-lysophosphatidic acid","Com_3344_neg","Oleoyl-L-α-lysophosphatidic acid","C21 H41 O7 P",436.25896,10.27,435.25169,"Full match","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1-acylglycerol-3-phosphates",3265463.41,2572740.627,2621456.299,5001850.865,2059450.104,3206821.637,2654651.248,3787783.976,3086734.804,21.5985391132831,21.4185559880646,0.17998312521847,0.41914330200844,0.425874746153679,"stable",0.526944941582833
"Rutin","Com_3410_neg","Rutin","C27 H30 O16",610.15474,5.536,609.14747,"Full match","Full match","No results","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid-3-O-glycosides",155472.2726,419762.5951,251929.5628,268914.3373,144057.5059,328156.4959,164922.9727,117779.9693,187387.4315,17.5316548517243,17.9560575906802,-0.424402738955987,0.429844714965344,0.430066889479371,"stable",0.757362276106835
"Xanthosine","Com_3481_neg","Xanthosine","C10 H12 N4 O6",284.07579,4.769,283.06852,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",3494019.279,4495500.994,4221328.433,3358404.476,5188194.067,3204335.976,3868632.493,3933193.604,4292547.426,21.9036340397732,21.9485907533987,-0.0449567136254885,0.775357166928527,0.555441208691703,"stable",0.219871522899642
"δ-Ribono-1,4-lactone","Com_3978_neg","δ-Ribono-1,4-lactone","C5 H8 O5",148.03711,2.492,147.02983,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",16116544.29,14247599.38,13181670.51,13650222.13,14999533.88,11220790.36,19855500.26,22202982.38,24446958.98,24.0251572640465,23.786094832363,0.239062431683482,0.269025013139013,0.359060279619481,"stable",0.690194131369
"2-Hydroxyphenylalanine","Com_4366_neg","2-Hydroxyphenylalanine","C9 H11 N O3",181.07394,4.784,180.06667,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",9873727.18699999,10970777.68,9802478.57500001,10335555.91,9565084.746,8987470.768,9523243.49799999,7427212.76299999,9070177.761,23.1183421960584,23.2823469889989,-0.164004792940482,0.0942918707483572,0.231991154524286,"stable",1.12229339630996
"Folic acid","Com_4452_neg","Folic acid","C19 H19 N7 O6",441.14033,5.17,440.13306,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",2076169.374,2755877.338,1496768.892,1771984.352,3198544.678,1553136.772,1876387.588,1574032.011,2577550.464,20.9426335356642,20.9643310025533,-0.0216974668890764,0.947107231935581,0.604145655757527,"stable",0.0588166020111472
"N-Acetyl-DL-tryptophan","Com_4625_neg","N-Acetyl-DL-tryptophan","C13 H14 N2 O3",246.10048,5.659,245.0932,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",1715955.333,1927314.132,2420098.625,2031446.878,1347630.949,2100122.389,1430450.04,1005636.69,1185108.843,20.4804026325491,20.9317917614754,-0.451389128926309,0.0893859518001052,0.227645196432451,"stable",1.15403062556036
"Guanosine","Com_4628_neg","Guanosine","C10 H13 N5 O5",283.09172,3.567,282.08444,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",2996968.249,2723667.613,3301683.489,2109823.057,2190801.263,3003883.906,2321204.117,1685790.059,1414315.348,20.9755372009157,21.5156539950256,-0.540116794109853,0.0176825327583586,0.125241929121953,"down",1.42977620722334
"Pantothenic acid","Com_6_neg","Pantothenic acid","C9 H17 N O5",219.11048,5.065,218.10319,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols",4160955673,5090568193.00001,4535412812,6140796270,7346962310,5785518798.00001,6705068321,6102053555.99999,7660923850,32.6173670545846,32.0926780153382,0.524689039246425,0.00583996274552648,0.0742810282611483,"up",1.88646745180866
