"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_2w_1","MV4_11_2w_2","MV4_11_2w_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N6,N6,N6-Trimethyl-L-lysine","Com_1525_pos","N6,N6,N6-Trimethyl-L-lysine","C9 H20 N2 O2",188.15294,1.292,189.16022,"Full match","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",5593019.44,6786341.652,7175447.462,10758032.58,11749870.65,10240483.13,27833451.2,8983698.40999999,10023036.36,23.5364739556416,22.6280119723499,0.908461983291726,0.0127616628132992,0.104986169986483,"up",1.51768885800342
"DL-Dipalmitoylphosphatidylcholine","Com_1864_pos","DL-Dipalmitoylphosphatidylcholine","C40 H80 N O8 P",733.56401,11.003,734.56954,"Full match","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphatidylcholines",921205.6187,4671978.291,3959739.595,3312861.328,3921489.038,6542243.544,5446706.203,2616088.789,2077284.914,21.8143618211647,21.2952466504809,0.519115170683829,0.565381815725706,0.619700219582362,"stable",0.673418374533698
"S-Adenosylmethionine","Com_2017_pos","S-Adenosylmethionine","C15 H22 N6 O5 S",398.13773,1.563,399.145,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",49708243.7700001,47920277.78,28956392.11,41520957.6,41467901.93,45477208.04,58149561.0199999,46799332.21,37913037.53,25.4168181227297,25.2894977513224,0.127320371407279,0.671177155732241,0.659217221819697,"stable",0.498131629924918
"1-Methyladenosine","Com_3061_pos","1-Methyladenosine","C11 H15 N5 O4",281.11273,1.986,282.12,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",15065422.78,15562701.14,12763958.02,17128737.4,12759291.28,15137560.39,6893696.673,14940050.71,12295380.34,23.5979551403074,23.7806331348611,-0.182677994553714,0.414243446270789,0.544191529139852,"stable",0.522491354249081
"Nicotinamide adenine dinucleotide phosphate (NADP+)","Com_3491_pos","Nicotinamide adenine dinucleotide phosphate (NADP+)","C21 H28 N7 O17 P3",743.07597,1.499,372.54536,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",1019223.052,828534.2633,733618.973400001,7944981.25,8767159.114,8359198.14799999,2556967.54,5364042.664,8793994.42500001,22.6148670662467,19.7013038808532,2.91356318539355,5.11749793193344e-05,0.00422479849002365,"up",2.06207508968053
"Sodium [dodecanoyl(methyl)amino]acetate","Com_3842_pos","Sodium [dodecanoyl(methyl)amino]acetate","C15 H29 N O3",271.21508,8.092,272.22238,"Full match","Full match","No results",NA,NA,NA,NA,1220223.823,1631585.103,3630118.638,1711735.552,1190565.771,1632487.34,1750952.537,1538421.252,6496565.12,20.908809681075,20.8827141496424,0.0260955314325564,0.966603428120641,0.735860468851469,"stable",0.0362144754357202
"Cysteinylglycine","Com_4492_pos","Cysteinylglycine","C5 H10 N2 O3 S",178.04202,2.423,179.04929,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",4552569.049,4498667.389,4498026.809,5767009.666,4340631.459,5799645.818,2856255.79,5788460.861,4513179.051,22.1654255967526,22.1067255237183,0.0587000730343163,0.734416380492735,0.679146203072719,"stable",0.204292158135779
"Androstenedione","Com_4817_pos","Androstenedione","C19 H26 O2",286.19349,6.713,287.20075,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives",8861526.20100001,4995095.216,9827953.75300001,7401901.23299999,7259977.375,7784923.101,10590251.72,8537158.27,5901141.078,22.8928949987797,22.8532213826635,0.0396736161161506,0.911526126402595,0.724300524669832,"stable",0.12769203455473
"2-Isopropylaniline","Com_7824_pos","2-Isopropylaniline","C9 H13 N",135.10508,5.058,136.11235,"Full match","Full match","No results",NA,NA,NA,NA,1016747.185,1169919.542,1018599.238,1087566.655,1577042.943,1197958.457,1186446.762,1338747.6,636049.1909,20.1071761114668,20.0238875211361,0.0832885903307563,0.682205644427775,0.662869013975355,"stable",0.256404731854876
"L-Phenylalanine","Com_3_pos","L-Phenylalanine","C9 H11 N O2",165.07919,4.983,166.08646,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",11598804764,11207534635,10357888077,11838788561,12425981969,13057552673,18086660913,11074983662,12526830391,33.5974506039286,33.3623392749364,0.235111328992232,0.0757291618317668,0.237135181695015,"stable",1.12214628647232
"Creatine","Com_7_pos","Creatine","C4 H9 N3 O2",131.06968,1.436,132.07696,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",2272275149,2149819249,1832967798,3565934475,2462551074,2798978008,2909749728,2792904125,2292286523,31.3704832698776,30.9515309701085,0.418952299769071,0.0197152489296033,0.127157101197339,"up",1.63416250739897
"DL-Tryptophan","Com_15_pos","DL-Tryptophan","C11 H12 N2 O2",204.09018,5.263,205.09749,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",2390662678,2385508062,2188034544,2807210098,2467005761,2638276995,3673084356,2503363217,3076152066,31.3995996291552,31.1111337398506,0.288465889304671,0.023190214414354,0.138739693031227,"up",1.40384465927624
"L-Tyrosine","Com_19_pos","L-Tyrosine","C9 H11 N O3",181.07421,2.663,182.08149,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Tyrosine and derivatives",5074860873.00001,4922055256.99999,4390048476,5748122300.99999,5371974602.99999,5702874387.00001,8607038773.00002,5617405193,6563063313,32.5256899685229,32.1563081860054,0.369381782517443,0.0187424124502752,0.124583719009799,"up",1.47204049278281
"L-Glutathione (reduced)","Com_27_pos","L-Glutathione (reduced)","C10 H17 N3 O6 S",307.08408,1.933,308.09136,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",22380015.91,23425353.35,3980222441,243491133.9,155295151.8,21602813.96,14213408.37,13898101.46,702795373.599999,26.0520184360914,26.9291590381425,-0.877140602051039,0.76666138687671,0.688436507657226,"stable",0.333797049016637
"5'-S-Methyl-5'-thioadenosine","Com_29_pos","5'-S-Methyl-5'-thioadenosine","C11 H15 N5 O3 S",297.09004,5.208,298.09731,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",1885295698,1961548519,1595061473,2245919431,1745831321,2061533837,1902272216,2276246915,1852621624,30.9005007742696,30.7508181428985,0.149682631371089,0.249477658581623,0.41930727218863,"stable",1.00953523398858
"Adenosine","Com_44_pos","Adenosine","C10 H13 N5 O4",267.09706,3.245,268.10433,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",1111970231,1222408249,941550224.399999,1280690379,1067814241,1013244644,1503571606,1113255115,1137032679,30.1305222723524,30.0160042900708,0.114517982281608,0.451536220862736,0.565479351910998,"stable",0.639958242466559
"2-Hydroxycinnamic acid","Com_54_pos","2-Hydroxycinnamic acid","C9 H8 O3",164.04766,2.656,182.0815,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",5074860873.00001,4922055256.99999,4390048476,5748122300.99999,5371974602.99999,5702874387.00001,8607038773.00002,5617405193,6563063313,32.5256899685229,32.1563081860054,0.369381782517443,0.0187424124502752,0.124583719009799,"up",1.47204049278281
"DL-Arginine","Com_58_pos","DL-Arginine","C6 H14 N4 O2",174.11212,1.319,175.1194,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Arginine and derivatives",159616600.8,168017328.4,141452301.8,197635531,171735653.4,205664311.2,287663115.6,205213650.3,185861662.5,27.6186013512399,27.2166035562812,0.401997794958685,0.0164137940121292,0.117920269284791,"up",1.52380911306308
"L-Pyroglutamic acid","Com_61_pos","L-Pyroglutamic acid","C5 H7 N O3",129.04287,1.351,130.05015,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",1357652732,1134205298,1259802096,1277202406,1234559052,1086934144,787974695.300001,1388970315,1182824433,30.0889729331896,30.216017328393,-0.12704439520337,0.392255358242131,0.530633528140023,"stable",0.574770283851375
"Methionine","Com_70_pos","Methionine","C5 H11 N O2 S",149.05133,2.065,150.05861,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Methionine and derivatives",718860403.8,556603926.4,1033067309,1029596497,502533856.6,482282809.9,901598420.9,602906041.5,1285626608,29.4774123079827,29.4724997842781,0.00491252370460771,0.989394281338122,0.740365217860616,"stable",0.0105526392640399
"Hypoxanthine","Com_84_pos","Hypoxanthine","C5 H4 N4 O",136.03879,2.044,137.04607,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Hypoxanthines",27152895.53,29589702.41,24711398.43,59956552.8,35643791.01,47267237.49,19032133.49,43382254.38,27478434.7,25.1138718175542,24.6906226292849,0.42324918826931,0.147679907844207,0.316930198729472,"stable",0.9022969120047
"cis-4-Hydroxy-D-proline","Com_87_pos","cis-4-Hydroxy-D-proline","C5 H9 N O3",131.05856,1.336,132.06582,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",55574891.88,38410448,49752366.41,17967989.94,132967824.3,20987819.92,95694644.3299999,40892950.54,88885717.48,25.6018680950295,25.497062389094,0.104805705935405,0.847224441972541,0.709455364428266,"stable",0.11937103997501
"Glycyl-L-leucine","Com_101_pos","Glycyl-L-leucine","C8 H16 N2 O3",188.11634,5.094,189.12362,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",20034786.08,90178409.9900001,394790291.3,316007882.7,180144039,15675797.11,13627926.25,18546505.33,528951047,26.0642103601017,26.4129312591211,-0.348720899019394,0.835203040224771,0.706500833201888,"stable",0.175976332928409
"Methionine sulfoxide","Com_150_pos","Methionine sulfoxide","C5 H11 N O3 S",165.04623,2.054,148.04292,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",570426048.9,654793359.400001,535234111.1,785456295.800001,665386635.599999,604588697.6,582290145.5,647929603.5,807283880.9,29.3344796368138,29.1231746321926,0.211305004621213,0.126940244705209,0.292728244292847,"stable",1.16506014256591
"Adenine","Com_158_pos","Adenine","C5 H5 N5",135.05475,3.24,136.06203,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-aminopurines",393177207.6,429424645.899999,364620212.4,457970755.9,397911623.9,371562124.1,502971495.7,400907224.1,374238664,28.6285931989444,28.5567511669104,0.0718420320340272,0.493298830289264,0.58707579010682,"stable",0.517116638900962
"S-Adenosylhomocysteine","Com_161_pos","S-Adenosylhomocysteine","C14 H20 N6 O5 S",384.12209,2.514,193.06837,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",81198839.0900001,92934080,316984613.1,141380578.5,121698954.9,80198771.89,79254397.1200001,95979085.6199999,193786218.4,26.7461536942298,26.9948325822576,-0.248678888027797,0.73591484438842,0.679590192886148,"stable",0.402028033295807
"Panthenol","Com_197_pos","Panthenol","C9 H19 N O4",205.13172,5.089,206.13898,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines",94196297.8499999,79369284.2099999,110001475.1,85356243.72,86641451.5100001,113468138.1,130411275.5,168325546.7,68336137.32,26.6307628468394,26.4813973705809,0.149365476258456,0.547860837187409,0.612253831151285,"stable",0.413655056434148
"L-Histidine","Com_244_pos","L-Histidine","C6 H9 N3 O2",155.06984,1.326,156.07711,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",166383266.4,162931372.5,168875567.5,151902481.5,168778710.6,139976757.4,175478670.9,149770219.4,166403649.1,27.2374579603504,27.3070032207507,-0.0695452604002256,0.23832302463688,0.409621328278374,"stable",0.732892655953122
"Glycerophospho-N-palmitoyl ethanolamine","Com_263_pos","Glycerophospho-N-palmitoyl ethanolamine","C21 H44 N O7 P",453.28606,9.458,454.2933,"Full match","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","Glycero-3-phospho-N-acyl-ethanolamines",23443975.34,34869279.1,77023857.51,67259158.48,41719766.39,46964541.4200001,25464515.81,78018908.15,162676992.8,25.8165440219089,25.2456563777349,0.570887644174011,0.411129313712762,0.542319140590959,"stable",0.70959018728185
"N-Acetylornithine","Com_290_pos","N-Acetylornithine","C7 H14 N2 O3",174.10071,3.2,175.10798,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",11818537.97,31675738.33,153181737.3,131071143.7,81617512,26532989.41,6824527.843,20475936.52,228236279.1,25.4441851583515,25.200697405587,0.243487752764569,0.862791090759323,0.71319397303011,"stable",0.15263613443642
"5-Hydroxyindole-3-acetic acid","Com_677_pos","5-Hydroxyindole-3-acetic acid","C10 H9 N O3",191.05855,4.839,209.09239,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indole-3-acetic acid derivatives",13084013.79,17237255.52,12111391.88,17119532,13715373.19,13612293.09,32136535.73,15061981.18,16291450.41,24.0294280436351,23.7367299804051,0.292698063230027,0.272520930629072,0.439914304220527,"stable",0.777034159321721
"Thymine","Com_743_pos","Thymine","C5 H6 N2 O2",126.04309,4.883,127.05037,"Full match","Full match","Full match","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Hydroxypyrimidines",61570350.45,54105758.23,60110698.97,31320865.38,34687013.81,26047913.69,20366011.13,22741148.93,29060926.96,24.682369472864,25.8020432368054,-1.11967376394144,7.65841053486931e-05,0.00526872729832136,"down",2.0431628650512
"Inosine-5'-monophosphate (IMP)","Com_942_pos","Inosine-5'-monophosphate (IMP)","C10 H13 N4 O8 P",348.04796,1.634,349.05531,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",28974681.24,40099866.97,24865026.74,96632365.4500001,36454193.17,57868754.06,15879419.97,44833360.53,36793019.75,25.3172531272186,24.8709994052033,0.446253722015356,0.308705779751864,0.470824026561216,"stable",0.669085993085555
"Argininosuccinic acid","Com_991_pos","Argininosuccinic acid","C10 H18 N4 O6",290.12292,1.348,291.13019,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",2517419.06,1778150.999,2204101.584,3337215.084,2471607.83,3018702.942,6630265.619,2412130.274,3683753.994,21.6846643240828,21.0324065534885,0.652257770594336,0.0420555743533155,0.181176640536626,"up",1.31637933817154
