"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_2w_1","MV4_11_2w_2","MV4_11_2w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N-Acetyl-α-D-glucosamine 1-phosphate","Com_77_neg","N-Acetyl-α-D-glucosamine 1-phosphate","C8 H16 N O9 P",301.0574,1.569,300.04879,"Full match","Full match","Full match",NA,NA,NA,NA,123029321.7,114100758.6,73283714.2199999,77221505.27,80009666.13,64384659.81,26.1321279899674,26.5890497954527,-0.456921805485333,0.0852897617342865,0.360735798204092,"stable",1.21953565615035
"D-(-)-Mannitol","Com_101_neg","D-(-)-Mannitol","C6 H14 O6",182.07898,1.332,181.07184,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar alcohols",24854278.72,34442551.79,15654452.27,83985890.6099999,108189752.5,118110294.7,26.6093972455734,24.5015830979167,2.10781414765663,0.0349892663049874,0.339110473600959,"up",1.71958141802607
"Uridine 5'-diphosphogalactose","Com_126_neg","Uridine 5'-diphosphogalactose","C15 H24 N2 O17 P2",566.05541,1.753,565.04813,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",3495828722,3416392014,2348745991,2898543490,3059051419,2587072769,31.4039305619179,31.5006857631453,-0.096755201227392,0.511957644579345,0.517998272462597,"stable",0.429125423097364
"Suberic acid","Com_136_neg","Suberic acid","C8 H14 O4",174.08918,5.922,173.0819,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",12632156.07,13412295.35,8856354.289,11835992.26,17055176.66,12367247.42,23.693468261575,23.4486439644437,0.244824297131231,0.294293990187614,0.466083326927155,"stable",0.799377983146085
"Υ-Aminobutyric acid (GABA)","Com_170_neg","Υ-Aminobutyric acid (GABA)","C4 H9 N O2",103.06328,1.355,102.05606,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Gamma amino acids and derivatives",376520132,345707909.9,259183072.6,336181050.1,356894890.1,311076223.3,28.3160933520809,28.2675087981419,0.0485845539390297,0.73141527531933,0.585494879004478,"stable",0.253089907661757
"Threonine","Com_177_neg","Threonine","C4 H9 N O3",119.05827,1.314,118.051,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","D-alpha-amino acids",135027817.5,108253733.2,74653369.3699999,81206360.0100001,99898123.8,88292084.48,26.4149414672498,26.617408996073,-0.202467528823277,0.551064360329204,0.530777219236975,"stable",0.650617429118937
"N-Acetylalanine","Com_183_neg","N-Acetylalanine","C5 H9 N O3",131.05817,2.71,130.0509,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-L-alpha-amino acids",384558144.5,398381540.6,269340458.2,397043420.6,355376817.8,368047083.6,28.474936993046,28.3643525938422,0.110584399203816,0.60251074767363,0.546064177488256,"stable",0.516924867395753
"D(+)-Phenyllactic acid","Com_205_neg","D(+)-Phenyllactic acid","C9 H10 O3",166.06292,5.735,165.05564,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",202767556.6,206382093.3,14465170.68,242389589.3,193334145.4,205574837.5,27.664787387031,26.334024721709,1.33076266532198,0.399567476024999,0.495026729174849,"stable",0.839665611739082
"D-(-)-Ribose","Com_265_neg","D-(-)-Ribose","C5 H10 O5",150.05271,1.447,149.04542,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",24222862.67,28056533.95,20994492.58,39191196.99,30705531.97,32660489.15,25.0190215417885,24.5317356927286,0.487285849059926,0.112926373022199,0.364694959325514,"stable",1.51819993918097
"α-D-Glucose-1,6-bisphosphate","Com_269_neg","α-D-Glucose-1,6-bisphosphate","C6 H14 O12 P2",339.99609,1.184,338.9888,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",47981596.99,57884117.28,32416848.03,53352050.87,52075973.34,46871619.84,25.5951220919666,25.4176275112365,0.177494580730063,0.464584195118327,0.507352637814207,"stable",0.60174758087233
"4-Nitrophenol","Com_309_neg","4-Nitrophenol","C6 H5 N O3",139.0269,0.412,138.01962,"Full match","Full match","Full match","Benzenoids","Phenols","Nitrophenols","Nitrophenols",6862516.20600001,6461156.343,5882411.6,7630865.659,7219447.03400001,636924380,24.9644730205604,22.6072144929844,2.35725852757607,0.396218460053907,0.494301420662522,"stable",0.876346779670568
"(2R)-2,3-Dihydroxypropanoic acid","Com_322_neg","(2R)-2,3-Dihydroxypropanoic acid","C3 H6 O4",106.02659,1.439,105.01931,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",50189061.35,60579648.95,38018450.86,84667892.42,64113775.34,67178069.29,26.0903098890989,25.5377986409521,0.552511248146796,0.144187573970093,0.384574460052128,"stable",1.39388494458851
"Ethylmalonic acid","Com_345_neg","Ethylmalonic acid","C5 H8 O4",132.04223,4.676,131.03495,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Branched fatty acids",160492669.7,165647486.3,120233104.9,133540414.4,115224850.9,106705403.4,26.8138786114448,27.1342440583231,-0.32036544687832,0.0929319583385435,0.362056526561436,"stable",1.22715102238198
"Pimelic acid","Com_363_neg","Pimelic acid","C7 H12 O4",160.07359,5.496,159.06631,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",79508905.07,65756101.74,59103147.51,63637321.76,68040280.3400001,65569508.56,25.9699257598398,26.0106553936982,-0.0407296338584544,0.802865730797363,0.607920193948799,"stable",0.285190909633934
"Guanosine monophosphate (GMP)","Com_367_neg","Guanosine monophosphate (GMP)","C10 H14 N5 O8 P",363.05809,1.845,362.05081,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",122515706.8,120098050.1,89463904.0000001,442140714,195025460.7,475133897.7,28.3609254949618,26.7076104479256,1.65331504703617,0.0815151526855839,0.359996336450533,"stable",1.60690502961194
"Terephthalic acid","Com_368_neg","Terephthalic acid","C8 H6 O4",166.02661,5.566,165.01934,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",51245666.0599999,48392655.83,72922358.8600001,42282170.48,46182463.8899999,49137323.94,25.4482346211915,25.7530231128497,-0.304788491658197,0.171356819002554,0.402524534487675,"stable",1.11812826135519
"Hippuric acid","Com_423_neg","Hippuric acid","C9 H9 N O3",179.0583,5.42,178.05102,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hippuric acids",49710526.49,53599152.56,37910675.48,59207604.35,55518351.47,51434268.52,25.7206556970277,25.4729519096005,0.247703787427195,0.158441878121317,0.39425093894721,"stable",1.10128780485059
"N-Acetyl-D-alloisoleucine","Com_474_neg","N-Acetyl-D-alloisoleucine","C8 H15 N O3",173.10529,5.7,172.09801,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Isoleucine and derivatives",104172727.1,95942188.66,60134204.2,92718212.7099999,80518305.5899999,101647693.8,26.4427217133891,26.3305822958448,0.11213941754432,0.761945039853429,0.595383286334199,"stable",0.375635848670523
"O-Phosphorylethanolamine","Com_486_neg","O-Phosphorylethanolamine","C2 H8 N O4 P",141.01919,1.248,140.01191,"Full match","Full match","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Phosphoethanolamines",25845714.83,40276256.33,22789000.29,43922662.64,42284245.86,37072657.9,25.2886437692352,24.7762274419994,0.512416327235812,0.147173287548498,0.38671477901651,"stable",1.27607850095005
"Fumaric acid","Com_511_neg","Fumaric acid","C4 H4 O4",116.01091,1.537,115.00364,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",217336015.8,241765636.6,150194718.4,262695878,200907489.1,227569223.1,27.7708348806264,27.5688816101281,0.201953270498269,0.508006472719181,0.516635026290076,"stable",0.714574190796108
"Thymidine 5'-monophosphate","Com_608_neg","Thymidine 5'-monophosphate","C10 H15 N2 O8 P",322.05634,2.317,321.04907,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",83388424.68,85797628.71,57781713.7899999,86465833.1499999,62728158.21,63571856.27,26.0633738592855,26.1506292986708,-0.0872554393853235,0.681996029362682,0.568421683807469,"stable",0.327917348455412
"3-Methylglutaric acid","Com_616_neg","3-Methylglutaric acid","C6 H10 O4",146.05799,5.476,145.05071,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",19183575.6,16822151.98,13854865.39,16375123.5,19816877.3,18916463.42,24.1261226048573,23.973705536246,0.152417068611346,0.525734609841963,0.522644787906282,"stable",0.783484604551894
"2-Anisic acid","Com_642_neg","2-Anisic acid","C8 H8 O3",152.04738,5.843,151.0401,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","O-methoxybenzoic acids and derivatives",17429343.67,16093484.12,19626673.79,15836724.99,16680257.86,17752811.89,23.9966510521217,24.0737668743533,-0.0771158222315549,0.35390814020083,0.484182552700574,"stable",0.678397967561314
"N-Acetyl-L-phenylalanine","Com_648_neg","N-Acetyl-L-phenylalanine","C11 H13 N O3",207.08958,5.72,206.0823,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",29309311.02,24967567.08,10817011.24,22204218.41,17330503.98,28692435.64,24.4084359439736,24.2484020765162,0.160033867457475,0.821764670152212,0.613451718285782,"stable",0.291360400640539
"Jasmonic acid","Com_681_neg","Jasmonic acid","C12 H18 O3",210.12561,6.285,209.11834,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Jasmonic acids",21975595.41,19068528.47,17677961.87,21427265.24,20321568.35,24502910.19,24.3919675263904,24.2165125714448,0.175454954945589,0.368525991162463,0.487892502375422,"stable",1.06047637015914
"Phosphocreatine","Com_700_neg","Phosphocreatine","C4 H10 N3 O5 P",211.03568,1.392,210.0284,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",56368901.36,54759026.13,34983964.55,61639120.7000001,61228330.9699999,54882494.9000001,25.8182938991992,25.5050600075406,0.313233891658509,0.204067882594913,0.424438209139081,"stable",1.02538230052644
"Glucose 1-phosphate","Com_916_neg","Glucose 1-phosphate","C6 H13 O9 P",260.02968,1.216,259.02241,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",15886319.8,15949610.59,11332501.76,17828771.17,18206868.37,16077360.29,24.0480702038985,23.7607541766098,0.287316027288643,0.118551510424976,0.365282016472976,"stable",1.1631209280918
"3-Hydroxybenzoic acid","Com_923_neg","3-Hydroxybenzoic acid","C7 H6 O3",138.03171,5.385,137.02443,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",28453391.58,30250942.75,26031912.46,24787403.54,28480602.95,26587326.13,24.6636051779101,24.7487840099146,-0.0851788320044555,0.327268482789401,0.476743161578066,"stable",0.810856876618224
"2'-Deoxyuridine-5-monophosphate","Com_1003_neg","2'-Deoxyuridine-5-monophosphate","C9 H13 N2 O8 P",308.04069,1.676,307.03342,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",19925147.93,19273273.25,13339672.06,34192291.47,19736731.31,26710242.88,24.6441457589663,24.0391350794886,0.605010679477751,0.174512308142411,0.40451037358422,"stable",1.30175645344812
"D-Sedoheptulose 7-phosphate","Com_1008_neg","D-Sedoheptulose 7-phosphate","C7 H15 O10 P",290.0405,1.217,289.03323,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",6658878.18,6710897.708,3646348.632,18214797.12,21939691.1,20026151.13,24.2536764350987,22.3809810425989,1.87269539249979,0.0249724252073495,0.325825721338893,"up",1.73035594085587
"Taurochenodeoxycholic acid","Com_1086_neg","Taurochenodeoxycholic acid","C26 H45 N O6 S",499.29739,7.289,498.29012,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Taurinated bile acids and derivatives",24266227.41,30299876.61,17523406.99,13457313.17,12506134.06,11955833.47,23.5897436612491,24.4826783481648,-0.892934686915698,0.0512821549030294,0.350427384331698,"stable",1.60906077585888
"Uridine 5'-diphosphoglucuronic acid","Com_1164_neg","Uridine 5'-diphosphoglucuronic acid","C15 H22 N2 O18 P2",580.03517,4.319,579.02789,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",245510964.3,284216698.9,200151627.9,284024659.7,281979558.3,262826461.2,28.0406638612031,27.8433821345923,0.197281726610868,0.233606620687646,0.440677900130201,"stable",0.994306905269879
"Deoxycholic acid","Com_1566_neg","Deoxycholic acid","C24 H40 O4",392.29282,8.265,391.28555,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives",5611907.585,4355588.588,10802768.5,4334610.414,3507981.752,4034848.257,21.9112545671174,22.6131312774984,-0.701876710381022,0.190445625834668,0.415770947679186,"stable",1.19794190690622
"3-Hydroxydecanoic acid","Com_2064_neg","3-Hydroxydecanoic acid","C10 H20 O3",188.14134,7.101,187.13406,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",13607279.54,13018170.73,12033080.16,12816271.17,12335636.29,12263039.96,23.571871788819,23.6174671258856,-0.0455953370665867,0.338378647742577,0.479959877159651,"stable",0.689959153223928
"DL-Malic acid","Com_2348_neg","DL-Malic acid","C4 H6 O5",134.02145,2.397,133.01418,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",58090561.3,57153067.09,34901911.14,58445527.14,57279383.8399999,60050943.27,25.8039284975888,25.5389769071732,0.26495159041561,0.413861136737008,0.498012645242995,"stable",0.872957359692983
"Valeric acid","Com_2501_neg","Valeric acid","C5 H10 O2",102.06808,0.36,101.06081,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Straight chain fatty acids",4465439.449,4250837.864,3059179.981,3762477.946,4759390.715,63810910.31,23.3176323129416,21.8848000292456,1.432832283696,0.435015055771311,0.502129809194911,"stable",0.867339410143237
"D-(-)-Quinic acid","Com_3047_neg","D-(-)-Quinic acid","C7 H12 O6",192.0634,4.992,191.05617,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Quinic acids and derivatives",1401111.85,1605825.424,882622.521799999,1597311.537,2772839.436,1660625.683,20.8911474744069,20.2614871212951,0.629660353111838,0.106019248712048,0.363891967611489,"stable",1.1853763847494
"3-Coumaric acid","Com_3096_neg","3-Coumaric acid","C9 H8 O3",164.04735,6.588,163.04007,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",8551519.63900001,6799773.006,6866263.477,7171914.899,9003620.661,7654113.118,22.9146015248314,22.8119661093717,0.102635415459741,0.646591479662965,0.558428758920632,"stable",0.60457285150897
"Oleoyl-L-α-lysophosphatidic acid","Com_3344_neg","Oleoyl-L-α-lysophosphatidic acid","C21 H41 O7 P",436.25896,10.27,435.25169,"Full match","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1-acylglycerol-3-phosphates",3984923.267,3483038.651,6906477.387,3955095.907,2497187.203,3306506.467,21.6080100293207,22.1258513979092,-0.517841368588474,0.230825078613755,0.439278671231024,"stable",1.06437339645545
"Rutin","Com_3410_neg","Rutin","C27 H30 O16",610.15474,5.536,609.14747,"Full match","Full match","No results","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid-3-O-glycosides",160580.3964,157158.34,116890.2096,240273.883,8400577.719,242723.4532,19.5884438073838,17.1298633787913,2.45858042859248,0.273941998870528,0.458523669675376,"stable",1.05982332075928
"Xanthosine","Com_3481_neg","Xanthosine","C10 H12 N4 O6",284.07579,4.769,283.06852,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",8704702.048,8905812.48599999,5880565.11399999,6194842.485,4248425.89,4319552.382,22.2078611752223,22.8757342211281,-0.667873045905868,0.079456784956025,0.35956489619923,"stable",1.4277247291712
"δ-Ribono-1,4-lactone","Com_3978_neg","δ-Ribono-1,4-lactone","C5 H8 O5",148.03711,2.492,147.02983,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",12987918.13,14035916.9,9104811.42800001,13302489.92,14243991.27,13801048.01,23.7157725282092,23.4971615140916,0.218611014117574,0.37043953032597,0.488360481465263,"stable",0.891254866721577
"2-Hydroxyphenylalanine","Com_4366_neg","2-Hydroxyphenylalanine","C9 H11 N O3",181.07394,4.784,180.06667,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",5579953.045,5359584.09100001,1587151.268,5317805.024,5656133.60799999,3724327.458,22.200777571918,21.7878397917537,0.412937780164292,0.420840521531869,0.499409179912097,"stable",0.570977761458031
"Folic acid","Com_4452_neg","Folic acid","C19 H19 N7 O6",441.14033,5.17,440.13306,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",7068334.05500001,10005836.98,3838761.68,5356214.497,5795266.331,5373360.989,22.392206390671,22.6264956255395,-0.234289234868463,0.597467916139425,0.544571357336388,"stable",0.504351695308716
"N-Acetyl-DL-tryptophan","Com_4625_neg","N-Acetyl-DL-tryptophan","C13 H14 N2 O3",246.10048,5.659,245.0932,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",3805061.868,3597176.518,1155501.461,2510095.207,1799767.679,3794274.811,21.2980275525839,21.2593365530832,0.0386909995007443,0.967684838271587,0.651422346683796,"stable",0.054859802655496
"Guanosine","Com_4628_neg","Guanosine","C10 H13 N5 O5",283.09172,3.567,282.08444,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",10324061.68,10712589.4,5996413.121,6556142.27099999,5938095.36799999,5967225.545,22.5515378138169,23.0559931961393,-0.504455382322345,0.186572356293559,0.413147162831205,"stable",1.22985264988149
"Pantothenic acid","Com_6_neg","Pantothenic acid","C9 H17 N O5",219.11048,5.065,218.10319,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols",8326977058.99999,8952304183.99999,6038756211.00001,5457857650.99999,4794179050.99999,4462225736.00001,32.1864802064636,32.8354539667441,-0.648973760280498,0.0409547887380515,0.344206848064294,"down",1.55998206888584
"L-Glutamic acid","Com_12_neg","L-Glutamic acid","C5 H9 N O4",147.05307,1.354,146.04579,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",8641100510.00002,8036529574.00002,5926900925.00001,7824902213.00001,8184140419.00001,7196506849.99999,32.8467529941186,32.7923747334924,0.0543782606262155,0.701545220099522,0.575340917386997,"stable",0.278663082111668
"L-Aspartic acid","Com_46_neg","L-Aspartic acid","C4 H7 N O4",133.03746,1.353,132.03018,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",1910766500,1769492739,1257534562,947390382.7,1065461554,903300966.9,29.8529488959752,30.5933813145742,-0.740432418599028,0.0408597873750299,0.344136318577682,"down",1.60207889807649
"Phenylacetylglycine","Com_50_neg","Phenylacetylglycine","C10 H11 N O3",193.074,5.533,192.06672,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",515769639.6,597108297.5,417347162.3,463648385.3,400830162,371976919,28.6125031957207,28.9107472359992,-0.298244040278473,0.164002596505977,0.397682847964857,"stable",1.17264560582321
"N-Acetyl-1-aspartylglutamic acid","Com_51_neg","N-Acetyl-1-aspartylglutamic acid","C11 H16 N2 O8",304.09064,2.484,303.08336,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",367754246.2,391716517.1,239327274.5,395025952,316793662.4,388648487.7,28.4434103635911,28.2779370197393,0.165473343851851,0.628039986032718,0.553369827472833,"stable",0.58016661561433
"Citric acid","Com_18_neg","Citric acid","C6 H8 O7",192.02695,2.074,191.01968,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",3472856400,3798083325,2202477598,3750213235,4017607820,4337421411.00001,31.9074018501789,31.5175267404724,0.389875109706406,0.316035467269807,0.47330919825746,"stable",1.11555231961214
"Azelaic acid","Com_32_neg","Azelaic acid","C9 H16 O4",188.10483,5.934,187.09755,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",807128713.799999,598462037.8,586628424.4,670242407,570356741.1,675431080.300001,29.246210126377,29.290926583362,-0.0447164569850216,0.77458601919859,0.599340857846961,"stable",0.238720328267645
