"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_2w_2","MOLM13_2w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"D-(-)-Mannitol","Com_101_neg","D-(-)-Mannitol","C6 H14 O6",182.07898,1.332,181.07184,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar alcohols",14618889.34,12404754.8,14015083.41,16135444.11,14428262.43,23.8630620922238,23.7020657497212,0.160996342502521,0.251539616180947,0.31700079758745,"stable",1.00222979001777
"Uridine 5'-diphosphogalactose","Com_126_neg","Uridine 5'-diphosphogalactose","C15 H24 N2 O17 P2",566.05541,1.753,565.04813,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",2790650479,2828894103,2970294299,2595107106,2639011523,31.2852487205889,31.4145013524914,-0.129252631902467,0.0290518156107648,0.214709177087251,"stable",1.39310613856012
"Suberic acid","Com_136_neg","Suberic acid","C8 H14 O4",174.08918,5.922,173.0819,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",33597613.55,29846217.4,39975070.58,25004822.11,26356852.86,24.6136888927366,25.0284991454297,-0.414810252693094,0.0670139827556204,0.243989943244777,"stable",1.28750938910481
"Υ-Aminobutyric acid (GABA)","Com_170_neg","Υ-Aminobutyric acid (GABA)","C4 H9 N O2",103.06328,1.355,102.05606,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Gamma amino acids and derivatives",272233336.5,294314882.7,327195532.6,290379966.1,291973435.4,28.1173142774847,28.1462105229176,-0.0288962454329429,0.743296818044392,0.496045777607166,"stable",0.256832570654511
"Threonine","Com_177_neg","Threonine","C4 H9 N O3",119.05827,1.314,118.051,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","D-alpha-amino acids",16886717.92,18679492.78,22196993.98,21029592.77,24742764.4,24.4432104684019,24.1893995139803,0.253810954421603,0.232485676416951,0.312763010694856,"stable",1.00361668868567
"N-Acetylalanine","Com_183_neg","N-Acetylalanine","C5 H9 N O3",131.05817,2.71,130.0509,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-L-alpha-amino acids",152544018.2,155135290.8,169984803.6,166767212.2,187969886.8,27.3995933733053,27.2448108586925,0.154782514612823,0.283381270075517,0.323000965960335,"stable",1.09338552798493
"D(+)-Phenyllactic acid","Com_205_neg","D(+)-Phenyllactic acid","C9 H10 O3",166.06292,5.735,165.05564,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",120559538.6,18150073.47,133362988,114463032.5,126385234.8,26.841779590064,25.9831419015335,0.858637688530496,0.45586866407776,0.38180840051609,"stable",0.587963201309126
"D-(-)-Ribose","Com_265_neg","D-(-)-Ribose","C5 H10 O5",150.05271,1.447,149.04542,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",14220829.61,15572355.14,19666168.05,19954787.46,21277556.31,24.296530355228,23.9610662171912,0.335464138036862,0.127953918572065,0.277339432260692,"stable",1.12634437816218
"α-D-Glucose-1,6-bisphosphate","Com_269_neg","α-D-Glucose-1,6-bisphosphate","C6 H14 O12 P2",339.99609,1.184,338.9888,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",53658952.31,60670819.03,61013754.9499999,45477589.55,57168956.86,25.603690541841,25.7981487289694,-0.194458187128422,0.434826102036327,0.375106667633535,"stable",0.946173949461301
"4-Nitrophenol","Com_309_neg","4-Nitrophenol","C6 H5 N O3",139.0269,0.412,138.01962,"Full match","Full match","Full match","Benzenoids","Phenols","Nitrophenols","Nitrophenols",9423712.676,8583548.618,9654407.841,5275017.545,10493610.01,22.8268761024325,23.1345877484595,-0.307711646026942,0.646331856562147,0.461178397860483,"stable",0.662529602250808
"(2R)-2,3-Dihydroxypropanoic acid","Com_322_neg","(2R)-2,3-Dihydroxypropanoic acid","C3 H6 O4",106.02659,1.439,105.01931,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",15369251.22,18502784.33,19382595.15,19621725.13,20683308.53,24.2639560979893,24.0743470018806,0.189609096108768,0.198745480716467,0.303665020435069,"stable",0.976265900181169
"Ethylmalonic acid","Com_345_neg","Ethylmalonic acid","C5 H8 O4",132.04223,4.676,131.03495,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Branched fatty acids",72638227.06,63836702.12,67983097.5499999,68132642.17,63317615.35,25.9689732029112,26.0202604008228,-0.0512871979115594,0.550285404766744,0.421534908297401,"stable",0.538925192914283
"Pimelic acid","Com_363_neg","Pimelic acid","C7 H12 O4",160.07359,5.496,159.06631,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",97888035.8800001,97636332.3399999,100489350.8,87079171.2700001,95257038.3800001,26.4405733503728,26.556003784179,-0.115430433806154,0.316187282144468,0.33022128242196,"stable",1.22907865878489
"Guanosine monophosphate (GMP)","Com_367_neg","Guanosine monophosphate (GMP)","C10 H14 N5 O8 P",363.05809,1.845,362.05081,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",203342032.2,200344282.7,241990272.3,202016363.3,202337924.3,27.5910442121649,27.6758710440366,-0.0848268318716308,0.434462097320946,0.374987198884621,"stable",0.616742999789943
"Terephthalic acid","Com_368_neg","Terephthalic acid","C8 H6 O4",166.02661,5.566,165.01934,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",62209435.6,53336517.63,63499396.4000001,44154723.18,52881846.1000001,25.5261668200237,25.8264966406247,-0.300329820600993,0.204531543534752,0.305396693353792,"stable",1.20228156835921
"Hippuric acid","Com_423_neg","Hippuric acid","C9 H9 N O3",179.0583,5.42,178.05102,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hippuric acids",53144370.02,50296902.99,49240790.99,59130341.82,52027971.17,25.7250896980017,25.6002434545065,0.124846243495192,0.388870741476681,0.358975049530863,"stable",1.03197306489345
"N-Acetyl-D-alloisoleucine","Com_474_neg","N-Acetyl-D-alloisoleucine","C8 H15 N O3",173.10529,5.7,172.09801,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Isoleucine and derivatives",74432693.2700001,62576457.1300001,67990363.65,64319105.54,73033298.6600001,26.030397532829,26.0224588994502,0.00793863337879586,0.951450538696848,0.557513073209961,"stable",0.0613834931483189
"O-Phosphorylethanolamine","Com_486_neg","O-Phosphorylethanolamine","C2 H8 N O4 P",141.01919,1.248,140.01191,"Full match","Full match","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Phosphoethanolamines",25319144.53,32632930.86,28239291.25,32950996.58,24814659.94,24.7692540558545,24.7682503664817,0.00100368937282624,0.99701668913765,0.569020230864105,"stable",0.00438374663075602
"Fumaric acid","Com_511_neg","Fumaric acid","C4 H4 O4",116.01091,1.537,115.00364,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",210381484.2,299178518.4,261886021.8,241461791.8,182194169.4,27.6440606140487,27.9230758878017,-0.279015273752979,0.380000566129406,0.355597442138935,"stable",0.854299012447845
"Thymidine 5'-monophosphate","Com_608_neg","Thymidine 5'-monophosphate","C10 H15 N2 O8 P",322.05634,2.317,321.04907,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",69715046.73,64821852.0200001,87507893.5599999,75486588.3100001,97774358.3500001,26.3563349177253,26.1292844873141,0.227050430411236,0.424631865429048,0.371713283946306,"stable",0.797826406717854
"3-Methylglutaric acid","Com_616_neg","3-Methylglutaric acid","C6 H10 O4",146.05799,5.476,145.05071,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",25041486.09,21157600.78,23739714.54,19555983.11,22502660.91,24.3223495005903,24.4710962667649,-0.148746766174511,0.353198455604615,0.344804470130335,"stable",0.904748431657901
"2-Anisic acid","Com_642_neg","2-Anisic acid","C8 H8 O3",152.04738,5.843,151.0401,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","O-methoxybenzoic acids and derivatives",20252679.64,18925179.05,17893826.89,17259924.49,18898537.38,24.1063470325971,24.1794572369511,-0.0731102043540339,0.465380685137861,0.385369789064517,"stable",0.705302105440212
"N-Acetyl-L-phenylalanine","Com_648_neg","N-Acetyl-L-phenylalanine","C11 H13 N O3",207.08958,5.72,206.0823,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",9317685.611,10750727.74,10621883.74,8370136.98700001,10681981.84,23.1727479022801,23.2833358390057,-0.110587936725572,0.642506829277783,0.459703778737008,"stable",0.585719359665993
"Jasmonic acid","Com_681_neg","Jasmonic acid","C12 H18 O3",210.12561,6.285,209.11834,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Jasmonic acids",19460584.56,15109709.13,21613423.19,17487001.73,18325438.32,24.0935619923688,24.14281617183,-0.0492541794612578,0.781087900449923,0.508442952879092,"stable",0.218757225489438
"Phosphocreatine","Com_700_neg","Phosphocreatine","C4 H10 N3 O5 P",211.03568,1.392,210.0284,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",235193782.9,104065862,270651183.2,195214363.2,197015023.7,27.547107186229,27.4846852594093,0.0624219268196313,0.897865591496911,0.543169180033597,"stable",0.100445037117128
"Glucose 1-phosphate","Com_916_neg","Glucose 1-phosphate","C6 H13 O9 P",260.02968,1.216,259.02241,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",14682988.57,17163780.92,15586941.82,10532806.31,10052512.76,23.2947196840487,23.9114469749798,-0.616727290931063,0.00460241250851778,0.166592669500433,"down",1.50446378487035
"3-Hydroxybenzoic acid","Com_923_neg","3-Hydroxybenzoic acid","C7 H6 O3",138.03171,5.385,137.02443,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",32656521.98,37860400.07,34859450.02,31886533.26,33340078.08,24.9585990330572,25.0633668681494,-0.104767835092268,0.234951028566316,0.313343270313138,"stable",0.911451134410926
"2'-Deoxyuridine-5-monophosphate","Com_1003_neg","2'-Deoxyuridine-5-monophosphate","C9 H13 N2 O8 P",308.04069,1.676,307.03342,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",33699085.94,36757148.75,43242274.76,51230393.17,54837584.43,25.6595791573804,25.1678889106313,0.491690246749062,0.029602954479336,0.21504355399144,"up",1.3883868341663
"D-Sedoheptulose 7-phosphate","Com_1008_neg","D-Sedoheptulose 7-phosphate","C7 H15 O10 P",290.0405,1.217,289.03323,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",1791314.281,1916123.246,2189088.179,3297755.506,4178784.377,21.8238524494885,20.9014148707603,0.922437578728143,0.0677858424968317,0.244399716968852,"stable",1.47820740625956
"Taurochenodeoxycholic acid","Com_1086_neg","Taurochenodeoxycholic acid","C26 H45 N O6 S",499.29739,7.289,498.29012,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Taurinated bile acids and derivatives",21890675.85,22245599.19,22993852.71,19917539.53,15315404.62,24.0580081244282,24.4151915544252,-0.357183429997022,0.30761031015113,0.327610073973043,"stable",1.27143109185741
"Uridine 5'-diphosphoglucuronic acid","Com_1164_neg","Uridine 5'-diphosphoglucuronic acid","C15 H22 N2 O18 P2",580.03517,4.319,579.02789,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",160532664.5,136596552.1,128072396.8,112665865.7,98404966.2400001,26.6498515195611,27.0720072647056,-0.422155745144511,0.0640995661449694,0.242367331402542,"stable",1.33274503827476
"Deoxycholic acid","Com_1566_neg","Deoxycholic acid","C24 H40 O4",392.29282,8.265,391.28555,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives",4498635.06,6426190.13699999,5408359.92200001,4909934.454,4311145.266,22.1334560397082,22.3611159591453,-0.227659919437123,0.286582505870882,0.323541361376029,"stable",0.839206768100753
"3-Hydroxydecanoic acid","Com_2064_neg","3-Hydroxydecanoic acid","C10 H20 O3",188.14134,7.101,187.13406,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",15983076.98,13600526.14,14702540.48,13822118.95,13448738.68,23.7007215005015,23.8122543647052,-0.111532864203685,0.235073971781596,0.31337194405261,"stable",0.915043766490135
"DL-Malic acid","Com_2348_neg","DL-Malic acid","C4 H6 O5",134.02145,2.397,133.01418,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",71201182.4,72069466.5299999,67704465.6900001,52630754.23,54744330.23,25.6778044766238,26.0670101178192,-0.389205641195321,0.0039046474023365,0.166592669500433,"down",1.52436761049791
"Valeric acid","Com_2501_neg","Valeric acid","C5 H10 O2",102.06808,0.36,101.06081,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Straight chain fatty acids",6397981.41700001,5914875.415,6210085.951,5600786.544,5710143.43,22.4311467843048,22.5570945092635,-0.125947724958639,0.0485268045766532,0.231030050081646,"stable",1.32725225908437
"D-(-)-Quinic acid","Com_3047_neg","D-(-)-Quinic acid","C7 H12 O6",192.0634,4.992,191.05617,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Quinic acids and derivatives",940996.253099999,945283.4022,1112771.417,901299.428799999,1211530.039,19.9950228479719,19.9266475627325,0.0683752852393198,0.805275707470207,0.51606248159355,"stable",0.316403146645012
"3-Coumaric acid","Com_3096_neg","3-Coumaric acid","C9 H8 O3",164.04735,6.588,163.04007,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",8457920.61299999,9017236.25599999,9076242.529,8546734.97800001,6763502.332,22.8581405169729,23.076596402914,-0.218455885941061,0.413200126526045,0.367786949890652,"stable",1.06822548516584
"Oleoyl-L-α-lysophosphatidic acid","Com_3344_neg","Oleoyl-L-α-lysophosphatidic acid","C21 H41 O7 P",436.25896,10.27,435.25169,"Full match","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1-acylglycerol-3-phosphates",8945813.795,6644048.70800001,4901186.156,4347159.13299999,6115672.53200001,22.2978606027325,22.6603706770307,-0.362510074298136,0.385636875588262,0.3577542878907,"stable",0.760145388068355
"Rutin","Com_3410_neg","Rutin","C27 H30 O16",610.15474,5.536,609.14747,"Full match","Full match","No results","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid-3-O-glycosides",2739296.984,166952.8334,162899.3492,152096.3501,101991.7112,16.9263591958279,18.6826922074213,-1.75633301159337,0.322588048959082,0.332125962524559,"stable",0.774550752690036
"Xanthosine","Com_3481_neg","Xanthosine","C10 H12 N4 O6",284.07579,4.769,283.06852,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",4485924.061,4713523.056,4695464.771,7327769.298,5331315.946,22.5755014520517,22.14272821947,0.43277323258171,0.307897333469163,0.327671401266257,"stable",1.27307992234532
"δ-Ribono-1,4-lactone","Com_3978_neg","δ-Ribono-1,4-lactone","C5 H8 O5",148.03711,2.492,147.02983,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",16031885.09,15765660.65,16183116.77,22905680.81,21836606.25,24.4147237142384,23.9309030603357,0.483820653902704,0.0291851208928187,0.214791115214765,"up",1.54157280986377
"2-Hydroxyphenylalanine","Com_4366_neg","2-Hydroxyphenylalanine","C9 H11 N O3",181.07394,4.784,180.06667,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",4682373.144,4738832.209,5011644.449,5006257.774,5002416.614,22.2547474651554,22.1972537542846,0.0574937108707552,0.197354660473364,0.303236684961587,"stable",1.00454099470323
"Folic acid","Com_4452_neg","Folic acid","C19 H19 N7 O6",441.14033,5.17,440.13306,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",5619263.61699999,5214820.44600001,5609322.237,5017501.337,4235633.249,22.1363419553468,22.3851769446888,-0.248834989342001,0.271505240457221,0.320902125113782,"stable",1.26407215757473
"N-Acetyl-DL-tryptophan","Com_4625_neg","N-Acetyl-DL-tryptophan","C13 H14 N2 O3",246.10048,5.659,245.0932,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",678252.346600001,718289.6957,937263.286999999,682728.271999999,844992.1907,19.5347652263651,19.5545879164711,-0.0198226901060856,0.931904954252096,0.552386577460719,"stable",0.0812128260710443
"Guanosine","Com_4628_neg","Guanosine","C10 H13 N5 O5",283.09172,3.567,282.08444,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",1648652.27,1782520.492,1664087.015,11715871.22,5567919.87399999,22.9453339619837,20.6948807949496,2.25045316703413,0.147674271783599,0.284117129875342,"stable",1.48062541073475
"Pantothenic acid","Com_6_neg","Pantothenic acid","C9 H17 N O5",219.11048,5.065,218.10319,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols",4582331751,4931849467.99999,5691303595,4589331140.99999,4409441682,32.0667928052766,32.2330094594805,-0.166216654203907,0.206397489551898,0.305938462113878,"stable",0.965876264201862
"L-Glutamic acid","Com_12_neg","L-Glutamic acid","C5 H9 N O4",147.05307,1.354,146.04579,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",6221536563.99999,6954102980.99998,7386594091,6617338600.99999,6677939234,32.6301798879836,32.6707010760752,-0.0405211880915459,0.633091715300546,0.456039459488275,"stable",0.375250763378548
"L-Aspartic acid","Com_46_neg","L-Aspartic acid","C4 H7 N O4",133.03746,1.353,132.03018,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",1178082530,1366710634,1392818350,772850058.699999,946435970.199999,29.6717714833585,30.2857380362763,-0.613966552917795,0.0938080058566445,0.260406741980686,"stable",1.43192402277034
"Phenylacetylglycine","Com_50_neg","Phenylacetylglycine","C10 H11 N O3",193.074,5.533,192.06672,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",119524968.8,122737381.6,152448252.9,140755373.1,154394491.5,27.1353303974705,26.9624935448445,0.172836852625984,0.276466615117848,0.321797526138065,"stable",0.851084048115328
"N-Acetyl-1-aspartylglutamic acid","Com_51_neg","N-Acetyl-1-aspartylglutamic acid","C11 H16 N2 O8",304.09064,2.484,303.08336,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",59055208.1600001,70928942.6499999,79151060.7,83401392.49,85468763.64,26.3312310264577,26.0445124721209,0.286718554336836,0.14292718959235,0.282628668472106,"stable",1.1156877322756
"Citric acid","Com_18_neg","Citric acid","C6 H8 O7",192.02695,2.074,191.01968,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",6904895569.00002,6540255762,7042666709.99998,5750602532,6597258148.00002,32.5201426957854,32.6683823404163,-0.148239644630927,0.358503425306763,0.347014176092197,"stable",1.10261439878006
"Azelaic acid","Com_32_neg","Azelaic acid","C9 H16 O4",188.10483,5.934,187.09755,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",646655358.599999,631771724.400001,639990023.6,595898693.100001,614559918.9,29.172735140096,29.2522413603062,-0.0795062202102343,0.129740423188764,0.278023320250627,"stable",1.41199869923819
"Asparagine","Com_171_neg","Asparagine","C4 H8 N2 O3",132.05346,1.325,131.04618,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Asparagine and derivatives",162800146.3,177559319.9,181700668.7,166788430,206271046.7,27.4667050313859,27.3730803634271,0.0936246679587889,0.650336013321413,0.46271347574047,"stable",0.594704230058384
"N-Acetyl-DL-glutamic acid","Com_76_neg","N-Acetyl-DL-glutamic acid","C7 H11 N O5",189.06364,2.288,188.05636,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",300125723.1,312890677.3,350877036.1,657418182.8,647095383.8,29.2808196312684,28.2561551519306,1.02466447933778,0.00350869705732522,0.166592669500433,"up",1.5334259195371
