"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_2w_2","MOLM13_2w_3","MOLM13_6w_1","MOLM13_6w_2","MOLM13_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N3,N4-Dimethyl-L-arginine","Com_494_pos","N3,N4-Dimethyl-L-arginine","C8 H18 N4 O2",202.14326,1.468,203.15054,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Arginine and derivatives",53026852.15,48985336.66,56290351.71,65822286.36,68628564.84,109290854.9,56358382.31,80056998.4100001,26.1421254308876,25.6508169061195,0.491308524768105,0.0361007765008212,0.113051676309047,"up",1.34565834049833
"Urocanic acid","Com_502_pos","Urocanic acid","C6 H6 N2 O2",138.04309,1.895,139.05037,"Full match","Full match","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazolyl carboxylic acids and derivatives",93090098.7400001,71812973.6400001,81690598.3899999,52667655.19,113824042.7,87247726.59,148503154.2,225148444.8,26.7366955577035,26.2845107581701,0.452184799533345,0.278697984834127,0.309728716164378,"stable",0.720084685147303
"Pipecolic acid","Com_553_pos","Pipecolic acid","C6 H11 N O2",129.07923,1.189,147.11306,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",31249617.17,29891855.87,25573637.71,29487738.74,30086157.59,33731601.32,30985494.57,30780790.37,24.8848844924993,24.7795794567648,0.105305035734442,0.354685317383646,0.347580438310693,"stable",0.965638328877691
"Spermine","Com_555_pos","Spermine","C10 H26 N4",202.21608,1.186,203.22336,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Amines","Dialkylamines",11531139.74,12693491.13,39967496.42,16599386.23,30589654.39,32097275.2,20888137.73,46179014.79,24.7128058250658,24.1029804087101,0.609825416355644,0.409076201307133,0.369607656930423,"stable",0.832941257901186
"1-Methylhistidine","Com_606_pos","1-Methylhistidine","C7 H11 N3 O2",169.08544,1.325,170.09269,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",16732853.14,17868687.74,22635728.31,23876146.7,23993620.15,61518303.94,17204652.79,34911065.89,24.7986406205591,24.1730696230702,0.625570997488961,0.123189287544633,0.215342202901671,"stable",1.02090821849799
"Υ-Glutamylcysteine","Com_939_pos","Υ-Glutamylcysteine","C8 H14 N2 O5 S",250.06264,2.003,251.06991,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",5000315.325,11931351.81,7100699.589,11730226.67,14145169.84,2120314.551,1878600.745,1478788.412,21.9181183726519,22.8404571860841,-0.922338813432148,0.289887613666682,0.315927489648268,"stable",0.721874212973906
"Guanine","Com_977_pos","Guanine","C5 H5 N5 O",151.04965,1.686,152.05693,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Purines and purine derivatives",36342703.65,38409521.74,41295890.67,44415243.2,39009199.46,23919596.46,22945716.59,30296209.21,24.8875815611499,25.203205990021,-0.315624428871093,0.172500463856817,0.253176278455448,"stable",0.903658423672029
"Thiamine","Com_1455_pos","Thiamine","C12 H16 N4 O S",264.10483,1.4,265.11211,"Full match","Full match","No results","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Thiamines",9793277.01,8938986.59399999,8964326.206,10683357.64,8821805.86500001,15930737.91,15893882.07,5953705.714,23.3548277666932,23.1369346109297,0.217893155763459,0.466777632114739,0.389505768869419,"stable",0.478837289736038
"N6,N6,N6-Trimethyl-L-lysine","Com_1525_pos","N6,N6,N6-Trimethyl-L-lysine","C9 H20 N2 O2",188.15294,1.292,189.16022,"Full match","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",22452443.26,16995814.19,19219768.23,27323827.89,23515268,33351507.19,15248990.28,32857471.56,24.6027855697891,24.2117109514726,0.391074618316548,0.152624720474898,0.23947885471036,"stable",0.96614259965884
"DL-Dipalmitoylphosphatidylcholine","Com_1864_pos","DL-Dipalmitoylphosphatidylcholine","C40 H80 N O8 P",733.56401,11.003,734.56954,"Full match","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphatidylcholines",5347734.846,5049746.327,5243062.181,4652485.421,4608698.747,2831382.91,3285896.557,1643104.714,21.6028844603267,22.3134180716002,-0.710533611273505,0.0615394773199617,0.153418612039505,"stable",1.23492029626761
"S-Adenosylmethionine","Com_2017_pos","S-Adenosylmethionine","C15 H22 N6 O5 S",398.13773,1.563,399.145,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",45368550.6,45245655.29,46634450.83,45486256.21,40406961.68,66578389.89,24101383.78,69437499.84,25.4534805717506,25.4471193184527,0.00636125329784321,0.982837721345585,0.557907411820603,"stable",0.0140022809296563
"1-Methyladenosine","Com_3061_pos","1-Methyladenosine","C11 H15 N5 O4",281.11273,1.986,282.12,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",5352204.395,7117813.336,6507816.063,11393504.01,10249217.26,11825312.38,5842777.553,11711720.21,23.2371532241468,22.5828154980096,0.654337726137225,0.0289018065263943,0.0994970238799028,"up",1.39810678015487
"Nicotinamide adenine dinucleotide phosphate (NADP+)","Com_3491_pos","Nicotinamide adenine dinucleotide phosphate (NADP+)","C21 H28 N7 O17 P3",743.07597,1.499,372.54536,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",7423628.60299999,8158887.203,9402995.99799999,2586377.76,1737450.94,2430752.759,5064102.611,3451011.317,21.4468954192673,22.9827743809348,-1.53587896166755,0.00258741287151526,0.0396360388465413,"down",1.73985807434193
"Sodium [dodecanoyl(methyl)amino]acetate","Com_3842_pos","Sodium [dodecanoyl(methyl)amino]acetate","C15 H29 N O3",271.21508,8.092,272.22238,"Full match","Full match","No results",NA,NA,NA,NA,1964519.277,1529445.252,984183.897899999,1165160.476,1978118.681,858333.7808,1561502.905,1237962.438,20.3186027959716,20.4529634385206,-0.134360642548931,0.724733453298061,0.482016160981812,"stable",0.314089004816555
"Cysteinylglycine","Com_4492_pos","Cysteinylglycine","C5 H10 N2 O3 S",178.04202,2.423,179.04929,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",4946822.147,5240189.977,5189153.28100001,7323676.262,6921049.61799999,13199010.8,5771426.683,5412349.866,22.8017885428484,22.2887753356815,0.513013207166903,0.0871111431657141,0.182221349260099,"stable",1.13249735254702
"Androstenedione","Com_4817_pos","Androstenedione","C19 H26 O2",286.19349,6.713,287.20075,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives",6861734.168,5555403.728,5961960.90499999,5476737.909,9815168.019,5729249.17500001,9629350.82099999,5488479.696,22.7296727711595,22.5409858728787,0.188686898280835,0.421715941072823,0.374243122636647,"stable",0.545143483349951
"2-Isopropylaniline","Com_7824_pos","2-Isopropylaniline","C9 H13 N",135.10508,5.058,136.11235,"Full match","Full match","No results",NA,NA,NA,NA,1574607.32,1547868.569,1655770.776,2030991.566,2032036.786,2015867.262,1491906.724,1466993.469,20.7688748095079,20.6024945783038,0.166380231204148,0.213509485783168,0.276501920606691,"stable",0.824503770353471
"L-Phenylalanine","Com_3_pos","L-Phenylalanine","C9 H11 N O2",165.07919,4.983,166.08646,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",2504038428,2566270836,2971897400,4118808654,3947866715,7374195357.00002,4916521520,5841907071.00001,32.2473255323536,31.3157910034873,0.931534528866234,0.00309927969819351,0.0404844748682556,"up",1.71035569874775
"Creatine","Com_7_pos","Creatine","C4 H9 N3 O2",131.06968,1.436,132.07696,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",6758201111.00001,6840892263,7284682751,6571886305.00001,6749958626.99999,5875393111.00001,4317244703.00001,6109545320.00001,32.4467623436302,32.695916166078,-0.249153822447788,0.0974726499514943,0.191414524234214,"stable",1.09102016213787
"DL-Tryptophan","Com_15_pos","DL-Tryptophan","C11 H12 N2 O2",204.09018,5.263,205.09749,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",771191567.900001,781208426.2,906010781.4,1135006642,1222707232,2097129286,1296328805,1756336496,30.4429921578204,29.6061997611143,0.836792396706176,0.00537670753288301,0.0480638152855493,"up",1.65272418173705
"L-Tyrosine","Com_19_pos","L-Tyrosine","C9 H11 N O3",181.07421,2.663,182.08149,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Tyrosine and derivatives",1542596188,1580028587,1856000612,2424678714,2524486031,4940213813.00001,2677726932,3884272678,31.5567548737486,30.6231889533081,0.933565920440561,0.00724322439869316,0.0517694190174986,"up",1.61841193014246
"L-Glutathione (reduced)","Com_27_pos","L-Glutathione (reduced)","C10 H17 N3 O6 S",307.08408,1.933,308.09136,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",255913071.8,795785013.499999,201502639.1,308532408.2,351821601.1,27154600.22,22706460.26,23143177.75,26.0372984056184,28.3617018606724,-2.32440345505395,0.080774381173543,0.175983759026002,"stable",1.17175464921456
"5'-S-Methyl-5'-thioadenosine","Com_29_pos","5'-S-Methyl-5'-thioadenosine","C11 H15 N5 O3 S",297.09004,5.208,298.09731,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",1521157403,1299404221,1959007309,1559062856,1863966165,2350957920,1394802965,1771568678,30.7128312966615,30.5484003612767,0.164430935384789,0.484439427897202,0.395002233911189,"stable",0.604255087257919
"Adenosine","Com_44_pos","Adenosine","C10 H13 N5 O4",267.09706,3.245,268.10433,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",2240881352,1993925778,2683873895,2389841391,2690403531,2782393937,1783702679,2570852437,31.1689900748161,31.0920178068632,0.0769722679529323,0.669141970494964,0.462129147917301,"stable",0.346109277360982
"2-Hydroxycinnamic acid","Com_54_pos","2-Hydroxycinnamic acid","C9 H8 O3",164.04766,2.656,182.0815,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",1542596188,1580028587,1856000612,2424678714,2524486031,4940213813.00001,2677726932,3884272678,31.5567548737486,30.6231889533081,0.933565920440561,0.00724322439869316,0.0517694190174986,"up",1.61841193014246
"DL-Arginine","Com_58_pos","DL-Arginine","C6 H14 N4 O2",174.11212,1.319,175.1194,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Arginine and derivatives",988454608.399999,801609221.700001,908886911,1229193500,1182784543,2461028091,1023951508,1598543044,30.4073659439462,29.7394829653607,0.667882978585517,0.0377959971046674,0.11599313835476,"up",1.33328912965706
"L-Pyroglutamic acid","Com_61_pos","L-Pyroglutamic acid","C5 H7 N O3",129.04287,1.351,130.05015,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",1090524262,1116067218,1113051466,1016699799,1003169736,1465962765,1370674119,1097985805,30.1313634456346,30.043341550557,0.0880218950775706,0.481440677059816,0.39408678476021,"stable",0.461868732846647
"Methionine","Com_70_pos","Methionine","C5 H11 N O2 S",149.05133,2.065,150.05861,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Methionine and derivatives",4994084.81,6929081.299,5664422.359,26091264.8,53483367.59,259981903.8,21662653.42,42655704.28,25.5956856926993,22.4698396515682,3.12584604113102,0.00686097506042407,0.0511366885737064,"up",1.66096556130812
"Hypoxanthine","Com_84_pos","Hypoxanthine","C5 H4 N4 O",136.03879,2.044,137.04607,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Hypoxanthines",33377966.38,37195624.67,35633169.37,36687935.63,37797995.2,31185318.98,27075868.48,38383182.44,25.0158895459066,25.0759132621506,-0.0600237162439399,0.598549326871009,0.434562154010263,"stable",0.359442369732205
"cis-4-Hydroxy-D-proline","Com_87_pos","cis-4-Hydroxy-D-proline","C5 H9 N O3",131.05856,1.336,132.06582,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",483941073,474825118.5,503700024,471727747.2,518709111.199999,1268889273,471727016.8,719586905.2,29.2481238816215,28.8603555740161,0.387768307605381,0.228006853847105,0.283487404300815,"stable",0.797419281456704
"Glycyl-L-leucine","Com_101_pos","Glycyl-L-leucine","C8 H16 N2 O3",188.11634,5.094,189.12362,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",142966471.3,201796392.2,107082957.8,140631074.5,135509939.8,128278414.8,101648066,10857049.27,26.197400610239,27.1178601322669,-0.920459522027947,0.279222149388163,0.310024548876886,"stable",0.723109575787233
"Methionine sulfoxide","Com_150_pos","Methionine sulfoxide","C5 H11 N O3 S",165.04623,2.054,148.04292,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",163453545.2,131713830.4,178654847.9,294302848.5,410471429.9,747165257.8,167305164.7,348183630.4,28.3830929686567,27.2232456166929,1.15984735196371,0.0266565716878568,0.095881020598453,"up",1.40853111678596
"Adenine","Com_158_pos","Adenine","C5 H5 N5",135.05475,3.24,136.06203,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-aminopurines",719108972.9,651169386.7,860543180.599999,769742859.100001,822617361.5,887956795.8,608796009,816597577.499999,29.5295591132504,29.4602550503049,0.0693040629454806,0.665941758802134,0.4609377338293,"stable",0.368088834912481
"S-Adenosylhomocysteine","Com_161_pos","S-Adenosylhomocysteine","C14 H20 N6 O5 S",384.12209,2.514,193.06837,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",190999936.9,229410797.6,190636564.6,189613106.1,302314595.3,180122804.5,148236893,71419770.36,27.2655027817293,27.5962015310872,-0.330698749357879,0.392812458276157,0.363389959226918,"stable",0.566382043240987
"Panthenol","Com_197_pos","Panthenol","C9 H19 N O4",205.13172,5.089,206.13898,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines",146063481.8,127332421.8,246084630.1,89498234.1400001,208494133,117643020.9,239357034.1,281988624.1,27.3532557215774,27.3068747222,0.0463809993774618,0.917632296498282,0.540914913793979,"stable",0.0800829581129574
"L-Histidine","Com_244_pos","L-Histidine","C6 H9 N3 O2",155.06984,1.326,156.07711,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",71709738.9699999,71600250.9999999,75747327.34,62389368.98,77761036.17,231553563.7,95358556.5500001,127430517.5,26.6652212701695,26.1212728964224,0.543948373747057,0.172551231381345,0.253208998981728,"stable",0.903949156335784
"Glycerophospho-N-palmitoyl ethanolamine","Com_263_pos","Glycerophospho-N-palmitoyl ethanolamine","C21 H44 N O7 P",453.28606,9.458,454.2933,"Full match","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","Glycero-3-phospho-N-acyl-ethanolamines",48191095.31,44987360.7900001,30668436.72,23899587.34,27255854.98,25272500.01,13598916.92,55078274.03,24.6427157391429,25.2718436487782,-0.629127909635343,0.149550798018058,0.237189660220458,"stable",0.984092366317506
"N-Acetylornithine","Com_290_pos","N-Acetylornithine","C7 H14 N2 O3",174.10071,3.2,175.10798,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",29270774.8,42213029.63,23725065.84,25637423.39,26729095.28,19591509.03,21302620.43,2653144.603,23.8382360496719,24.8780171311086,-1.03978108143666,0.183685292497813,0.260133312710637,"stable",0.884967556702901
"5-Hydroxyindole-3-acetic acid","Com_677_pos","5-Hydroxyindole-3-acetic acid","C10 H9 N O3",191.05855,4.839,209.09239,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indole-3-acetic acid derivatives",24815190.93,24570629.77,30227705.9,36985004.94,38812841.72,88605967.17,37084396.86,58525715.89,25.539648939407,24.6548399582388,0.884808981168266,0.0206109309316378,0.086227064157379,"up",1.45650125284172
"Thymine","Com_743_pos","Thymine","C5 H6 N2 O2",126.04309,4.883,127.05037,"Full match","Full match","Full match","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Hydroxypyrimidines",27368446.19,26420728.93,27610479.38,25325581.69,25772006.37,22362453.8,31851338.95,25601105.9,24.6325044476704,24.693296576368,-0.0607921286975994,0.507808961667992,0.401900064384885,"stable",0.437620204357639
"Inosine-5'-monophosphate (IMP)","Com_942_pos","Inosine-5'-monophosphate (IMP)","C10 H13 N4 O8 P",348.04796,1.634,349.05531,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",39534356.82,47145822.99,30341290.17,39534428.05,32503622.67,30528415.11,17435323.65,32703222.2,24.8145584047676,25.1940031122114,-0.379444707443731,0.216106598225398,0.277795728337624,"stable",0.919700935962475
"Argininosuccinic acid","Com_991_pos","Argininosuccinic acid","C10 H18 N4 O6",290.12292,1.348,291.13019,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",37464857.67,37657260.11,36054470.07,24628048.34,20589106.45,93181297.3099999,27190041.96,49918579.75,25.1184725056735,25.1430447119732,-0.0245722062996627,0.954128564745619,0.550583385904484,"stable",0.037444108097181
"Pyridoxal 5'-phosphate","Com_1358_pos","Pyridoxal 5'-phosphate","C8 H10 N O6 P",247.02489,2.44,248.03217,"Full match","Full match","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridine carboxaldehydes","Pyridoxals and derivatives",19089225.99,19650121.62,28629396.93,40257737.26,38806668.21,44039011.22,54842420.4099999,45823419.69,25.4046426860667,24.3950947073732,1.00954797869349,0.0181469982052626,0.0813249598191442,"up",1.82978463307281
"α-Aspartylphenylalanine","Com_1596_pos","α-Aspartylphenylalanine","C13 H16 N2 O5",280.10637,5.357,281.11365,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",10164215.62,11237705.97,12295168.07,13296637.17,13714235.5,17522703.87,14335240.29,16781997.23,23.8419849726716,23.4168092975949,0.425175675076712,0.0113693651984695,0.063361983109543,"up",1.63719749497605
