"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","OCI_M2_WT_1","OCI_M2_WT_2","OCI_M2_WT_3","OCI_M2_6w_1","OCI_M2_6w_2","OCI_M2_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"2'-Deoxyuridine-5-monophosphate","Com_1003_neg","2'-Deoxyuridine-5-monophosphate","C9 H13 N2 O8 P",308.04069,1.676,307.03342,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",12589408.89,14351756.9,12626394.83,15991622,18374799.29,15001638.43,23.966884945264,23.6501235556611,0.31676138960297,0.011457480087857,0.309065245834167,"up",1.44819095038596
"D-Sedoheptulose 7-phosphate","Com_1008_neg","D-Sedoheptulose 7-phosphate","C7 H15 O10 P",290.0405,1.217,289.03323,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",3150844.481,2054115.735,2286683.124,1977731.786,2141611.618,3384718.809,21.2120951161731,21.2274060614129,-0.0153109452398574,0.969879296401481,0.709030517628505,"stable",0.0438619081670509
"Taurochenodeoxycholic acid","Com_1086_neg","Taurochenodeoxycholic acid","C26 H45 N O6 S",499.29739,7.289,498.29012,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Taurinated bile acids and derivatives",15216159.36,18591778.77,13892923.21,17251460.57,17954799.39,17318873.69,24.0613077155075,23.9117030830122,0.149604632495276,0.298521259034715,0.445283298143139,"stable",0.893502763420718
"Uridine 5'-diphosphoglucuronic acid","Com_1164_neg","Uridine 5'-diphosphoglucuronic acid","C15 H22 N2 O18 P2",580.03517,4.319,579.02789,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",179665340.7,174732093.7,202299139.5,185935230.5,158981527.8,180023541.1,27.3793730513777,27.46440706776,-0.0850340163822274,0.337000646064238,0.460062978145007,"stable",0.715641817195689
"Deoxycholic acid","Com_1566_neg","Deoxycholic acid","C24 H40 O4",392.29282,8.265,391.28555,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives",3951172.754,17260885.13,19976563.92,5141579.906,3655222.555,3718834.036,21.9739090206916,23.4022192410975,-1.42831022040584,0.255512468376816,0.42514899410405,"stable",1.19203376037247
"3-Hydroxydecanoic acid","Com_2064_neg","3-Hydroxydecanoic acid","C10 H20 O3",188.14134,7.101,187.13406,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",16148796.73,14140657.19,16188292.49,15189779.52,10717348.53,12638538.46,23.6004561956748,23.8822388855016,-0.281782689826777,0.101797677403849,0.3293897157644,"stable",1.15751374231877
"DL-Malic acid","Com_2348_neg","DL-Malic acid","C4 H6 O5",134.02145,2.397,133.01418,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",42587002.42,44271036.07,33297245.72,38057177.55,39673674.31,41477075.8,25.2430515882968,25.244223053779,-0.00117146548221925,0.994791812649926,0.714234956790831,"stable",0.00765239293450047
"Valeric acid","Com_2501_neg","Valeric acid","C5 H10 O2",102.06808,0.36,101.06081,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Straight chain fatty acids",5275226.73,5919108.73499999,5277855.25,5450469.18399999,4211832.502,4510939.338,22.1629873604561,22.386423517971,-0.223436157514939,0.286926143609833,0.440277403732982,"stable",1.16716663224568
"D-(-)-Quinic acid","Com_3047_neg","D-(-)-Quinic acid","C7 H12 O6",192.0634,4.992,191.05617,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Quinic acids and derivatives",1855963.969,1423912.134,1909753.63,2907867.633,1478122.386,1092357.881,20.6752928756515,20.7100403561568,-0.0347474805052599,0.941874072689606,0.702948923738131,"stable",0.0690443399120282
"3-Coumaric acid","Com_3096_neg","3-Coumaric acid","C9 H8 O3",164.04735,6.588,163.04007,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",9214292.42400001,6953434.467,8933541.17699999,8034942.13700001,6587113.761,7109146.12599999,22.7834386992502,22.9851789958488,-0.201740296598626,0.108841820377617,0.333556858140018,"stable",0.959210535164384
"Oleoyl-L-α-lysophosphatidic acid","Com_3344_neg","Oleoyl-L-α-lysophosphatidic acid","C21 H41 O7 P",436.25896,10.27,435.25169,"Full match","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1-acylglycerol-3-phosphates",3265463.41,2572740.627,2621456.299,2654651.248,3787783.976,3086734.804,21.5835545473807,21.4185559880646,0.164998559316029,0.576898495886627,0.591742841698925,"stable",0.710314052692441
"Rutin","Com_3410_neg","Rutin","C27 H30 O16",610.15474,5.536,609.14747,"Full match","Full match","No results","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid-3-O-glycosides",155472.2726,419762.5951,251929.5628,164922.9727,117779.9693,187387.4315,17.2309440627156,17.9560575906802,-0.725113527964623,0.333534282727055,0.458835069796741,"stable",1.08111177684018
"Xanthosine","Com_3481_neg","Xanthosine","C10 H12 N4 O6",284.07579,4.769,283.06852,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",3494019.279,4495500.994,4221328.433,3868632.493,3933193.604,4292547.426,21.941354889311,21.9485907533987,-0.00723586408771126,0.948549754986532,0.704421572992374,"stable",0.0531428229526128
"δ-Ribono-1,4-lactone","Com_3978_neg","δ-Ribono-1,4-lactone","C5 H8 O5",148.03711,2.492,147.02983,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",16116544.29,14247599.38,13181670.51,19855500.26,22202982.38,24446958.98,24.3968123985974,23.786094832363,0.610717566234424,0.0702275752787083,0.310797487158211,"stable",1.62238547423787
"2-Hydroxyphenylalanine","Com_4366_neg","2-Hydroxyphenylalanine","C9 H11 N O3",181.07394,4.784,180.06667,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",9873727.18699999,10970777.68,9802478.57500001,9523243.49799999,7427212.76299999,9070177.761,23.0400368205446,23.2823469889989,-0.242310168454367,0.271589016412868,0.433196924566731,"stable",1.23161026626079
"Folic acid","Com_4452_neg","Folic acid","C19 H19 N7 O6",441.14033,5.17,440.13306,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",2076169.374,2755877.338,1496768.892,1876387.588,1574032.011,2577550.464,20.9077097084208,20.9643310025533,-0.0566212941324196,0.913624396468982,0.69655113462157,"stable",0.14972073936023
"N-Acetyl-DL-tryptophan","Com_4625_neg","N-Acetyl-DL-tryptophan","C13 H14 N2 O3",246.10048,5.659,245.0932,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",1715955.333,1927314.132,2420098.625,1430450.04,1005636.69,1185108.843,20.1881011919851,20.9317917614754,-0.743690569490294,0.0915895624922426,0.323264601688636,"stable",1.52505732338231
"Guanosine","Com_4628_neg","Guanosine","C10 H13 N5 O5",283.09172,3.567,282.08444,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",2996968.249,2723667.613,3301683.489,2321204.117,1685790.059,1414315.348,20.7543692710258,21.5156539950256,-0.761284723999793,0.0924419561498373,0.323678481594738,"stable",1.50396320205893
"Pantothenic acid","Com_6_neg","Pantothenic acid","C9 H17 N O5",219.11048,5.065,218.10319,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols",4160955673,5090568193.00001,4535412812,6705068321,6102053555.99999,7660923850,32.661374605797,32.0926780153382,0.568696590458799,0.0668071538312846,0.31014268658651,"stable",1.59314249765698
"L-Glutamic acid","Com_12_neg","L-Glutamic acid","C5 H9 N O4",147.05307,1.354,146.04579,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",8192852462.00001,6736320594.00001,7522009920.00001,7048506062.00001,6306982898.00001,5999246112,32.5837024366623,32.7965011354474,-0.212798698785129,0.0860436569399058,0.320400841232169,"stable",1.23176173683597
"L-Aspartic acid","Com_46_neg","L-Aspartic acid","C4 H7 N O4",133.03746,1.353,132.03018,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",2075113141,1322493383,1513793687,1389788001,1185431397,902139496.800001,30.0879193347626,30.5822258866508,-0.49430655188818,0.105931230716828,0.331889654346833,"stable",1.19031259704747
"Phenylacetylglycine","Com_50_neg","Phenylacetylglycine","C10 H11 N O3",193.074,5.533,192.06672,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",237172739.2,250681465.8,186209749,217200616.5,202572647.7,270388071.5,27.7662577900161,27.7316654711662,0.0345923188498425,0.905284618593494,0.694609374844222,"stable",0.165179933042087
"N-Acetyl-1-aspartylglutamic acid","Com_51_neg","N-Acetyl-1-aspartylglutamic acid","C11 H16 N2 O8",304.09064,2.484,303.08336,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",1014424215,1013843209,1023443943,1394264841,1592473431,1546810713,30.490709717868,29.9219954305316,0.568714287336405,0.0099751067291524,0.309065245834167,"up",1.70953121955929
"Citric acid","Com_18_neg","Citric acid","C6 H8 O7",192.02695,2.074,191.01968,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",1549393234,1280845013,1806769536,2267785168,2666736560,3336990677,31.3423218356362,30.5114234384157,0.830898397220551,0.0307816433694649,0.309065245834167,"up",1.54821703109696
"Azelaic acid","Com_32_neg","Azelaic acid","C9 H16 O4",188.10483,5.934,187.09755,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",590594627.899999,764697093,752055012.7,647891960.600001,465512497.400001,564812664.7,29.0462066238052,29.3780563664316,-0.331849742626456,0.313604806737269,0.451391658539726,"stable",1.17077062074942
