"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N-Acetyl-α-D-glucosamine 1-phosphate","Com_77_neg","N-Acetyl-α-D-glucosamine 1-phosphate","C8 H16 N O9 P",301.0574,1.569,300.04879,"Full match","Full match","Full match",NA,NA,NA,NA,123029321.7,114100758.6,73283714.2199999,104649667.3,67891554.67,37453946.37,25.9387785575232,26.5890497954527,-0.650271237929484,0.0962784942049125,0.383654334992499,"stable",1.18827081383203
"D-(-)-Mannitol","Com_101_neg","D-(-)-Mannitol","C6 H14 O6",182.07898,1.332,181.07184,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar alcohols",24854278.72,34442551.79,15654452.27,13490727.05,42397141.87,52499895.01,24.8895798808335,24.5015830979167,0.387996782916737,0.660338049401162,0.524434937430177,"stable",0.578966239762762
"Uridine 5'-diphosphogalactose","Com_126_neg","Uridine 5'-diphosphogalactose","C15 H24 N2 O17 P2",566.05541,1.753,565.04813,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",3495828722,3416392014,2348745991,2750622295,2335142741,1361471386,30.9401646707131,31.5006857631453,-0.560521092432182,0.0479681017969234,0.332553628939157,"down",1.32152782406933
"Suberic acid","Com_136_neg","Suberic acid","C8 H14 O4",174.08918,5.922,173.0819,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",12632156.07,13412295.35,8856354.289,16551655.33,12316415.73,9808503.484,23.5867176375113,23.4486439644437,0.138073673067527,0.449650764409111,0.480185875319542,"stable",0.500981803502678
"Υ-Aminobutyric acid (GABA)","Com_170_neg","Υ-Aminobutyric acid (GABA)","C4 H9 N O2",103.06328,1.355,102.05606,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Gamma amino acids and derivatives",376520132,345707909.9,259183072.6,314626715.3,384778679.7,182474688.1,28.0638802239232,28.2675087981419,-0.203628574218687,0.401525932415814,0.47418107527463,"stable",0.583272612535288
"Threonine","Com_177_neg","Threonine","C4 H9 N O3",119.05827,1.314,118.051,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","D-alpha-amino acids",135027817.5,108253733.2,74653369.3699999,228494710.9,93053974.4799999,80782118.17,26.8355608682546,26.617408996073,0.218151872181561,0.526404419035435,0.49425929907306,"stable",0.431094915687916
"N-Acetylalanine","Com_183_neg","N-Acetylalanine","C5 H9 N O3",131.05817,2.71,130.0509,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-L-alpha-amino acids",384558144.5,398381540.6,269340458.2,211961957.3,347323424.8,187742275.8,27.8383709665195,28.3643525938422,-0.525981627322754,0.110428820832243,0.395395954047918,"stable",1.34759996932815
"D(+)-Phenyllactic acid","Com_205_neg","D(+)-Phenyllactic acid","C9 H10 O3",166.06292,5.735,165.05564,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",202767556.6,206382093.3,14465170.68,195750169.6,227299324.9,84883292.7399999,27.2144779201952,26.334024721709,0.880453198486162,0.403648300197009,0.474369609803413,"stable",0.66589060745543
"D-(-)-Ribose","Com_265_neg","D-(-)-Ribose","C5 H10 O5",150.05271,1.447,149.04542,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",24222862.67,28056533.95,20994492.58,30638120.57,33153063.82,12563818.5,24.4780783341899,24.5317356927286,-0.05365735853864,0.890591577471502,0.595164616257073,"stable",0.123643753814447
"α-D-Glucose-1,6-bisphosphate","Com_269_neg","α-D-Glucose-1,6-bisphosphate","C6 H14 O12 P2",339.99609,1.184,338.9888,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",47981596.99,57884117.28,32416848.03,38222399.36,32633808.58,28658361.41,24.973410609913,25.4176275112365,-0.444216901323497,0.151796496146138,0.421735948826116,"stable",1.35080681966593
"4-Nitrophenol","Com_309_neg","4-Nitrophenol","C6 H5 N O3",139.0269,0.412,138.01962,"Full match","Full match","Full match","Benzenoids","Phenols","Nitrophenols","Nitrophenols",6862516.20600001,6461156.343,5882411.6,7484425.621,6753355.981,2980520.997,22.3432554848791,22.6072144929844,-0.263959008105292,0.538588878488002,0.49637066811869,"stable",0.636095414093465
"(2R)-2,3-Dihydroxypropanoic acid","Com_322_neg","(2R)-2,3-Dihydroxypropanoic acid","C3 H6 O4",106.02659,1.439,105.01931,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",50189061.35,60579648.95,38018450.86,25430432,54097215.1999999,25773818.71,24.9695021993924,25.5377986409521,-0.568296441559752,0.137740177225064,0.414218929124237,"stable",1.22354083698639
"Ethylmalonic acid","Com_345_neg","Ethylmalonic acid","C5 H8 O4",132.04223,4.676,131.03495,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Branched fatty acids",160492669.7,165647486.3,120233104.9,68301639.31,158748405.8,59505514.44,26.3647012557719,27.1342440583231,-0.76954280255115,0.165731614780768,0.428137621775419,"stable",1.36571068994068
"Pimelic acid","Com_363_neg","Pimelic acid","C7 H12 O4",160.07359,5.496,159.06631,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",79508905.07,65756101.74,59103147.51,82309422.6300001,57702935.0699999,30420953.38,25.6450858868984,26.0106553936982,-0.365569506799837,0.352444266126845,0.469241588011847,"stable",0.825745775847505
"Guanosine monophosphate (GMP)","Com_367_neg","Guanosine monophosphate (GMP)","C10 H14 N5 O8 P",363.05809,1.845,362.05081,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",122515706.8,120098050.1,89463904.0000001,57263132.52,505458674.1,224913090.4,27.4763045169108,26.7076104479256,0.768694068985138,0.506266538661147,0.490590173862211,"stable",0.820667478426816
"Terephthalic acid","Com_368_neg","Terephthalic acid","C8 H6 O4",166.02661,5.566,165.01934,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",51245666.0599999,48392655.83,72922358.8600001,47763389.8499999,47393106.65,36442299.89,25.37556215609,25.7530231128497,-0.377460956759652,0.350333696022202,0.469000806346207,"stable",1.37866753353702
"Hippuric acid","Com_423_neg","Hippuric acid","C9 H9 N O3",179.0583,5.42,178.05102,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hippuric acids",49710526.49,53599152.56,37910675.48,22762054.15,46177740.07,27509458.73,24.8714153582779,25.4729519096005,-0.601536551322614,0.157749150314632,0.424585084556438,"stable",1.42016325736734
"N-Acetyl-D-alloisoleucine","Com_474_neg","N-Acetyl-D-alloisoleucine","C8 H15 N O3",173.10529,5.7,172.09801,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Isoleucine and derivatives",104172727.1,95942188.66,60134204.2,106028930.8,91621875.81,44397584.64,26.1710164493927,26.3305822958448,-0.159565846452125,0.37676768790285,0.471837412637164,"stable",0.366588480152839
"O-Phosphorylethanolamine","Com_486_neg","O-Phosphorylethanolamine","C2 H8 N O4 P",141.01919,1.248,140.01191,"Full match","Full match","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Phosphoethanolamines",25845714.83,40276256.33,22789000.29,10354911.21,29302100.04,9706637.822,23.772950935838,24.7762274419994,-1.0032765061614,0.0668800746607258,0.358762533640172,"stable",1.41278759999109
"Fumaric acid","Com_511_neg","Fumaric acid","C4 H4 O4",116.01091,1.537,115.00364,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",217336015.8,241765636.6,150194718.4,156759276.3,185389513.2,109152000.8,27.1305744363547,27.5688816101281,-0.438307173773474,0.00400066340179035,0.27838925679511,"down",1.24711010238779
"Thymidine 5'-monophosphate","Com_608_neg","Thymidine 5'-monophosphate","C10 H15 N2 O8 P",322.05634,2.317,321.04907,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",83388424.68,85797628.71,57781713.7899999,32767890.48,53030547.43,35555986.7,25.2365629750129,26.1506292986708,-0.914066323657934,0.0518944944348241,0.339049902106454,"stable",1.82531821448817
"3-Methylglutaric acid","Com_616_neg","3-Methylglutaric acid","C6 H10 O4",146.05799,5.476,145.05071,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",19183575.6,16822151.98,13854865.39,21202832.25,15910081.39,9905809.86800001,23.833678345032,23.973705536246,-0.140027191213974,0.52582175154078,0.494156342098719,"stable",0.423294504359618
"2-Anisic acid","Com_642_neg","2-Anisic acid","C8 H8 O3",152.04738,5.843,151.0401,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","O-methoxybenzoic acids and derivatives",17429343.67,16093484.12,19626673.79,27050782.31,16006511.12,24119683.25,24.3816767181994,24.0737668743533,0.307909843846101,0.238628587467975,0.450914000757358,"stable",1.14375866950243
"N-Acetyl-L-phenylalanine","Com_648_neg","N-Acetyl-L-phenylalanine","C11 H13 N O3",207.08958,5.72,206.0823,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",29309311.02,24967567.08,10817011.24,44725269.9,22046487.25,9875156.273,24.3480014896753,24.2484020765162,0.0995994131591829,0.734210136916723,0.547919186323237,"stable",0.138238413973918
"Jasmonic acid","Com_681_neg","Jasmonic acid","C12 H18 O3",210.12561,6.285,209.11834,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Jasmonic acids",21975595.41,19068528.47,17677961.87,45558676.81,25542852.21,14716528.96,24.6195243024733,24.2165125714448,0.40301173102856,0.400147694259453,0.474057653542211,"stable",0.831193298198666
"Phosphocreatine","Com_700_neg","Phosphocreatine","C4 H10 N3 O5 P",211.03568,1.392,210.0284,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",56368901.36,54759026.13,34983964.55,144169482.5,32120646.47,18516334.47,25.39416111836,25.5050600075406,-0.110898889180621,0.893782636087409,0.596026099054901,"stable",0.130165940773092
"Glucose 1-phosphate","Com_916_neg","Glucose 1-phosphate","C6 H13 O9 P",260.02968,1.216,259.02241,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",15886319.8,15949610.59,11332501.76,13430885.14,11336536.83,7179668.587,23.2963378390836,23.7607541766098,-0.464416337526224,0.061650977762827,0.35273876048772,"stable",1.27205085062029
"3-Hydroxybenzoic acid","Com_923_neg","3-Hydroxybenzoic acid","C7 H6 O3",138.03171,5.385,137.02443,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",28453391.58,30250942.75,26031912.46,33462607.06,25883113.77,13679452.66,24.4423538448311,24.7487840099146,-0.306430165083448,0.460275434578469,0.481855245603108,"stable",0.786767665271202
"2'-Deoxyuridine-5-monophosphate","Com_1003_neg","2'-Deoxyuridine-5-monophosphate","C9 H13 N2 O8 P",308.04069,1.676,307.03342,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",19925147.93,19273273.25,13339672.06,18710101.22,25964572.39,14867540.14,24.2043392642539,24.0391350794886,0.16520418476528,0.386538650021618,0.472795405519868,"stable",0.572958986157681
"D-Sedoheptulose 7-phosphate","Com_1008_neg","D-Sedoheptulose 7-phosphate","C7 H15 O10 P",290.0405,1.217,289.03323,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",6658878.18,6710897.708,3646348.632,8103707.67200001,8619833.77000001,9880283.38599999,23.0751667699068,22.3809810425989,0.694185727307893,0.203508985908292,0.441694963000774,"stable",1.61532998449713
"Taurochenodeoxycholic acid","Com_1086_neg","Taurochenodeoxycholic acid","C26 H45 N O6 S",499.29739,7.289,498.29012,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Taurinated bile acids and derivatives",24266227.41,30299876.61,17523406.99,7504034.64499999,17801721.97,10456499.12,23.4142150329872,24.4826783481648,-1.06846331517766,0.0759024049799837,0.367559222137414,"stable",1.67246759445639
"Uridine 5'-diphosphoglucuronic acid","Com_1164_neg","Uridine 5'-diphosphoglucuronic acid","C15 H22 N2 O18 P2",580.03517,4.319,579.02789,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",245510964.3,284216698.9,200151627.9,171197237.6,185449503.8,103219197.9,27.1462238109097,27.8433821345923,-0.697158323682519,0.0340511431629702,0.327415799199554,"down",1.62040020665936
"Deoxycholic acid","Com_1566_neg","Deoxycholic acid","C24 H40 O4",392.29282,8.265,391.28555,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives",5611907.585,4355588.588,10802768.5,5526728.40499999,4312276.035,5462159.896,22.2730175008531,22.6131312774984,-0.340113776645282,0.401455027586954,0.474174744835221,"stable",0.826454124841156
"3-Hydroxydecanoic acid","Com_2064_neg","3-Hydroxydecanoic acid","C10 H20 O3",188.14134,7.101,187.13406,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",13607279.54,13018170.73,12033080.16,16430826.37,12467043.9,7963785.03199999,23.4888468803279,23.6174671258856,-0.128620245557766,0.661247646710616,0.524688019098888,"stable",0.4374252775042
"DL-Malic acid","Com_2348_neg","DL-Malic acid","C4 H6 O5",134.02145,2.397,133.01418,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",58090561.3,57153067.09,34901911.14,47904628.8,46924719.74,32811299,25.3217319653442,25.5389769071732,-0.217244941828969,0.0771057059981279,0.368604757821283,"stable",0.732025458753356
"Valeric acid","Com_2501_neg","Valeric acid","C5 H10 O2",102.06808,0.36,101.06081,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Straight chain fatty acids",4465439.449,4250837.864,3059179.981,5249649.121,4347911.984,1922065.881,21.7499690763564,21.8848000292456,-0.134830952889132,0.671404094833568,0.527483477008929,"stable",0.300474747938115
"D-(-)-Quinic acid","Com_3047_neg","D-(-)-Quinic acid","C7 H12 O6",192.0634,4.992,191.05617,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Quinic acids and derivatives",1401111.85,1605825.424,882622.521799999,3265835.968,2782309.143,3722168.564,21.624861385801,20.2614871212951,1.36337426450597,0.0687606355555945,0.360749000657792,"stable",1.97648007813854
"3-Coumaric acid","Com_3096_neg","3-Coumaric acid","C9 H8 O3",164.04735,6.588,163.04007,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",8551519.63900001,6799773.006,6866263.477,14006211.63,7914654.46200001,4690525.196,22.9389921435316,22.8119661093717,0.127026034159957,0.762323912446195,0.557209148466944,"stable",0.288341128050516
"Oleoyl-L-α-lysophosphatidic acid","Com_3344_neg","Oleoyl-L-α-lysophosphatidic acid","C21 H41 O7 P",436.25896,10.27,435.25169,"Full match","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1-acylglycerol-3-phosphates",3984923.267,3483038.651,6906477.387,4954969.282,5069440.945,6388681.323,22.3736422185291,22.1258513979092,0.247790820619937,0.325300032425763,0.465928411099948,"stable",0.766424572532791
"Rutin","Com_3410_neg","Rutin","C27 H30 O16",610.15474,5.536,609.14747,"Full match","Full match","No results","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid-3-O-glycosides",160580.3964,157158.34,116890.2096,174571.1848,187976.2241,76372.07205,17.0514680446929,17.1298633787913,-0.0783953340983459,0.799425749455507,0.568900156888904,"stable",0.189569611346226
"Xanthosine","Com_3481_neg","Xanthosine","C10 H12 N4 O6",284.07579,4.769,283.06852,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",8704702.048,8905812.48599999,5880565.11399999,4914102.59900001,5136775.985,2180343.199,21.8590173626679,22.8757342211281,-1.01671685846023,0.039230260976142,0.329733857474687,"down",1.61235514380034
"δ-Ribono-1,4-lactone","Com_3978_neg","δ-Ribono-1,4-lactone","C5 H8 O5",148.03711,2.492,147.02983,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",12987918.13,14035916.9,9104811.42800001,18802860.44,11020074.93,7402845.752,23.4592426841366,23.4971615140916,-0.0379188299549789,0.906730179490551,0.599484221522869,"stable",0.0935553940178644
"2-Hydroxyphenylalanine","Com_4366_neg","2-Hydroxyphenylalanine","C9 H11 N O3",181.07394,4.784,180.06667,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",5579953.045,5359584.09100001,1587151.268,7604407.1,5295285.619,2784993.707,22.2013080156313,21.7878397917537,0.413468223877629,0.226786468883733,0.448084114557083,"stable",0.584237771967162
"Folic acid","Com_4452_neg","Folic acid","C19 H19 N7 O6",441.14033,5.17,440.13306,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",7068334.05500001,10005836.98,3838761.68,4614433.538,4586782.456,2082661.339,21.7522566699159,22.6264956255395,-0.874238955623593,0.0272338433386995,0.323108764097598,"down",1.32708873312205
"N-Acetyl-DL-tryptophan","Com_4625_neg","N-Acetyl-DL-tryptophan","C13 H14 N2 O3",246.10048,5.659,245.0932,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",3805061.868,3597176.518,1155501.461,5281861.877,3137837.638,1084863.222,21.3210120495152,21.2593365530832,0.0616754964319881,0.794785985431021,0.567472025992258,"stable",0.0755963579377182
"Guanosine","Com_4628_neg","Guanosine","C10 H13 N5 O5",283.09172,3.567,282.08444,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",10324061.68,10712589.4,5996413.121,3966287.585,8767006.05799999,3495302.985,22.2399989196768,23.0559931961393,-0.815994276462455,0.122598125644269,0.404600102632749,"stable",1.36381823811919
"Pantothenic acid","Com_6_neg","Pantothenic acid","C9 H17 N O5",219.11048,5.065,218.10319,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols",8326977058.99999,8952304183.99999,6038756211.00001,8718785153.00001,6469225009,2461350592,32.2697429171625,32.8354539667441,-0.565711049581651,0.289253605189485,0.460665450950938,"stable",0.943604054014821
"L-Glutamic acid","Com_12_neg","L-Glutamic acid","C5 H9 N O4",147.05307,1.354,146.04579,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",8641100510.00002,8036529574.00002,5926900925.00001,7198821077.00001,8880685614,4294918494,32.5977070124817,32.7923747334924,-0.194667721010717,0.390541016554244,0.473175051034262,"stable",0.57011025117154
"L-Aspartic acid","Com_46_neg","L-Aspartic acid","C4 H7 N O4",133.03746,1.353,132.03018,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",1910766500,1769492739,1257534562,662479382.5,972674184.900001,458669282.199999,29.3111869177372,30.5933813145742,-1.28219439683697,0.0259105885669832,0.322028181048562,"down",1.86606453628972
"Phenylacetylglycine","Com_50_neg","Phenylacetylglycine","C10 H11 N O3",193.074,5.533,192.06672,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",515769639.6,597108297.5,417347162.3,187500365.2,357860093.1,187637342.1,27.7935034410427,28.9107472359992,-1.11724379495642,0.0332529129318844,0.326997805699732,"down",1.82568272921093
"N-Acetyl-1-aspartylglutamic acid","Com_51_neg","N-Acetyl-1-aspartylglutamic acid","C11 H16 N2 O8",304.09064,2.484,303.08336,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",367754246.2,391716517.1,239327274.5,101399395.9,764213674.999999,299265037.2,28.0872410495556,28.2779370197393,-0.190695970183672,0.84409497592112,0.582181856322671,"stable",0.233496153791999
"Citric acid","Com_18_neg","Citric acid","C6 H8 O7",192.02695,2.074,191.01968,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",3472856400,3798083325,2202477598,5870775402,2924190378,2660756261,31.735161074998,31.5175267404724,0.217634334525563,0.57599416510041,0.502391826184058,"stable",0.521197648303416
"Azelaic acid","Com_32_neg","Azelaic acid","C9 H16 O4",188.10483,5.934,187.09755,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",807128713.799999,598462037.8,586628424.4,857846049.500001,546411826.400001,282410303.6,28.9249248248803,29.290926583362,-0.366001758481687,0.405551308183297,0.474537105872537,"stable",0.752512222529911
