"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_2w_1","MV4_11_2w_2","MV4_11_2w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"DL-Lysine","Com_342_pos","DL-Lysine","C6 H14 N2 O2",146.10578,1.188,147.11305,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",57044706.63,53980698.9,48885306.1,70066079.8300001,80369412.6700001,77676130.7699999,26.1777746834407,25.6648091850179,0.512965498422826,0.0441520769820971,0.267135337994576,"up",1.62845539692557
"Creatinine","Com_393_pos","Creatinine","C4 H7 N3 O",113.05914,1.417,114.06642,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",252557217.9,225964415.1,196502524.7,267948433.1,242335953.7,224496784.9,27.8639776346263,27.7378426647304,0.12613496989594,0.0632018320032506,0.293954681837372,"stable",0.76020278043865
"N3,N4-Dimethyl-L-arginine","Com_494_pos","N3,N4-Dimethyl-L-arginine","C8 H18 N4 O2",202.14326,1.468,203.15054,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Arginine and derivatives",34736738.22,33800567.31,25769322.08,51905178.43,48244339.09,50775813.6899999,25.5836231983078,24.893218109761,0.690405088546743,0.0415504692114301,0.262591670154265,"up",1.59423065186168
"Urocanic acid","Com_502_pos","Urocanic acid","C6 H6 N2 O2",138.04309,1.895,139.05037,"Full match","Full match","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazolyl carboxylic acids and derivatives",87550243.64,72219337.9499999,133627301.7,66922332.42,87158392.94,81106451.95,26.2154780001785,26.4943764247047,-0.278898424526233,0.439468843219717,0.542073173508257,"stable",0.755149375009121
"Pipecolic acid","Com_553_pos","Pipecolic acid","C6 H11 N O2",129.07923,1.189,147.11306,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",57044706.63,53980698.9,48885306.1,70066079.8300001,80369412.6700001,77676130.7699999,26.1777746834407,25.6648091850179,0.512965498422826,0.0441520769820971,0.267135337994576,"up",1.62845539692557
"Spermine","Com_555_pos","Spermine","C10 H26 N4",202.21608,1.186,203.22336,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Amines","Dialkylamines",2871101.025,7119623.05,476563.891,17064448.2,9282172.15000001,14877800.73,23.66572646527,21.0262840704122,2.63944239485775,0.184191448273288,0.390091901163329,"stable",1.285393068867
"1-Methylhistidine","Com_606_pos","1-Methylhistidine","C7 H11 N3 O2",169.08544,1.325,170.09269,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",17171928.67,23386333.22,18224975.51,23934885.21,23481723.22,26368090.89,24.5499787618557,24.2107082102289,0.339270551626807,0.179951317644928,0.386057000560787,"stable",1.3053060931482
"Υ-Glutamylcysteine","Com_939_pos","Υ-Glutamylcysteine","C8 H14 N2 O5 S",250.06264,2.003,251.06991,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",1291452.993,1269233.489,46654034.5800001,6029959.395,5765372.43500001,1144942.899,21.7031811505622,22.0171960922762,-0.314014941714028,0.91213628593195,0.71072631661735,"stable",0.141793576351484
"Guanine","Com_977_pos","Guanine","C5 H5 N5 O",151.04965,1.686,152.05693,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Purines and purine derivatives",27608885.45,23965825.26,24566341.9,86409197.7299999,39552927.02,81979388.5700001,25.9635735236696,24.5944281024539,1.36914542121568,0.0517763778106135,0.278467223691475,"stable",1.51571881519837
"Thiamine","Com_1455_pos","Thiamine","C12 H16 N4 O S",264.10483,1.4,265.11211,"Full match","Full match","No results","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Thiamines",4002701.043,8381796.20300001,5202109.13900001,6161016.33999999,5838190.61699999,4186821.156,22.3430835596097,22.4140118951313,-0.0709283355216037,0.858843313627022,0.698193725491788,"stable",0.170010861407104
"N6,N6,N6-Trimethyl-L-lysine","Com_1525_pos","N6,N6,N6-Trimethyl-L-lysine","C9 H20 N2 O2",188.15294,1.292,189.16022,"Full match","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",5593019.44,6786341.652,7175447.462,10758032.58,11749870.65,10240483.13,23.3776109705369,22.6280119723499,0.749598998186954,0.0271457499361569,0.230978853609848,"up",1.63573308270341
"DL-Dipalmitoylphosphatidylcholine","Com_1864_pos","DL-Dipalmitoylphosphatidylcholine","C40 H80 N O8 P",733.56401,11.003,734.56954,"Full match","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphatidylcholines",921205.6187,4671978.291,3959739.595,3312861.328,3921489.038,6542243.544,22.0679901858779,21.2952466504809,0.772743535396994,0.330621081055433,0.492816697410709,"stable",0.748468404901489
"S-Adenosylmethionine","Com_2017_pos","S-Adenosylmethionine","C15 H22 N6 O5 S",398.13773,1.563,399.145,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",49708243.7700001,47920277.78,28956392.11,41520957.6,41467901.93,45477208.04,25.3504894839416,25.2894977513224,0.0609917326191507,0.85558289324999,0.697391647661738,"stable",0.204212212777193
"1-Methyladenosine","Com_3061_pos","1-Methyladenosine","C11 H15 N5 O4",281.11273,1.986,282.12,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",15065422.78,15562701.14,12763958.02,17128737.4,12759291.28,15137560.39,23.8288632383927,23.7806331348611,0.0482301035316155,0.801407496775233,0.683411495821404,"stable",0.27033829348384
"Nicotinamide adenine dinucleotide phosphate (NADP+)","Com_3491_pos","Nicotinamide adenine dinucleotide phosphate (NADP+)","C21 H28 N7 O17 P3",743.07597,1.499,372.54536,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",1019223.052,828534.2633,733618.973400001,7944981.25,8767159.114,8359198.14799999,22.9934078378091,19.7013038808532,3.29210395695588,0.00258249647677904,0.160565855565529,"up",1.71552303376922
"Sodium [dodecanoyl(methyl)amino]acetate","Com_3842_pos","Sodium [dodecanoyl(methyl)amino]acetate","C15 H29 N O3",271.21508,8.092,272.22238,"Full match","Full match","No results",NA,NA,NA,NA,1220223.823,1631585.103,3630118.638,1711735.552,1190565.771,1632487.34,20.5096282230919,20.8827141496424,-0.373085926550509,0.514888569741909,0.581047577606301,"stable",0.6039020729072
"Cysteinylglycine","Com_4492_pos","Cysteinylglycine","C5 H10 N2 O3 S",178.04202,2.423,179.04929,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",4552569.049,4498667.389,4498026.809,5767009.666,4340631.459,5799645.818,22.3254662941519,22.1067255237183,0.218740770433666,0.247492246835321,0.440011206223263,"stable",1.06899406887457
"Androstenedione","Com_4817_pos","Androstenedione","C19 H26 O2",286.19349,6.713,287.20075,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives",8861526.20100001,4995095.216,9827953.75300001,7401901.23299999,7259977.375,7784923.101,22.8344164779741,22.8532213826635,-0.0188049046893752,0.952564281329737,0.719560453565552,"stable",0.0530416236134625
"2-Isopropylaniline","Com_7824_pos","2-Isopropylaniline","C9 H13 N",135.10508,5.058,136.11235,"Full match","Full match","No results",NA,NA,NA,NA,1016747.185,1169919.542,1018599.238,1087566.655,1577042.943,1197958.457,20.2778697853869,20.0238875211361,0.25398226425078,0.119806692141091,0.34387893205526,"stable",1.01513266806105
"L-Phenylalanine","Com_3_pos","L-Phenylalanine","C9 H11 N O2",165.07919,4.983,166.08646,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",11598804764,11207534635,10357888077,11838788561,12425981969,13057552673,33.5332028988245,33.3623392749364,0.170863623888074,0.193646971377631,0.398727820821793,"stable",1.3840589662913
"Creatine","Com_7_pos","Creatine","C4 H9 N3 O2",131.06968,1.436,132.07696,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",2272275149,2149819249,1832967798,3565934475,2462551074,2798978008,31.437130851172,30.9515309701085,0.485599881063422,0.0790374882534662,0.312037687548481,"stable",1.3776997927184
"DL-Tryptophan","Com_15_pos","DL-Tryptophan","C11 H12 N2 O2",204.09018,5.263,205.09749,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",2390662678,2385508062,2188034544,2807210098,2467005761,2638276995,31.2945175771454,31.1111337398506,0.183383837294834,0.115386212666817,0.341292352155225,"stable",1.38095866988838
"L-Tyrosine","Com_19_pos","L-Tyrosine","C9 H11 N O3",181.07421,2.663,182.08149,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Tyrosine and derivatives",5074860873.00001,4922055256.99999,4390048476,5748122300.99999,5371974602.99999,5702874387.00001,32.3840970199688,32.1563081860054,0.227788833963395,0.0965094170888612,0.328205463287183,"stable",1.46304284757656
"L-Glutathione (reduced)","Com_27_pos","L-Glutathione (reduced)","C10 H17 N3 O6 S",307.08408,1.933,308.09136,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",22380015.91,23425353.35,3980222441,243491133.9,155295151.8,21602813.96,26.4781491542659,26.9291590381425,-0.451009883876598,0.910356825024996,0.710324671378102,"stable",0.143185422630592
"5'-S-Methyl-5'-thioadenosine","Com_29_pos","5'-S-Methyl-5'-thioadenosine","C11 H15 N5 O3 S",297.09004,5.208,298.09731,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",1885295698,1961548519,1595061473,2245919431,1745831321,2061533837,30.902332350791,30.7508181428985,0.151514207892575,0.451593180525932,0.548820583700507,"stable",0.817335109707754
"Adenosine","Com_44_pos","Adenosine","C10 H13 N5 O4",267.09706,3.245,268.10433,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",1111970231,1222408249,941550224.399999,1280690379,1067814241,1013244644,30.0542078455306,30.0160042900708,0.0382035554598588,0.780399976139809,0.67763652889354,"stable",0.217067493673153
"2-Hydroxycinnamic acid","Com_54_pos","2-Hydroxycinnamic acid","C9 H8 O3",164.04766,2.656,182.0815,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",5074860873.00001,4922055256.99999,4390048476,5748122300.99999,5371974602.99999,5702874387.00001,32.3840970199688,32.1563081860054,0.227788833963395,0.0965094170888612,0.328205463287183,"stable",1.46304284757656
"DL-Arginine","Com_58_pos","DL-Arginine","C6 H14 N4 O2",174.11212,1.319,175.1194,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Arginine and derivatives",159616600.8,168017328.4,141452301.8,197635531,171735653.4,205664311.2,27.509865888153,27.2166035562812,0.293262331871784,0.184099091911407,0.390005116560907,"stable",1.38709067508965
"L-Pyroglutamic acid","Com_61_pos","L-Pyroglutamic acid","C5 H7 N O3",129.04287,1.351,130.05015,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",1357652732,1134205298,1259802096,1277202406,1234559052,1086934144,30.1564353718083,30.216017328393,-0.0595819565847222,0.604446085439057,0.619502528178056,"stable",0.47702563143926
"Methionine","Com_70_pos","Methionine","C5 H11 N O2 S",149.05133,2.065,150.05861,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Methionine and derivatives",718860403.8,556603926.4,1033067309,1029596497,502533856.6,482282809.9,29.2297938692103,29.4724997842781,-0.24270591506788,0.65654779066084,0.638790923815748,"stable",0.458322752415887
"Hypoxanthine","Com_84_pos","Hypoxanthine","C5 H4 N4 O",136.03879,2.044,137.04607,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Hypoxanthines",27152895.53,29589702.41,24711398.43,59956552.8,35643791.01,47267237.49,25.4729662558879,24.6906226292849,0.782343626603087,0.0973506061730464,0.328871528495404,"stable",1.48539516130893
"cis-4-Hydroxy-D-proline","Com_87_pos","cis-4-Hydroxy-D-proline","C5 H9 N O3",131.05856,1.336,132.06582,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",55574891.88,38410448,49752366.41,17967989.94,132967824.3,20987819.92,25.1361588707244,25.497062389094,-0.360903518369604,0.770419981410669,0.674818563738915,"stable",0.324406670421012
"Glycyl-L-leucine","Com_101_pos","Glycyl-L-leucine","C8 H16 N2 O3",188.11634,5.094,189.12362,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",20034786.08,90178409.9900001,394790291.3,316007882.7,180144039,15675797.11,26.5206654826008,26.4129312591211,0.107734223479749,0.969925025066647,0.723190583586462,"stable",0.0509635134542877
"Methionine sulfoxide","Com_150_pos","Methionine sulfoxide","C5 H11 N O3 S",165.04623,2.054,148.04292,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",570426048.9,654793359.400001,535234111.1,785456295.800001,665386635.599999,604588697.6,29.3433173932011,29.1231746321926,0.220142761008493,0.228731793552334,0.426971216135803,"stable",1.06550276314718
"Adenine","Com_158_pos","Adenine","C5 H5 N5",135.05475,3.24,136.06203,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-aminopurines",393177207.6,429424645.899999,364620212.4,457970755.9,397911623.9,371562124.1,28.6025270811461,28.5567511669104,0.0457759142357013,0.679672483469928,0.646739036469947,"stable",0.34492811784584
"S-Adenosylhomocysteine","Com_161_pos","S-Adenosylhomocysteine","C14 H20 N6 O5 S",384.12209,2.514,193.06837,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",81198839.0900001,92934080,316984613.1,141380578.5,121698954.9,80198771.89,26.7302756852897,26.9948325822576,-0.26455689696791,0.789146363756184,0.680066316142405,"stable",0.332971628578729
"Panthenol","Com_197_pos","Panthenol","C9 H19 N O4",205.13172,5.089,206.13898,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines",94196297.8499999,79369284.2099999,110001475.1,85356243.72,86641451.5100001,113468138.1,26.4910864780013,26.4813973705809,0.009689107420364,0.914150893281203,0.7111796949908,"stable",0.043772944216614
"L-Histidine","Com_244_pos","L-Histidine","C6 H9 N3 O2",155.06984,1.326,156.07711,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",166383266.4,162931372.5,168875567.5,151902481.5,168778710.6,139976757.4,27.1899133151477,27.3070032207507,-0.117089905602985,0.335554403175387,0.495447800945129,"stable",1.02068329345817
"Glycerophospho-N-palmitoyl ethanolamine","Com_263_pos","Glycerophospho-N-palmitoyl ethanolamine","C21 H44 N O7 P",453.28606,9.458,454.2933,"Full match","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","Glycero-3-phospho-N-acyl-ethanolamines",23443975.34,34869279.1,77023857.51,67259158.48,41719766.39,46964541.4200001,25.6008412409727,25.2456563777349,0.355184863237863,0.638014776771672,0.632158081654607,"stable",0.533272605700233
"N-Acetylornithine","Com_290_pos","N-Acetylornithine","C7 H14 N2 O3",174.10071,3.2,175.10798,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",11818537.97,31675738.33,153181737.3,131071143.7,81617512,26532989.41,25.9698113834374,25.200697405587,0.769113977850466,0.704418548441306,0.654865908043462,"stable",0.497294229700233
"5-Hydroxyindole-3-acetic acid","Com_677_pos","5-Hydroxyindole-3-acetic acid","C10 H9 N O3",191.05855,4.839,209.09239,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indole-3-acetic acid derivatives",13084013.79,17237255.52,12111391.88,17119532,13715373.19,13612293.09,23.8122790844603,23.7367299804051,0.0755491040552272,0.755976407657593,0.670651891684121,"stable",0.337848672441341
"Thymine","Com_743_pos","Thymine","C5 H6 N2 O2",126.04309,4.883,127.05037,"Full match","Full match","Full match","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Hydroxypyrimidines",61570350.45,54105758.23,60110698.97,31320865.38,34687013.81,26047913.69,24.8610591786947,25.8020432368054,-0.940984058110729,0.0290617445630076,0.235385828812867,"down",1.65644321193367
"Inosine-5'-monophosphate (IMP)","Com_942_pos","Inosine-5'-monophosphate (IMP)","C10 H13 N4 O8 P",348.04796,1.634,349.05531,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",28974681.24,40099866.97,24865026.74,96632365.4500001,36454193.17,57868754.06,25.8106219412512,24.8709994052033,0.939622536047931,0.234814338088212,0.431339508724773,"stable",1.23809866991815
"Argininosuccinic acid","Com_991_pos","Argininosuccinic acid","C10 H18 N4 O6",290.12292,1.348,291.13019,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",2517419.06,1778150.999,2204101.584,3337215.084,2471607.83,3018702.942,21.4775763408671,21.0324065534885,0.445169787378632,0.0020520527029493,0.160565855565529,"up",1.29876122544248
"Pyridoxal 5'-phosphate","Com_1358_pos","Pyridoxal 5'-phosphate","C8 H10 N O6 P",247.02489,2.44,248.03217,"Full match","Full match","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridine carboxaldehydes","Pyridoxals and derivatives",44347958.71,41347661.5,24865998.08,68502361.29,68479266.5400001,64325190.6299999,25.9992315961866,25.0904459232779,0.908785672908703,0.0599024193147259,0.289890964880229,"stable",1.48799022418131
"α-Aspartylphenylalanine","Com_1596_pos","α-Aspartylphenylalanine","C13 H16 N2 O5",280.10637,5.357,281.11365,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",18473150.23,20942783.64,17203250.55,24668646.85,20563273.56,19324088.96,24.3512129752125,24.1650181011515,0.186194874061055,0.28408164306498,0.465283352289525,"stable",0.980796007913421
"L-Kynurenine","Com_1677_pos","L-Kynurenine","C10 H12 N2 O3",208.08507,4.839,209.09235,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Alkyl-phenylketones",13084013.79,17237255.52,12111391.88,17119532,14210878.2,13612293.09,23.8293463626998,23.7367299804051,0.0926163822947039,0.683201430066483,0.647921299817615,"stable",0.418419583364915
"Adenosine 3'5'-cyclic monophosphate","Com_2859_pos","Adenosine 3'5'-cyclic monophosphate","C10 H12 N5 O6 P",329.05283,3.735,330.06011,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Cyclic purine nucleotides","3',5'-cyclic purine nucleotides",5957671.591,10978158.83,9301430.74200001,14470661.61,12255137.87,14562623.92,23.7097593060364,23.0144903890534,0.695268916983039,0.165545749367241,0.373199312313277,"stable",1.34945132691702
"Riboflavin","Com_2948_pos","Riboflavin","C17 H20 N4 O6",376.139,5.398,377.14627,"Full match","Full match","Full match","Organoheterocyclic compounds","Pteridines and derivatives","Alloxazines and isoalloxazines","Flavins",8887894.852,11535612.58,9254402.51899999,9356729.18900001,8892388.488,6774522.534,22.9778000844619,23.2282366733516,-0.250436588889684,0.265728769220003,0.452869083390732,"stable",0.961888375145874
"Cytidine","Com_3805_pos","Cytidine","C9 H13 N3 O5",243.08581,1.658,244.0931,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",16045203.36,16850339.82,11962335.25,23500553.7,11418210.36,23949529.67,24.1481728707242,23.8179696031036,0.3302032676206,0.5508336656913,0.597379379569451,"stable",0.680026817486974
