"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_2","MOLM13_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"Coumarin","Com_261_pos","Coumarin","C9 H6 O2",146.03701,2.667,147.04429,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Coumarins and derivatives","Not available","Coumarins and derivatives",83866204.6200001,81704963.0500001,100764940.4,249702784,141821273,193671803.8,27.5013913551894,26.3973083779519,1.10408297723753,0.0437299930363783,0.188610020224656,"up",1.48080522379049
"Nicotinamide adenine dinucleotide (NAD+)","Com_336_pos","Nicotinamide adenine dinucleotide (NAD+)","C21 H27 N7 O14 P2",663.10961,1.665,664.11697,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",227052107.8,248861314,230019141.6,189307504,123769250,186577634.7,27.2848116208613,27.8087978695068,-0.523986248645514,0.162888937056439,0.255181480632263,"stable",1.28377138231794
"DL-Lysine","Com_342_pos","DL-Lysine","C6 H14 N2 O2",146.10578,1.188,147.11305,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",31249617.17,27423496.9,25573637.71,33731601.32,30985494.57,30780790.37,24.9227380244721,24.7381328156184,0.184605208853679,0.055830072276637,0.189812472163637,"stable",1.13738716912071
"Creatinine","Com_393_pos","Creatinine","C4 H7 N3 O",113.05914,1.417,114.06642,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",180360690.9,188913079.3,198050907.2,187301153.5,169792665.4,206894619.2,27.4814347754136,27.4935843726749,-0.0121495972613204,0.879779142211547,0.523085538457106,"stable",0.108528922386561
"N3,N4-Dimethyl-L-arginine","Com_494_pos","N3,N4-Dimethyl-L-arginine","C8 H18 N4 O2",202.14326,1.468,203.15054,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Arginine and derivatives",53026852.15,48985336.66,56290351.71,109290854.9,56358382.31,80056998.4100001,26.2354161669329,25.6508169061195,0.584599260813402,0.140468799588432,0.240868728770118,"stable",1.17340769833147
"Urocanic acid","Com_502_pos","Urocanic acid","C6 H6 N2 O2",138.04309,1.895,139.05037,"Full match","Full match","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazolyl carboxylic acids and derivatives",93090098.7400001,71812973.6400001,81690598.3899999,87247726.59,148503154.2,225148444.8,27.0902779361633,26.2845107581701,0.805767177993193,0.225452914412132,0.294886151582439,"stable",1.14243752364676
"Pipecolic acid","Com_553_pos","Pipecolic acid","C6 H11 N O2",129.07923,1.189,147.11306,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",31249617.17,29891855.87,25573637.71,33731601.32,30985494.57,30780790.37,24.9227380244721,24.7795794567648,0.143158567707268,0.156105094348468,0.251114193476181,"stable",0.96526107656677
"Spermine","Com_555_pos","Spermine","C10 H26 N4",202.21608,1.186,203.22336,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Amines","Dialkylamines",11531139.74,12693491.13,39967496.42,32097275.2,20888137.73,46179014.79,24.9042873638757,24.1029804087101,0.801306955165519,0.161703581426552,0.254486187204835,"stable",0.842140249960756
"1-Methylhistidine","Com_606_pos","1-Methylhistidine","C7 H11 N3 O2",169.08544,1.325,170.09269,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",16732853.14,17868687.74,22635728.31,61518303.94,17204652.79,34911065.89,24.9893296345969,24.1730696230702,0.816260011526737,0.286089266249107,0.330150242326749,"stable",0.973994388154681
"Υ-Glutamylcysteine","Com_939_pos","Υ-Glutamylcysteine","C8 H14 N2 O5 S",250.06264,2.003,251.06991,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",5000315.325,11931351.81,7100699.589,2120314.551,1878600.745,1478788.412,20.7843527146649,22.8404571860841,-2.05610447141923,0.0402464152199036,0.188134040282136,"down",1.52200018031949
"Guanine","Com_977_pos","Guanine","C5 H5 N5 O",151.04965,1.686,152.05693,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Purines and purine derivatives",36342703.65,38409521.74,41295890.67,23919596.46,22945716.59,30296209.21,24.6053483981737,25.203205990021,-0.597857591847362,0.0198917204292133,0.186951166858588,"down",1.48459293715044
"Thiamine","Com_1455_pos","Thiamine","C12 H16 N4 O S",264.10483,1.4,265.11211,"Full match","Full match","No results","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Thiamines",9793277.01,8938986.59399999,8964326.206,15930737.91,15893882.07,5953705.714,23.4508781496496,23.1369346109297,0.313943538719883,0.560490575912774,0.425965281999445,"stable",0.511891462114765
"N6,N6,N6-Trimethyl-L-lysine","Com_1525_pos","N6,N6,N6-Trimethyl-L-lysine","C9 H20 N2 O2",188.15294,1.292,189.16022,"Full match","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",22452443.26,16995814.19,19219768.23,33351507.19,15248990.28,32857471.56,24.6077257120349,24.2117109514726,0.396014760562299,0.295851495109112,0.335172595591964,"stable",0.737405125036901
"DL-Dipalmitoylphosphatidylcholine","Com_1864_pos","DL-Dipalmitoylphosphatidylcholine","C40 H80 N O8 P",733.56401,11.003,734.56954,"Full match","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphatidylcholines",5347734.846,5049746.327,5243062.181,2831382.91,3285896.557,1643104.714,21.242974688737,22.3134180716002,-1.07044338286314,0.076218704473598,0.20452841069556,"stable",1.4168528729165
"S-Adenosylmethionine","Com_2017_pos","S-Adenosylmethionine","C15 H22 N6 O5 S",398.13773,1.563,399.145,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",45368550.6,45245655.29,46634450.83,66578389.89,24101383.78,69437499.84,25.5201249860531,25.4471193184527,0.0730056676003876,0.895411216422455,0.527477295846662,"stable",0.118899818046351
"1-Methyladenosine","Com_3061_pos","1-Methyladenosine","C11 H15 N5 O4",281.11273,1.986,282.12,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",5352204.395,7117813.336,6507816.063,11825312.38,5842777.553,11711720.21,23.1516825165804,22.5828154980096,0.56886701857081,0.321316339335382,0.347448305799033,"stable",1.01435887771445
"Nicotinamide adenine dinucleotide phosphate (NADP+)","Com_3491_pos","Nicotinamide adenine dinucleotide phosphate (NADP+)","C21 H28 N7 O17 P3",743.07597,1.499,372.54536,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",7423628.60299999,8158887.203,9402995.99799999,2430752.759,5064102.611,3451011.317,21.734478236427,22.9827743809348,-1.24829614450784,0.0480970327406762,0.189111912718527,"down",1.44961484717299
"Sodium [dodecanoyl(methyl)amino]acetate","Com_3842_pos","Sodium [dodecanoyl(methyl)amino]acetate","C15 H29 N O3",271.21508,8.092,272.22238,"Full match","Full match","No results",NA,NA,NA,NA,1964519.277,1529445.252,984183.897899999,858333.7808,1561502.905,1237962.438,20.1750730620826,20.4529634385206,-0.277890376437991,0.611816077601908,0.440329521399662,"stable",0.553708137950281
"Cysteinylglycine","Com_4492_pos","Cysteinylglycine","C5 H10 N2 O3 S",178.04202,2.423,179.04929,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",4946822.147,5240189.977,5189153.28100001,13199010.8,5771426.683,5412349.866,22.8274155695697,22.2887753356815,0.53864023388828,0.344832072294772,0.357831729712068,"stable",0.88776773779608
"Androstenedione","Com_4817_pos","Androstenedione","C19 H26 O2",286.19349,6.713,287.20075,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives",6861734.168,5555403.728,5961960.90499999,5729249.17500001,9629350.82099999,5488479.696,22.6789656371203,22.5409858728787,0.137979764241667,0.716709692807256,0.471881653702159,"stable",0.395970099429545
"2-Isopropylaniline","Com_7824_pos","2-Isopropylaniline","C9 H13 N",135.10508,5.058,136.11235,"Full match","Full match","No results",NA,NA,NA,NA,1574607.32,1547868.569,1655770.776,2015867.262,1491906.724,1466993.469,20.6453753802575,20.6024945783038,0.0428808019537215,0.814522683294247,0.503834732568787,"stable",0.228050742574998
"L-Phenylalanine","Com_3_pos","L-Phenylalanine","C9 H11 N O2",165.07919,4.983,166.08646,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",2504038428,2566270836,2971897400,7374195357.00002,4916521520,5841907071.00001,32.4728738551317,31.3157910034873,1.15708285164439,0.0288365992391187,0.187523472334775,"up",1.55215874050815
"Creatine","Com_7_pos","Creatine","C4 H9 N3 O2",131.06968,1.436,132.07696,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",6758201111.00001,6840892263,7284682751,5875393111.00001,4317244703.00001,6109545320.00001,32.3226399430738,32.695916166078,-0.373276223004218,0.125182593445123,0.232350258491966,"stable",1.23159701503583
"DL-Tryptophan","Com_15_pos","DL-Tryptophan","C11 H12 N2 O2",204.09018,5.263,205.09749,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",771191567.900001,781208426.2,906010781.4,2097129286,1296328805,1756336496,30.6491584460713,29.6061997611143,1.04295868495704,0.0383566312351634,0.187840856765398,"up",1.50653575854248
"L-Tyrosine","Com_19_pos","L-Tyrosine","C9 H11 N O3",181.07421,2.663,182.08149,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Tyrosine and derivatives",1542596188,1580028587,1856000612,4940213813.00001,2677726932,3884272678,31.7917617910214,30.6231889533081,1.16857283771333,0.0494635732657476,0.189251232874703,"up",1.47985278058693
"L-Glutathione (reduced)","Com_27_pos","L-Glutathione (reduced)","C10 H17 N3 O6 S",307.08408,1.933,308.09136,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",255913071.8,795785013.499999,201502639.1,27154600.22,22706460.26,23143177.75,24.5317921360451,28.3617018606724,-3.82990972462732,0.0277370951156627,0.187472881488008,"down",1.55207078903686
"5'-S-Methyl-5'-thioadenosine","Com_29_pos","5'-S-Methyl-5'-thioadenosine","C11 H15 N5 O3 S",297.09004,5.208,298.09731,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",1521157403,1299404221,1959007309,2350957920,1394802965,1771568678,30.7434653364883,30.5484003612767,0.19506497521159,0.482341180306271,0.404976266460833,"stable",0.540239344006729
"Adenosine","Com_44_pos","Adenosine","C10 H13 N5 O4",267.09706,3.245,268.10433,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",2240881352,1993925778,2683873895,2782393937,1783702679,2570852437,31.1218357386935,31.0920178068632,0.029817931830344,0.855188766035179,0.516009320146859,"stable",0.103842316960865
"2-Hydroxycinnamic acid","Com_54_pos","2-Hydroxycinnamic acid","C9 H8 O3",164.04766,2.656,182.0815,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",1542596188,1580028587,1856000612,4940213813.00001,2677726932,3884272678,31.7917617910214,30.6231889533081,1.16857283771333,0.0494635732657476,0.189251232874703,"up",1.47985278058693
"DL-Arginine","Com_58_pos","DL-Arginine","C6 H14 N4 O2",174.11212,1.319,175.1194,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Arginine and derivatives",988454608.399999,801609221.700001,908886911,2461028091,1023951508,1598543044,30.5674082245311,29.7394829653607,0.82792525917041,0.0966910762555305,0.215450134896982,"stable",1.2075256246589
"L-Pyroglutamic acid","Com_61_pos","L-Pyroglutamic acid","C5 H7 N O3",129.04287,1.351,130.05015,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",1090524262,1116067218,1113051466,1465962765,1370674119,1097985805,30.2778840108727,30.043341550557,0.234542460315694,0.218852635476392,0.291275750415263,"stable",1.10889034267329
"Methionine","Com_70_pos","Methionine","C5 H11 N O2 S",149.05133,2.065,150.05861,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Methionine and derivatives",4994084.81,6929081.299,5664422.359,259981903.8,21662653.42,42655704.28,25.8895926484329,22.4698396515682,3.41975299686462,0.1040035050195,0.219936581369985,"stable",1.37902594940681
"Hypoxanthine","Com_84_pos","Hypoxanthine","C5 H4 N4 O",136.03879,2.044,137.04607,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Hypoxanthines",33377966.38,37195624.67,35633169.37,31185318.98,27075868.48,38383182.44,24.9262796520594,25.0759132621506,-0.149633610091197,0.460748344910798,0.398801348101398,"stable",0.715891526769193
"cis-4-Hydroxy-D-proline","Com_87_pos","cis-4-Hydroxy-D-proline","C5 H9 N O3",131.05856,1.336,132.06582,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",483941073,474825118.5,503700024,1268889273,471727016.8,719586905.2,29.4922965718742,28.8603555740161,0.631940997858106,0.261858930200335,0.316836775192149,"stable",0.988769198511805
"Glycyl-L-leucine","Com_101_pos","Glycyl-L-leucine","C8 H16 N2 O3",188.11634,5.094,189.12362,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",142966471.3,201796392.2,107082957.8,128278414.8,101648066,10857049.27,25.6352798133407,27.1178601322669,-1.48258031892626,0.255807362111262,0.313307806724377,"stable",0.874784985697842
"Methionine sulfoxide","Com_150_pos","Methionine sulfoxide","C5 H11 N O3 S",165.04623,2.054,148.04292,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",163453545.2,131713830.4,178654847.9,747165257.8,167305164.7,348183630.4,28.390010669927,27.2232456166929,1.16676505323404,0.164681901691507,0.256221199177857,"stable",1.10144429543451
"Adenine","Com_158_pos","Adenine","C5 H5 N5",135.05475,3.24,136.06203,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-aminopurines",719108972.9,651169386.7,860543180.599999,887956795.8,608796009,816597577.499999,29.5041159830251,29.4602550503049,0.0438609327201824,0.768540766610447,0.489309270243929,"stable",0.175340556967912
"S-Adenosylhomocysteine","Com_161_pos","S-Adenosylhomocysteine","C14 H20 N6 O5 S",384.12209,2.514,193.06837,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",190999936.9,229410797.6,190636564.6,180122804.5,148236893,71419770.36,26.885851690514,27.5962015310872,-0.710349840573176,0.207514053579317,0.284768495571379,"stable",1.05912390577102
"Panthenol","Com_197_pos","Panthenol","C9 H19 N O4",205.13172,5.089,206.13898,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines",146063481.8,127332421.8,246084630.1,117643020.9,239357034.1,281988624.1,27.5718303934272,27.3068747222,0.264955671227284,0.532880875279243,0.418076746420196,"stable",0.430987935525431
"L-Histidine","Com_244_pos","L-Histidine","C6 H9 N3 O2",155.06984,1.326,156.07711,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",71709738.9699999,71600250.9999999,75747327.34,231553563.7,95358556.5500001,127430517.5,27.0729217871993,26.1212728964224,0.951648890776813,0.130530432072337,0.23543707214811,"stable",1.27706664209657
"Glycerophospho-N-palmitoyl ethanolamine","Com_263_pos","Glycerophospho-N-palmitoyl ethanolamine","C21 H44 N O7 P",453.28606,9.458,454.2933,"Full match","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","Glycero-3-phospho-N-acyl-ethanolamines",48191095.31,44987360.7900001,30668436.72,25272500.01,13598916.92,55078274.03,24.6676778275326,25.2718436487782,-0.604165821245573,0.509949786283472,0.412352149810514,"stable",0.71603195503398
"N-Acetylornithine","Com_290_pos","N-Acetylornithine","C7 H14 N2 O3",174.10071,3.2,175.10798,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",29270774.8,42213029.63,23725065.84,19591509.03,21302620.43,2653144.603,23.3025082126295,24.8780171311086,-1.57550891847911,0.18816340049905,0.272676587167301,"stable",1.00168743987594
"5-Hydroxyindole-3-acetic acid","Com_677_pos","5-Hydroxyindole-3-acetic acid","C10 H9 N O3",191.05855,4.839,209.09239,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indole-3-acetic acid derivatives",24815190.93,24570629.77,30227705.9,88605967.17,37084396.86,58525715.89,25.7825922782722,24.6548399582388,1.1277523200334,0.092491221667435,0.213522572278264,"stable",1.3569335666237
"Thymine","Com_743_pos","Thymine","C5 H6 N2 O2",126.04309,4.883,127.05037,"Full match","Full match","Full match","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Hydroxypyrimidines",27368446.19,26420728.93,27610479.38,22362453.8,31851338.95,25601105.9,24.6497095491858,24.693296576368,-0.0435870271822409,0.816653329129718,0.504487788753436,"stable",0.234568191882048
"Inosine-5'-monophosphate (IMP)","Com_942_pos","Inosine-5'-monophosphate (IMP)","C10 H13 N4 O8 P",348.04796,1.634,349.05531,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",39534356.82,47145822.99,30341290.17,30528415.11,17435323.65,32703222.2,24.6273628735157,25.1940031122114,-0.56664023869569,0.33985801673751,0.355705898120223,"stable",1.04085756814434
"Argininosuccinic acid","Com_991_pos","Argininosuccinic acid","C10 H18 N4 O6",290.12292,1.348,291.13019,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",37464857.67,37657260.11,36054470.07,93181297.3099999,27190041.96,49918579.75,25.5810618916599,25.1430447119732,0.438017179686749,0.48486514284568,0.40567396496201,"stable",0.639831336773065
"Pyridoxal 5'-phosphate","Com_1358_pos","Pyridoxal 5'-phosphate","C8 H10 N O6 P",247.02489,2.44,248.03217,"Full match","Full match","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridine carboxaldehydes","Pyridoxals and derivatives",19089225.99,19650121.62,28629396.93,44039011.22,54842420.4099999,45823419.69,25.5168831472459,24.3950947073732,1.12178843987268,0.0413122638163427,0.188287932547586,"up",1.52523418917966
"α-Aspartylphenylalanine","Com_1596_pos","α-Aspartylphenylalanine","C13 H16 N2 O5",280.10637,5.357,281.11365,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",10164215.62,11237705.97,12295168.07,17522703.87,14335240.29,16781997.23,23.9453986370797,23.4168092975949,0.528589339484785,0.0567733154090611,0.19015806717752,"stable",1.48789008434423
"L-Kynurenine","Com_1677_pos","L-Kynurenine","C10 H12 N2 O3",208.08507,4.839,209.09235,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Alkyl-phenylketones",24815190.93,24570629.77,30227705.9,88605967.17,37084396.86,58525715.89,25.7825922782722,24.6548399582388,1.1277523200334,0.092491221667435,0.213522572278264,"stable",1.3569335666237
"Adenosine 3'5'-cyclic monophosphate","Com_2859_pos","Adenosine 3'5'-cyclic monophosphate","C10 H12 N5 O6 P",329.05283,3.735,330.06011,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Cyclic purine nucleotides","3',5'-cyclic purine nucleotides",8082064.922,11322327.18,15698872.83,23573109.27,22209748.33,28039395.64,24.5454267842637,23.4277057783997,1.11772100586397,0.0356417304317131,0.187767531895894,"up",1.44269431872049
"Riboflavin","Com_2948_pos","Riboflavin","C17 H20 N4 O6",376.139,5.398,377.14627,"Full match","Full match","Full match","Organoheterocyclic compounds","Pteridines and derivatives","Alloxazines and isoalloxazines","Flavins",4479320.351,6057947.279,6996758.69700001,7436281.857,5305186.263,6833020.392,22.6230713328147,22.4545004386692,0.168570894145446,0.614155210414046,0.440947975732001,"stable",0.54130223866182
"Cytidine","Com_3805_pos","Cytidine","C9 H13 N3 O5",243.08581,1.658,244.0931,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",8276876.889,7345741.614,7737141.966,5775718.791,3110969.776,5508881.574,22.1412766792358,22.8908337008674,-0.749557021631652,0.0923755760986199,0.213467527323191,"stable",1.28766527080635
