"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_2w_2","MOLM13_2w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"1-Stearoylglycerol","Com_229_pos","1-Stearoylglycerol","C21 H42 O4",358.30868,10.713,359.31586,"Full match","Full match","No results","Lipids and lipid-like molecules","Glycerolipids","Monoradylglycerols","1-monoacylglycerols",3385591.177,7966049.42799999,2526622.35,2936015.154,3445839.36,21.6009259999971,21.9617293184723,-0.360803318475213,0.546682484385517,0.373608688610067,"stable",0.474767845430083
"2-Amino-1,3-octadecanediol","Com_259_pos","2-Amino-1,3-octadecanediol","C18 H39 N O2",301.29849,7.501,302.30577,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Amines","1,2-aminoalcohols",40905416.14,51235880.88,26476565.12,19582136.68,22635540.13,24.3275606262127,25.184884111486,-0.857323485273309,0.0793178764404112,0.184569603083447,"stable",1.24247920519826
"Coumarin","Com_261_pos","Coumarin","C9 H6 O2",146.03701,2.667,147.04429,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Coumarins and derivatives","Not available","Coumarins and derivatives",83866204.6200001,81704963.0500001,100764940.4,126231057.5,133032773.4,26.949349067142,26.3973083779519,0.55204068919009,0.0186827744571385,0.120459685876053,"up",1.4413672686991
"Nicotinamide adenine dinucleotide (NAD+)","Com_336_pos","Nicotinamide adenine dinucleotide (NAD+)","C21 H27 N7 O14 P2",663.10961,1.665,664.11697,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",227052107.8,248861314,230019141.6,320818983,205281497.7,27.9351063143295,27.8087978695068,0.126308444822651,0.762199092214625,0.440072378797945,"stable",0.440668677004053
"DL-Lysine","Com_342_pos","DL-Lysine","C6 H14 N2 O2",146.10578,1.188,147.11305,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",31249617.17,27423496.9,25573637.71,29487738.74,30086157.59,24.82810419454,24.7381328156184,0.0899713789216108,0.400046252987606,0.335057371125846,"stable",0.662166369264833
"Creatinine","Com_393_pos","Creatinine","C4 H7 N3 O",113.05914,1.417,114.06642,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",180360690.9,188913079.3,198050907.2,178259190.6,192138754.1,27.4634872581695,27.4935843726749,-0.030097114505466,0.695224450847021,0.417549435097895,"stable",0.403402727955739
"N3,N4-Dimethyl-L-arginine","Com_494_pos","N3,N4-Dimethyl-L-arginine","C8 H18 N4 O2",202.14326,1.468,203.15054,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Arginine and derivatives",53026852.15,48985336.66,56290351.71,65822286.36,68628564.84,26.0021893268196,25.6508169061195,0.351372420700162,0.0148727469285814,0.113460596538115,"up",1.44613135867346
"Urocanic acid","Com_502_pos","Urocanic acid","C6 H6 N2 O2",138.04309,1.895,139.05037,"Full match","Full match","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazolyl carboxylic acids and derivatives",93090098.7400001,71812973.6400001,81690598.3899999,52667655.19,113824042.7,26.2063219900137,26.2845107581701,-0.0781887681564264,0.911419637210392,0.484486808356513,"stable",0.159195925370841
"Pipecolic acid","Com_553_pos","Pipecolic acid","C6 H11 N O2",129.07923,1.189,147.11306,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",31249617.17,29891855.87,25573637.71,29487738.74,30086157.59,24.82810419454,24.7795794567648,0.0485247377751996,0.637368028316035,0.399102416488354,"stable",0.370785936204309
"Spermine","Com_555_pos","Spermine","C10 H26 N4",202.21608,1.186,203.22336,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Amines","Dialkylamines",11531139.74,12693491.13,39967496.42,16599386.23,30589654.39,24.425583516851,24.1029804087101,0.322603108140836,0.686834113195132,0.414772652133127,"stable",0.346105808154971
"1-Methylhistidine","Com_606_pos","1-Methylhistidine","C7 H11 N3 O2",169.08544,1.325,170.09269,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",16732853.14,17868687.74,22635728.31,23876146.7,23993620.15,24.5126070995025,24.1730696230702,0.339537476432298,0.124177996126745,0.2132877739647,"stable",1.16834092198383
"Υ-Glutamylcysteine","Com_939_pos","Υ-Glutamylcysteine","C8 H14 N2 O5 S",250.06264,2.003,251.06991,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",5000315.325,11931351.81,7100699.589,11730226.67,14145169.84,23.6187668596326,22.8404571860841,0.778309673548478,0.157348916326139,0.235297245312156,"stable",1.05798394436424
"Guanine","Com_977_pos","Guanine","C5 H5 N5 O",151.04965,1.686,152.05693,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Purines and purine derivatives",36342703.65,38409521.74,41295890.67,44415243.2,39009199.46,25.3109313056143,25.203205990021,0.107725315593314,0.440180889734213,0.346680618985527,"stable",0.830177770795637
"Thiamine","Com_1455_pos","Thiamine","C12 H16 N4 O S",264.10483,1.4,265.11211,"Full match","Full match","No results","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Thiamines",9793277.01,8938986.59399999,8964326.206,10683357.64,8821805.86500001,23.2107521922585,23.1369346109297,0.0738175813288215,0.687892663860405,0.415109237957364,"stable",0.530135076295244
"N6,N6,N6-Trimethyl-L-lysine","Com_1525_pos","N6,N6,N6-Trimethyl-L-lysine","C9 H20 N2 O2",188.15294,1.292,189.16022,"Full match","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",22452443.26,16995814.19,19219768.23,27323827.89,23515268,24.5953753564205,24.2117109514726,0.383664404947918,0.101233235936721,0.199827850618891,"stable",1.22864941225355
"DL-Dipalmitoylphosphatidylcholine","Com_1864_pos","DL-Dipalmitoylphosphatidylcholine","C40 H80 N O8 P",733.56401,11.003,734.56954,"Full match","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphatidylcholines",5347734.846,5049746.327,5243062.181,4652485.421,4608698.747,22.1427491177111,22.3134180716002,-0.170668953889045,0.0145070952725065,0.113065332482723,"stable",1.4754326558602
"S-Adenosylmethionine","Com_2017_pos","S-Adenosylmethionine","C15 H22 N6 O5 S",398.13773,1.563,399.145,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",45368550.6,45245655.29,46634450.83,45486256.21,40406961.68,25.3535139502968,25.4471193184527,-0.093605368155977,0.467774367543207,0.353899148413402,"stable",0.980624778822675
"1-Methyladenosine","Com_3061_pos","1-Methyladenosine","C11 H15 N5 O4",281.11273,1.986,282.12,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",5352204.395,7117813.336,6507816.063,11393504.01,10249217.26,23.3653592854964,22.5828154980096,0.782543787486851,0.0124568246002373,0.110488496264557,"up",1.45412523989969
"Nicotinamide adenine dinucleotide phosphate (NADP+)","Com_3491_pos","Nicotinamide adenine dinucleotide phosphate (NADP+)","C21 H28 N7 O17 P3",743.07597,1.499,372.54536,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",7423628.60299999,8158887.203,9402995.99799999,2586377.76,1737450.94,21.0155211935277,22.9827743809348,-1.96725318740711,0.065692899375087,0.175811684447802,"stable",1.51400908837628
"Sodium [dodecanoyl(methyl)amino]acetate","Com_3842_pos","Sodium [dodecanoyl(methyl)amino]acetate","C15 H29 N O3",271.21508,8.092,272.22238,"Full match","Full match","No results",NA,NA,NA,NA,1964519.277,1529445.252,984183.897899999,1165160.476,1978118.681,20.5338973968052,20.4529634385206,0.0809339582846569,0.880780112811502,0.475951542727177,"stable",0.152771345637215
"Cysteinylglycine","Com_4492_pos","Cysteinylglycine","C5 H10 N2 O3 S",178.04202,2.423,179.04929,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",4946822.147,5240189.977,5189153.28100001,7323676.262,6921049.61799999,22.7633480027663,22.2887753356815,0.474572667084836,0.0140345951490109,0.112528510231014,"up",1.52956031615372
"Androstenedione","Com_4817_pos","Androstenedione","C19 H26 O2",286.19349,6.713,287.20075,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives",6861734.168,5555403.728,5961960.90499999,5476737.909,9815168.019,22.8057334722183,22.5409858728787,0.264747599339586,0.641728457697511,0.400468312069962,"stable",0.644534009881939
"2-Isopropylaniline","Com_7824_pos","2-Isopropylaniline","C9 H13 N",135.10508,5.058,136.11235,"Full match","Full match","No results",NA,NA,NA,NA,1574607.32,1547868.569,1655770.776,2030991.566,2032036.786,20.9541239533835,20.6024945783038,0.351629375079789,0.00680632579493475,0.0974432460784938,"up",1.52402734770896
"L-Phenylalanine","Com_3_pos","L-Phenylalanine","C9 H11 N O2",165.07919,4.983,166.08646,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",2504038428,2566270836,2971897400,4118808654,3947866715,31.9090030481863,31.3157910034873,0.593212044699012,0.00944643219883529,0.10508798380109,"up",1.48534019057784
"Creatine","Com_7_pos","Creatine","C4 H9 N3 O2",131.06968,1.436,132.07696,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",6758201111.00001,6840892263,7284682751,6571886305.00001,6749958626.99999,32.6329459444648,32.695916166078,-0.0629702216131491,0.204982788116096,0.259748052660187,"stable",0.966041605770119
"DL-Tryptophan","Com_15_pos","DL-Tryptophan","C11 H12 N2 O2",204.09018,5.263,205.09749,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",771191567.900001,781208426.2,906010781.4,1135006642,1222707232,30.1337427254441,29.6061997611143,0.527542964329886,0.0105027254532488,0.107270025405541,"up",1.4664997452363
"L-Tyrosine","Com_19_pos","L-Tyrosine","C9 H11 N O3",181.07421,2.663,182.08149,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Tyrosine and derivatives",1542596188,1580028587,1856000612,2424678714,2524486031,31.2042444978395,30.6231889533081,0.581055544531402,0.0132580080300063,0.111575798548181,"up",1.47247343416224
"L-Glutathione (reduced)","Com_27_pos","L-Glutathione (reduced)","C10 H17 N3 O6 S",307.08408,1.933,308.09136,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",255913071.8,795785013.499999,201502639.1,308532408.2,351821601.1,28.2955578099785,28.3617018606724,-0.0661440506938931,0.924202719271952,0.487966155963936,"stable",0.0746310819080725
"5'-S-Methyl-5'-thioadenosine","Com_29_pos","5'-S-Methyl-5'-thioadenosine","C11 H15 N5 O3 S",297.09004,5.208,298.09731,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",1521157403,1299404221,1959007309,1559062856,1863966165,30.6668802369213,30.5484003612767,0.118479875644589,0.620557195949395,0.393748182485111,"stable",0.420764425847554
"Adenosine","Com_44_pos","Adenosine","C10 H13 N5 O4",267.09706,3.245,268.10433,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",2240881352,1993925778,2683873895,2389841391,2690403531,31.239721579,31.0920178068632,0.147703772136818,0.400645958426616,0.335241891908279,"stable",0.68491512933517
"2-Hydroxycinnamic acid","Com_54_pos","2-Hydroxycinnamic acid","C9 H8 O3",164.04766,2.656,182.0815,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",1542596188,1580028587,1856000612,2424678714,2524486031,31.2042444978395,30.6231889533081,0.581055544531402,0.0132580080300063,0.111575798548181,"up",1.47247343416224
"DL-Arginine","Com_58_pos","DL-Arginine","C6 H14 N4 O2",174.11212,1.319,175.1194,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Arginine and derivatives",988454608.399999,801609221.700001,908886911,1229193500,1182784543,30.1673025230689,29.7394829653607,0.427819557708172,0.0309751883477652,0.140183132519033,"up",1.40462100623506
"L-Pyroglutamic acid","Com_61_pos","L-Pyroglutamic acid","C5 H7 N O3",129.04287,1.351,130.05015,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",1090524262,1116067218,1113051466,1016699799,1003169736,29.9115825977774,30.043341550557,-0.131758952779617,0.00351221343358355,0.0791704970244065,"stable",1.51921425636483
"Methionine","Com_70_pos","Methionine","C5 H11 N O2 S",149.05133,2.065,150.05861,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Methionine and derivatives",4994084.81,6929081.299,5664422.359,26091264.8,53483367.59,25.1548252590989,22.4698396515682,2.68498560753063,0.102537486713675,0.200591259835802,"stable",1.49491213061816
"Hypoxanthine","Com_84_pos","Hypoxanthine","C5 H4 N4 O",136.03879,2.044,137.04607,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Hypoxanthines",33377966.38,37195624.67,35633169.37,36687935.63,37797995.2,25.1503043866775,25.0759132621506,0.0743911245269402,0.244189013936396,0.274898502348,"stable",0.89439525166062
"cis-4-Hydroxy-D-proline","Com_87_pos","cis-4-Hydroxy-D-proline","C5 H9 N O3",131.05856,1.336,132.06582,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",483941073,474825118.5,503700024,471727747.2,518709111.199999,28.8818648462424,28.8603555740161,0.0215092722262895,0.808836014628697,0.454754133015304,"stable",0.311853423980963
"Glycyl-L-leucine","Com_101_pos","Glycyl-L-leucine","C8 H16 N2 O3",188.11634,5.094,189.12362,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",142966471.3,201796392.2,107082957.8,140631074.5,135509939.8,27.0405818055864,27.1178601322669,-0.0772783266804709,0.797988600724442,0.451408398003904,"stable",0.200681679136819
"Methionine sulfoxide","Com_150_pos","Methionine sulfoxide","C5 H11 N O3 S",165.04623,2.054,148.04292,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",163453545.2,131713830.4,178654847.9,294302848.5,410471429.9,28.3727164167511,27.2232456166929,1.1494708000582,0.0748964738002788,0.181724574360363,"stable",1.45354818561276
"Adenine","Com_158_pos","Adenine","C5 H5 N5",135.05475,3.24,136.06203,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-aminopurines",719108972.9,651169386.7,860543180.599999,769742859.100001,822617361.5,29.5677238085883,29.4602550503049,0.107468758283424,0.469018966013577,0.354211357293005,"stable",0.572550694474344
"S-Adenosylhomocysteine","Com_161_pos","S-Adenosylhomocysteine","C14 H20 N6 O5 S",384.12209,2.514,193.06837,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides",190999936.9,229410797.6,190636564.6,189613106.1,302314595.3,27.8349794185523,27.5962015310872,0.238777887465066,0.605267559940352,0.389364902457046,"stable",0.693329988377665
"Panthenol","Com_197_pos","Panthenol","C9 H19 N O4",205.13172,5.089,206.13898,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines",146063481.8,127332421.8,246084630.1,89498234.1400001,208494133,27.0253937138027,27.3068747222,-0.281481008397268,0.729719977487429,0.429371653661914,"stable",0.412514597980198
"L-Histidine","Com_244_pos","L-Histidine","C6 H9 N3 O2",155.06984,1.326,156.07711,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",71709738.9699999,71600250.9999999,75747327.34,62389368.98,77761036.17,26.0536704946249,26.1212728964224,-0.0676024017975756,0.74406432913807,0.434147619419596,"stable",0.467649818459302
"Glycerophospho-N-palmitoyl ethanolamine","Com_263_pos","Glycerophospho-N-palmitoyl ethanolamine","C21 H44 N O7 P",453.28606,9.458,454.2933,"Full match","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","Glycero-3-phospho-N-acyl-ethanolamines",48191095.31,44987360.7900001,30668436.72,23899587.34,27255854.98,24.6052726065582,25.2718436487782,-0.666571042220003,0.0666850345094522,0.176507021562874,"stable",1.26700837998509
"N-Acetylornithine","Com_290_pos","N-Acetylornithine","C7 H14 N2 O3",174.10071,3.2,175.10798,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",29270774.8,42213029.63,23725065.84,25637423.39,26729095.28,24.6418278052356,24.8780171311086,-0.236189325872985,0.433749763743268,0.344912320126231,"stable",0.616835368341371
"5-Hydroxyindole-3-acetic acid","Com_677_pos","5-Hydroxyindole-3-acetic acid","C10 H9 N O3",191.05855,4.839,209.09239,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indole-3-acetic acid derivatives",24815190.93,24570629.77,30227705.9,36985004.94,38812841.72,25.1752339311093,24.6548399582388,0.520393972870565,0.0238667055172975,0.127107800445191,"up",1.4254532811169
"Thymine","Com_743_pos","Thymine","C5 H6 N2 O2",126.04309,4.883,127.05037,"Full match","Full match","Full match","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Hydroxypyrimidines",27368446.19,26420728.93,27610479.38,25325581.69,25772006.37,24.6066967953974,24.693296576368,-0.0865997809706407,0.033663984873524,0.144159926070965,"stable",1.36653076139393
"Inosine-5'-monophosphate (IMP)","Com_942_pos","Inosine-5'-monophosphate (IMP)","C10 H13 N4 O8 P",348.04796,1.634,349.05531,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",39534356.82,47145822.99,30341290.17,39534428.05,32503622.67,25.0953517016456,25.1940031122114,-0.0986514105657932,0.70018915973811,0.419281015552761,"stable",0.330771060359862
"Argininosuccinic acid","Com_991_pos","Argininosuccinic acid","C10 H18 N4 O6",290.12292,1.348,291.13019,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",37464857.67,37657260.11,36054470.07,24628048.34,20589106.45,24.4245884266939,25.1430447119732,-0.718456285279277,0.10664315122286,0.202907653209896,"stable",1.50715898832215
"Pyridoxal 5'-phosphate","Com_1358_pos","Pyridoxal 5'-phosphate","C8 H10 N O6 P",247.02489,2.44,248.03217,"Full match","Full match","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Pyridine carboxaldehydes","Pyridoxals and derivatives",19089225.99,19650121.62,28629396.93,40257737.26,38806668.21,25.236281994298,24.3950947073732,0.841187286924708,0.0442751370811804,0.156410665315104,"up",1.38512289701128
"α-Aspartylphenylalanine","Com_1596_pos","α-Aspartylphenylalanine","C13 H16 N2 O5",280.10637,5.357,281.11365,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",10164215.62,11237705.97,12295168.07,13296637.17,13714235.5,23.6868644760595,23.4168092975949,0.270055178464602,0.0676559976835277,0.177172890881612,"stable",1.29053437165812
"L-Kynurenine","Com_1677_pos","L-Kynurenine","C10 H12 N2 O3",208.08507,4.839,209.09235,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Alkyl-phenylketones",24815190.93,24570629.77,30227705.9,36985004.94,38812841.72,25.1752339311093,24.6548399582388,0.520393972870565,0.0238667055172975,0.127107800445191,"up",1.4254532811169
"Adenosine 3'5'-cyclic monophosphate","Com_2859_pos","Adenosine 3'5'-cyclic monophosphate","C10 H12 N5 O6 P",329.05283,3.735,330.06011,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Cyclic purine nucleotides","3',5'-cyclic purine nucleotides",8082064.922,11322327.18,15698872.83,26602103.28,28394148.08,24.7120636356093,23.4277057783997,1.28435785720958,0.0400822146641337,0.152120504248795,"up",1.3953481545012
"Riboflavin","Com_2948_pos","Riboflavin","C17 H20 N4 O6",376.139,5.398,377.14627,"Full match","Full match","Full match","Organoheterocyclic compounds","Pteridines and derivatives","Alloxazines and isoalloxazines","Flavins",4479320.351,6057947.279,6996758.69700001,5900016.254,4476763.847,22.2931561422553,22.4545004386692,-0.161344296413969,0.604718026793389,0.389216675004794,"stable",0.479691807423263
"Cytidine","Com_3805_pos","Cytidine","C9 H13 N3 O5",243.08581,1.658,244.0931,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",8276876.889,7345741.614,7737141.966,5848686.23299999,5887707.47300001,22.4844778633542,22.8908337008674,-0.406355837513228,0.014069993067457,0.112569794566301,"down",1.49466624177308
"Indole-3-acrylic acid","Com_17_pos","Indole-3-acrylic acid","C11 H9 N O2",187.06351,5.263,188.07079,"Full match","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indoles","Indoles",961598261.9,970159638.600001,1113733663,1378933762,1513965405,30.4282955524717,29.9157543635287,0.512541188942993,0.0168217910183774,0.11733394132308,"up",1.46570238649013
"4-Methoxybenzaldehyde","Com_25_pos","4-Methoxybenzaldehyde","C8 H8 O2",136.05271,5.619,137.05999,"Full match","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoyl derivatives","Benzoyl derivatives",42826123.27,62662115.0099999,39462800.43,40346216.05,44163218.69,25.3311360121256,25.4956892944661,-0.164553282340453,0.513962356081617,0.364788002937128,"stable",0.514882282072654
